,,Inside 20,Inside 20,Inside 20,Inside 20,Inside 20,Inside 20,Inside 10,Inside 10,Inside 10,Inside 10,Inside 10,Inside 10,,-additional
Joe Flacco,NYJ,5,11,45.45,44,3,0,1,6,16.67,6,1,0,All Joe Flacco red zone passing plays,FlacJo00
Kyle Allen,WAS,5,9,55.56,32,2,0,2,4,50.00,6,1,0,All Kyle Allen red zone passing plays,AlleKy00
Taysom Hill,NOR,10,14,71.43,60,2,0,6,10,60.00,22,0,0,All Taysom Hill red zone passing plays,HillTa00
Chad Henne,KAN,7,9,77.78,37,2,0,3,4,75.00,13,2,0,All Chad Henne red zone passing plays,HennCh01
Jeff Driskel,DEN,3,6,50.00,29,2,0,1,3,33.33,7,1,0,All Jeff Driskel red zone passing plays,DrisJe00
Jake Luton,JAX,2,3,66.67,11,1,1,0,0,,0,0,0,All Jake Luton red zone passing plays,LutoJa00
Cedrick Wilson,DAL,1,1,100.00,11,1,0,0,0,,0,0,0,All Cedrick Wilson red zone passing plays,WilsCe01
P.J. Walker,CAR,3,5,60.00,29,1,2,1,3,33.33,2,0,2,All P.J. Walker red zone passing plays,WalkPh00
Chase Daniel,DET,3,5,60.00,18,1,0,2,3,66.67,7,1,0,All Chase Daniel red zone passing plays,DaniCh00
Chris Streveler,ARI,2,2,100.00,14,1,0,0,0,,0,0,0,All Chris Streveler red zone passing plays,StreCh00
Jarrett Stidham,NWE,1,3,33.33,4,1,0,1,2,50.00,4,1,0,All Jarrett Stidham red zone passing plays,StidJa00
Brett Rypien,DEN,2,4,50.00,10,1,1,1,1,100.00,7,1,0,All Brett Rypien red zone passing plays,RypiBr00
Mason Rudolph,PIT,2,3,66.67,3,1,0,1,1,100.00,2,1,0,All Mason Rudolph red zone passing plays,RudoMa00
Ryan Finley,CIN,3,4,75.00,31,1,1,0,0,,0,0,0,All Ryan Finley red zone passing plays,FinlRy00
Jakobi Meyers,NWE,1,1,100.00,19,1,0,0,0,,0,0,0,All Jakobi Meyers red zone passing plays,MeyeJa01
Isaiah McKenzie,BUF,1,1,100.00,12,1,0,0,0,,0,0,0,All Isaiah McKenzie red zone passing plays,McKeIs00
Colt McCoy,NYG,4,10,40.00,-2,1,1,1,3,33.33,6,1,0,All Colt McCoy red zone passing plays,McCoCo00
John Wolford,LAR,2,5,40.00,12,0,0,1,4,25.00,2,0,0,All John Wolford red zone passing plays,WolfJo00
Jameis Winston,NOR,2,4,50.00,18,0,0,0,2,.00,0,0,0,All Jameis Winston red zone passing plays,WinsJa00
Jamal Agnew,DET,0,1,.00,0,0,0,0,0,,0,0,0,All Jamal Agnew red zone passing plays,AgneJa00
Travis Kelce,KAN,1,2,50.00,4,0,0,1,2,50.00,4,0,0,All Travis Kelce red zone passing plays,KelcTr00
Marcus Mariota,LVR,1,3,33.33,7,0,0,1,3,33.33,7,0,0,All Marcus Mariota red zone passing plays,MariMa01
Jacoby Brissett,IND,0,1,.00,0,0,0,0,0,,0,0,0,All Jacoby Brissett red zone passing plays,BrisJa00
Brian Hoyer,NWE,1,1,100.00,-4,0,0,1,1,100.00,-4,0,0,All Brian Hoyer red zone passing plays,HoyeBr00
Randall Cobb,HOU,0,1,.00,0,0,0,0,1,.00,0,0,0,All Randall Cobb red zone passing plays,CobbRa00
Tyrod Taylor,LAC,0,4,.00,0,0,0,0,3,.00,0,0,0,All Tyrod Taylor red zone passing plays,TaylTy00
Ben DiNucci,DAL,2,3,66.67,16,0,0,0,0,,0,0,0,All Ben DiNucci red zone passing plays,DiNuBe00
Riley Dixon,NYG,0,1,.00,0,0,0,0,1,.00,0,0,0,All Riley Dixon red zone passing plays,DixoRi00
Geno Smith,SEA,1,1,100.00,6,0,0,0,0,,0,0,0,All Geno Smith red zone passing plays,SmitGe00
Joshua Dobbs,PIT,2,2,100.00,2,0,0,1,1,100.00,2,0,0,All Joshua Dobbs red zone passing plays,DobbJo00
Taylor Heinicke,WAS,1,2,50.00,9,0,0,0,0,,0,0,0,All Taylor Heinicke red zone passing plays,HeinTa00
Robert Griffin,BAL,0,1,.00,0,0,0,0,1,.00,0,0,0,All Robert Griffin red zone passing plays,GrifRo01
Garrett Gilbert,DAL,1,3,33.33,1,0,1,0,2,.00,0,0,1,All Garrett Gilbert red zone passing plays,GilbGa01
