Player,Tm,Cmp,Att,Cmp%,Yds,TD,Int,Cmp,Att,Cmp%,Yds,TD,Int,Link,-9999
Brett Hundley,GNB,16,30,53.33,105,4,3,4,9,44.44,5,1,1,All Brett Hundley red zone passing plays,HundBr00
Brian Hoyer,SFO,15,27,55.56,90,4,0,6,13,46.15,25,4,0,All Brian Hoyer red zone passing plays,HoyeBr00
Mitchell Trubisky,CHI,13,27,48.15,57,4,1,9,22,40.91,38,4,1,All Mitchell Trubisky red zone passing plays,TrubMi00
Mike Glennon,CHI,10,23,43.48,80,4,0,2,6,33.33,7,2,0,All Mike Glennon red zone passing plays,GlenMi00
Sam Bradford,MIN,5,8,62.50,50,3,0,2,4,50.00,7,1,0,All Sam Bradford red zone passing plays,BradSa00
Brock Osweiler,DEN,7,15,46.67,62,3,1,2,6,33.33,8,2,1,All Brock Osweiler red zone passing plays,OsweBr00
Tom Savage,HOU,8,27,29.63,30,2,1,4,14,28.57,12,2,0,All Tom Savage red zone passing plays,SavaTo00
T.J. Yates,HOU,5,7,71.43,34,2,1,3,5,60.00,15,2,1,All T.J. Yates red zone passing plays,YateT.00
Nathan Peterman,BUF,3,7,42.86,21,2,0,3,6,50.00,21,2,0,All Nathan Peterman red zone passing plays,PeteNa00
Matt Moore,MIA,6,13,46.15,23,2,1,4,7,57.14,12,2,0,All Matt Moore red zone passing plays,MoorMa01
Blaine Gabbert,ARI,7,16,43.75,43,2,1,2,6,33.33,12,0,1,All Blaine Gabbert red zone passing plays,GabbBl00
Ryan Mallett,BAL,2,2,100.00,8,2,0,2,2,100.00,8,2,0,All Ryan Mallett red zone passing plays,MallRy00
Geno Smith,NYG,2,3,66.67,15,1,0,2,3,66.67,15,1,0,All Geno Smith red zone passing plays,SmitGe00
Matt Cassel,TEN,1,1,100.00,11,1,0,0,0,,0,0,0,All Matt Cassel red zone passing plays,CassMa00
David Fales,MIA,4,7,57.14,21,1,0,3,3,100.00,14,1,0,All David Fales red zone passing plays,FaleDa00
Kevin Hogan,CLE,3,5,60.00,11,1,0,3,5,60.00,11,1,0,All Kevin Hogan red zone passing plays,HogaKe00
Bryce Petty,NYJ,4,11,36.36,3,1,0,1,3,33.33,2,1,0,All Bryce Petty red zone passing plays,PettBr01
Paxton Lynch,DEN,1,4,25.00,6,1,2,1,3,33.33,6,1,1,All Paxton Lynch red zone passing plays,LyncPa00
Jarvis Landry,MIA,0,1,.00,0,0,0,0,0,,0,0,0,All Jarvis Landry red zone passing plays,LandJa00
Patrick Mahomes,KAN,3,5,60.00,22,0,0,1,2,50.00,2,0,0,All Patrick Mahomes red zone passing plays,MahoPa00
Jon Ryan,SEA,1,1,100.00,-4,0,0,0,0,,0,0,0,All Jon Ryan red zone passing plays,RyanJo21
Tyreek Hill,KAN,0,1,.00,0,0,1,0,1,.00,0,0,1,All Tyreek Hill red zone passing plays,HillTy00
Cooper Rush,DAL,1,2,50.00,2,0,0,0,0,,0,0,0,All Cooper Rush red zone passing plays,RushCo00
Scott Tolzien,IND,0,1,.00,0,0,0,0,1,.00,0,0,0,All Scott Tolzien red zone passing plays,TolzSc00
Sean Mannion,LAR,1,4,25.00,5,0,0,0,2,.00,0,0,0,All Sean Mannion red zone passing plays,MannSe00
Shane Vereen,NYG,0,1,.00,0,0,1,0,0,,0,0,0,All Shane Vereen red zone passing plays,VereSh00
Eric Decker,TEN,0,1,.00,0,0,0,0,1,.00,0,0,0,All Eric Decker red zone passing plays,DeckEr00
Kellen Clemens,LAC,0,1,.00,0,0,1,0,1,.00,0,0,1,All Kellen Clemens red zone passing plays,ClemKe00
EJ Manuel,OAK,0,3,.00,0,0,0,0,0,,0,0,0,All EJ Manuel red zone passing plays,ManuEJ00
C.J. Beathard,SFO,5,14,35.71,44,0,1,1,8,12.50,6,0,1,All C.J. Beathard red zone passing plays,BeatC.00
Derek Anderson,CAR,0,1,.00,0,0,0,0,1,.00,0,0,0,All Derek Anderson red zone passing plays,AndeDe00
