,,Inside 20,Inside 20,Inside 20,Inside 20,Inside 20,Inside 20,Inside 10,Inside 10,Inside 10,Inside 10,Inside 10,Inside 10,,-additional
Player,Tm,Tgt,Rec,Ctch%,Yds,TD,%Tgt,Tgt,Rec,Ctch%,Yds,TD,%Tgt,Link,-9999
Ed Dickson,SEA,5,4,80.00%,37,3,9.1%,2,1,50.00%,2,1,6.7%,All Ed Dickson red zone receiving plays,DickEd00
Austin Ekeler,LAC,5,4,80.00%,28,1,7.6%,0,0,,0,0,.0%,All Austin Ekeler red zone receiving plays,EkelAu00
Virgil Green,LAC,5,3,60.00%,22,1,7.6%,2,1,50.00%,-1,0,5.3%,All Virgil Green red zone receiving plays,GreeVi00
Tyler Higbee,LAR,5,2,40.00%,13,2,5.6%,2,2,100.00%,13,2,4.4%,All Tyler Higbee red zone receiving plays,HigbTy00
Allen Hurns,DAL,5,2,40.00%,20,1,7.5%,2,1,50.00%,3,1,6.7%,All Allen Hurns red zone receiving plays,HurnAl01
Jesse James,PIT,5,3,60.00%,29,1,6.0%,2,1,50.00%,8,1,5.6%,All Jesse James red zone receiving plays,JameJe00
Brandon LaFell,OAK,5,3,60.00%,21,2,9.4%,2,2,100.00%,11,2,5.4%,All Brandon LaFell red zone receiving plays,LaFeBr00
Marshawn Lynch,OAK,5,4,80.00%,5,0,9.4%,4,3,75.00%,3,0,10.8%,All Marshawn Lynch red zone receiving plays,LyncMa00
Greg Olsen,CAR,5,4,80.00%,30,4,7.9%,3,2,66.67%,2,2,9.4%,All Greg Olsen red zone receiving plays,OlseGr00
DeVante Parker,MIA,5,2,40.00%,24,1,12.8%,2,1,50.00%,6,0,11.1%,All DeVante Parker red zone receiving plays,ParkDe01
Dante Pettis,SFO,5,3,60.00%,31,3,7.2%,1,1,100.00%,1,1,3.4%,All Dante Pettis red zone receiving plays,PettDa00
Jaylen Samuels,PIT,5,4,80.00%,25,3,6.0%,3,3,100.00%,19,3,8.3%,All Jaylen Samuels red zone receiving plays,SamuJa00
Mohamed Sanu,ATL,5,3,60.00%,29,1,7.1%,3,1,33.33%,5,1,7.9%,All Mohamed Sanu red zone receiving plays,SanuMo00
Jonnu Smith,TEN,5,3,60.00%,14,2,10.0%,5,3,60.00%,14,2,20.0%,All Jonnu Smith red zone receiving plays,SmitJo01
Taywan Taylor,TEN,5,4,80.00%,39,1,10.0%,1,0,0.00%,0,0,4.0%,All Taywan Taylor red zone receiving plays,TaylTa00
C.J. Uzomah,CIN,5,3,60.00%,19,3,8.3%,3,2,66.67%,5,2,10.7%,All C.J. Uzomah red zone receiving plays,UzomC.00
