Player,Tm,Tgt,Rec,Ctch%,Yds,TD,%Tgt,Tgt,Rec,Ctch%,Yds,TD,%Tgt,Link,-9999
Aaron Jones,GNB,12,10,83.33%,42,1,16.4%,4,4,100.00%,17,1,12.1%,All Aaron Jones red zone receiving plays,JoneAa00
Christian Kirk,ARI,12,11,91.67%,64,1,17.4%,6,6,100.00%,12,0,18.8%,All Christian Kirk red zone receiving plays,KirkCh01
D.J. Moore,CAR,12,6,50.00%,41,2,19.7%,2,1,50.00%,2,1,6.7%,All D.J. Moore red zone receiving plays,MoorD.00
Greg Olsen,CAR,12,5,41.67%,18,2,19.7%,9,4,44.44%,14,2,30.0%,All Greg Olsen red zone receiving plays,OlseGr00
Odell Beckham,CLE,11,4,36.36%,25,1,15.9%,5,1,20.00%,3,1,13.5%,All Odell Beckham red zone receiving plays,BeckOd00
Tyler Boyd,CIN,11,7,63.64%,68,3,14.9%,4,1,25.00%,3,1,11.1%,All Tyler Boyd red zone receiving plays,BoydTy00
Ezekiel Elliott,DAL,11,6,54.55%,47,2,19.0%,3,2,66.67%,7,0,15.0%,All Ezekiel Elliott red zone receiving plays,ElliEz00
Mike Gesicki,MIA,11,5,45.45%,57,4,15.5%,6,1,16.67%,5,1,28.6%,All Mike Gesicki red zone receiving plays,GesiMi00
Dallas Goedert,PHI,11,8,72.73%,43,4,15.9%,5,4,80.00%,19,4,17.2%,All Dallas Goedert red zone receiving plays,GoedDa00
Jacob Hollister,SEA,11,6,54.55%,22,3,13.6%,6,4,66.67%,18,3,18.8%,All Jacob Hollister red zone receiving plays,HollJa03
Alvin Kamara,NOR,11,7,63.64%,30,0,14.3%,7,5,71.43%,28,0,20.0%,All Alvin Kamara red zone receiving plays,KamaAl00
Zach Pascal,IND,11,5,45.45%,58,5,16.7%,3,1,33.33%,3,1,10.0%,All Zach Pascal red zone receiving plays,PascZa00
Kyle Rudolph,MIN,11,8,72.73%,51,5,22.4%,4,4,100.00%,8,4,19.0%,All Kyle Rudolph red zone receiving plays,RudoKy00
C.J. Uzomah,CIN,11,7,63.64%,37,2,14.9%,5,3,60.00%,17,1,13.9%,All C.J. Uzomah red zone receiving plays,UzomC.00
Darren Waller,OAK,11,7,63.64%,60,3,18.3%,4,2,50.00%,15,2,14.3%,All Darren Waller red zone receiving plays,WallDa01
Dede Westbrook,JAX,11,5,45.45%,33,3,18.6%,6,2,33.33%,2,1,18.2%,All Dede Westbrook red zone receiving plays,WestDe00
DJ Chark,JAX,10,5,50.00%,47,3,16.9%,6,2,33.33%,12,2,18.2%,All DJ Chark red zone receiving plays,CharDJ00
Eric Ebron,IND,10,5,50.00%,32,2,15.2%,3,2,66.67%,7,2,10.0%,All Eric Ebron red zone receiving plays,EbroEr00
Alex Erickson,CIN,10,2,20.00%,12,0,13.5%,3,0,0.00%,0,0,8.3%,All Alex Erickson red zone receiving plays,EricAl01
Devonta Freeman,ATL,10,7,70.00%,49,4,12.8%,5,4,80.00%,31,3,15.6%,All Devonta Freeman red zone receiving plays,FreeDe00
Jimmy Graham,GNB,10,5,50.00%,36,3,13.7%,6,3,50.00%,14,2,18.2%,All Jimmy Graham red zone receiving plays,GrahJi00
Hunter Henry,LAC,10,7,70.00%,45,4,13.5%,6,5,83.33%,25,3,17.1%,All Hunter Henry red zone receiving plays,HenrHu00
Anthony Miller,CHI,10,5,50.00%,33,2,15.2%,4,1,25.00%,2,1,12.1%,All Anthony Miller red zone receiving plays,MillAn02
Hunter Renfrow,OAK,10,8,80.00%,56,2,16.7%,6,5,83.33%,27,2,21.4%,All Hunter Renfrow red zone receiving plays,RenfHu00
Miles Sanders,PHI,10,8,80.00%,46,2,14.5%,3,1,33.33%,-3,0,10.3%,All Miles Sanders red zone receiving plays,SandMi01
Sterling Shepard,NYG,10,5,50.00%,39,2,14.9%,4,1,25.00%,7,1,14.8%,All Sterling Shepard red zone receiving plays,ShepSt00
Irv Smith,MIN,10,7,70.00%,39,2,20.4%,3,2,66.67%,11,2,14.3%,All Irv Smith red zone receiving plays,SmitIr01
Preston Williams,MIA,10,6,60.00%,54,3,14.1%,3,2,66.67%,11,2,14.3%,All Preston Williams red zone receiving plays,WillPr01
Jason Witten,DAL,10,7,70.00%,50,4,17.2%,6,4,66.67%,13,3,30.0%,All Jason Witten red zone receiving plays,WittJa00
Danny Amendola,DET,9,6,66.67%,22,0,15.0%,4,2,50.00%,11,0,10.5%,All Danny Amendola red zone receiving plays,AmenDa00
Le'Veon Bell,NYJ,9,6,66.67%,23,1,18.4%,3,3,100.00%,16,1,16.7%,All Le'Veon Bell red zone receiving plays,BellLe00
Tarik Cohen,CHI,9,6,66.67%,33,3,13.6%,2,2,100.00%,19,2,6.1%,All Tarik Cohen red zone receiving plays,CoheTa00
Jared Cook,NOR,9,4,44.44%,32,4,11.7%,5,3,60.00%,16,3,14.3%,All Jared Cook red zone receiving plays,CookJa02
Amari Cooper,DAL,9,6,66.67%,73,5,15.5%,3,2,66.67%,15,2,15.0%,All Amari Cooper red zone receiving plays,CoopAm00
Phillip Dorsett,NWE,9,5,55.56%,32,1,10.6%,4,1,25.00%,5,0,9.8%,All Phillip Dorsett red zone receiving plays,DorsPh00
Tyler Eifert,CIN,9,4,44.44%,39,2,12.2%,7,2,28.57%,7,2,19.4%,All Tyler Eifert red zone receiving plays,EifeTy00
Evan Engram,NYG,9,3,33.33%,3,2,13.4%,5,2,40.00%,3,2,18.5%,All Evan Engram red zone receiving plays,EngrEv00
Noah Fant,DEN,9,1,11.11%,14,1,13.2%,6,0,0.00%,0,0,20.7%,All Noah Fant red zone receiving plays,FantNo00
Leonard Fournette,JAX,9,7,77.78%,40,0,15.3%,4,3,75.00%,14,0,12.1%,All Leonard Fournette red zone receiving plays,FourLe00
Alshon Jeffery,PHI,9,5,55.56%,37,4,13.0%,5,4,80.00%,24,4,17.2%,All Alshon Jeffery red zone receiving plays,JeffAl00
Duke Johnson,HOU,9,5,55.56%,51,3,14.5%,5,1,20.00%,5,0,20.8%,All Duke Johnson red zone receiving plays,JohnDu00
Vance McDonald,PIT,9,7,77.78%,38,3,20.5%,5,3,60.00%,18,3,33.3%,All Vance McDonald red zone receiving plays,McDoVa00
Mohamed Sanu,2TM,9,5,55.56%,41,2,,6,2,33.33%,11,1,,All Mohamed Sanu red zone receiving plays,SanuMo00
Robert Woods,LAR,9,6,66.67%,39,2,13.4%,4,2,50.00%,3,1,11.4%,All Robert Woods red zone receiving plays,WoodRo02
Geronimo Allison,GNB,8,4,50.00%,41,2,11.0%,3,2,66.67%,10,0,9.1%,All Geronimo Allison red zone receiving plays,AlliGe01
Cole Beasley,BUF,8,7,87.50%,57,5,16.7%,4,4,100.00%,17,3,19.0%,All Cole Beasley red zone receiving plays,BeasCo00
Cameron Brate,TAM,8,6,75.00%,42,4,12.5%,5,3,60.00%,15,3,13.2%,All Cameron Brate red zone receiving plays,BratCa00
A.J. Brown,TEN,8,5,62.50%,51,4,17.0%,2,2,100.00%,13,2,10.0%,All A.J. Brown red zone receiving plays,BrowAJ00
John Brown,BUF,8,4,50.00%,34,1,16.7%,3,2,66.67%,17,1,14.3%,All John Brown red zone receiving plays,BrowJo02
Randall Cobb,DAL,8,4,50.00%,48,1,13.8%,2,0,0.00%,0,0,10.0%,All Randall Cobb red zone receiving plays,CobbRa00
Tevin Coleman,SFO,8,4,50.00%,35,1,11.3%,4,2,50.00%,13,1,10.3%,All Tevin Coleman red zone receiving plays,ColeTe01
Gerald Everett,LAR,8,7,87.50%,42,2,11.9%,4,3,75.00%,15,2,11.4%,All Gerald Everett red zone receiving plays,EverGe00
Michael Gallup,DAL,8,4,50.00%,36,2,13.8%,2,1,50.00%,4,1,10.0%,All Michael Gallup red zone receiving plays,GallMi00
T.Y. Hilton,IND,8,7,87.50%,43,5,12.1%,6,5,83.33%,19,4,20.0%,All T.Y. Hilton red zone receiving plays,HiltT.00
O.J. Howard,TAM,8,4,50.00%,37,1,12.5%,3,1,33.33%,10,1,7.9%,All O.J. Howard red zone receiving plays,HowaO.00
David Moore,SEA,8,2,25.00%,21,1,9.9%,3,1,33.33%,10,1,9.4%,All David Moore red zone receiving plays,MoorDa03
Latavius Murray,NOR,8,6,75.00%,35,1,10.4%,0,0,,0,0,.0%,All Latavius Murray red zone receiving plays,MurrLa00
Jaylen Samuels,PIT,8,6,75.00%,12,1,18.2%,2,1,50.00%,3,1,13.3%,All Jaylen Samuels red zone receiving plays,SamuJa00
Steven Sims,WAS,8,5,62.50%,25,4,12.9%,7,4,57.14%,28,4,21.9%,All Steven Sims red zone receiving plays,SimsSt00
Golden Tate,NYG,8,6,75.00%,49,1,11.9%,0,0,,0,0,.0%,All Golden Tate red zone receiving plays,TateGo00
Jamaal Williams,GNB,8,7,87.50%,50,5,11.0%,5,5,100.00%,28,4,15.2%,All Jamaal Williams red zone receiving plays,WillJa06
Tyrell Williams,OAK,8,4,50.00%,42,4,13.3%,5,2,40.00%,12,2,17.9%,All Tyrell Williams red zone receiving plays,WillTy00
Saquon Barkley,NYG,7,3,42.86%,7,1,10.4%,5,2,40.00%,6,1,18.5%,All Saquon Barkley red zone receiving plays,BarkSa00
Giovani Bernard,CIN,7,5,71.43%,35,0,9.5%,2,0,0.00%,0,0,5.6%,All Giovani Bernard red zone receiving plays,BernGi00
Chris Conley,JAX,7,3,42.86%,16,2,11.9%,5,3,60.00%,16,2,15.2%,All Chris Conley red zone receiving plays,ConlCh00
Demetrius Harris,CLE,7,2,28.57%,3,2,10.1%,4,2,50.00%,3,2,10.8%,All Demetrius Harris red zone receiving plays,HarrDe03
Tyreek Hill,KAN,7,4,57.14%,24,3,11.1%,5,2,40.00%,11,2,17.2%,All Tyreek Hill red zone receiving plays,HillTy00
T.J. Hockenson,DET,7,3,42.86%,16,1,11.7%,4,2,50.00%,7,1,10.5%,All T.J. Hockenson red zone receiving plays,HockTJ00
Diontae Johnson,PIT,7,4,57.14%,26,1,15.9%,1,1,100.00%,2,1,6.7%,All Diontae Johnson red zone receiving plays,JohnDi01
Olabisi Johnson,MIN,7,4,57.14%,17,3,14.3%,6,4,66.67%,17,3,28.6%,All Olabisi Johnson red zone receiving plays,JohnOl00
Isaiah McKenzie,BUF,7,3,42.86%,16,1,14.6%,1,1,100.00%,-8,0,4.8%,All Isaiah McKenzie red zone receiving plays,McKeIs00
Joe Mixon,CIN,7,7,100.00%,18,3,9.5%,4,4,100.00%,3,3,11.1%,All Joe Mixon red zone receiving plays,MixoJo00
Foster Moreau,OAK,7,7,100.00%,55,5,11.7%,4,4,100.00%,16,4,14.3%,All Foster Moreau red zone receiving plays,MoreFo00
Dare Ogunbowale,TAM,7,4,57.14%,28,0,10.9%,4,1,25.00%,7,0,10.5%,All Dare Ogunbowale red zone receiving plays,OgunDa00
Calvin Ridley,ATL,7,4,57.14%,46,3,9.0%,3,2,66.67%,15,2,9.4%,All Calvin Ridley red zone receiving plays,RidlCa00
Willie Snead,BAL,7,5,71.43%,26,3,11.1%,3,3,100.00%,18,3,10.0%,All Willie Snead red zone receiving plays,SneaWi00
Damien Williams,KAN,7,5,71.43%,38,2,11.1%,2,1,50.00%,-1,0,6.9%,All Damien Williams red zone receiving plays,WillDa05
Nelson Agholor,PHI,6,2,33.33%,6,2,8.7%,4,2,50.00%,6,2,13.8%,All Nelson Agholor red zone receiving plays,AghoNe00
Jordan Akins,HOU,6,1,16.67%,15,1,9.7%,1,0,0.00%,0,0,4.2%,All Jordan Akins red zone receiving plays,AkinJo00
Kendrick Bourne,SFO,6,5,83.33%,31,5,8.5%,5,5,100.00%,31,5,12.8%,All Kendrick Bourne red zone receiving plays,BourKe00
Nick Boyle,BAL,6,2,33.33%,8,2,9.5%,5,2,40.00%,8,2,16.7%,All Nick Boyle red zone receiving plays,BoylNi00
Jaron Brown,SEA,6,3,50.00%,29,2,7.4%,4,1,25.00%,6,1,12.5%,All Jaron Brown red zone receiving plays,BrowJa03
Keelan Cole,JAX,6,5,83.33%,37,3,10.2%,2,2,100.00%,8,2,6.1%,All Keelan Cole red zone receiving plays,ColeKe00
Chase Edmonds,ARI,6,4,66.67%,18,1,8.7%,1,1,100.00%,2,1,3.1%,All Chase Edmonds red zone receiving plays,EdmoCh00
Royce Freeman,DEN,6,4,66.67%,14,1,8.8%,1,1,100.00%,3,1,3.4%,All Royce Freeman red zone receiving plays,FreeRo00
Will Fuller,HOU,6,4,66.67%,28,1,9.7%,4,2,50.00%,12,1,16.7%,All Will Fuller red zone receiving plays,FullWi01
Ryan Griffin,NYJ,6,5,83.33%,37,4,12.2%,4,3,75.00%,9,3,22.2%,All Ryan Griffin red zone receiving plays,GrifRy00
DaeSean Hamilton,DEN,6,3,50.00%,25,1,8.8%,2,1,50.00%,3,1,6.9%,All DaeSean Hamilton red zone receiving plays,HamiDa01
Mecole Hardman,KAN,6,3,50.00%,19,0,9.5%,1,0,0.00%,0,0,3.4%,All Mecole Hardman red zone receiving plays,HardMe00
Kelvin Harmon,WAS,6,2,33.33%,11,0,9.7%,3,0,0.00%,0,0,9.4%,All Kelvin Harmon red zone receiving plays,HarmKe00
N'Keal Harry,NWE,6,3,50.00%,29,2,7.1%,4,2,50.00%,17,2,9.8%,All N'Keal Harry red zone receiving plays,HarrNK00
Taysom Hill,NOR,6,6,100.00%,38,4,7.8%,5,5,100.00%,24,4,14.3%,All Taysom Hill red zone receiving plays,HillTa00
Allen Hurns,MIA,6,4,66.67%,49,2,8.5%,1,0,0.00%,0,0,4.8%,All Allen Hurns red zone receiving plays,HurnAl01
Hayden Hurst,BAL,6,2,33.33%,7,1,9.5%,3,2,66.67%,7,1,10.0%,All Hayden Hurst red zone receiving plays,HursHa00
Mark Ingram,BAL,6,6,100.00%,42,4,9.5%,2,2,100.00%,17,2,6.7%,All Mark Ingram red zone receiving plays,IngrMa01
David Johnson,ARI,6,6,100.00%,38,2,8.7%,2,2,100.00%,7,1,6.3%,All David Johnson red zone receiving plays,JohnDa08
KeeSean Johnson,ARI,6,1,16.67%,9,1,8.7%,3,1,33.33%,9,1,9.4%,All KeeSean Johnson red zone receiving plays,JohnKe07
Zay Jones,2TM,6,3,50.00%,8,0,,5,2,40.00%,5,0,,All Zay Jones red zone receiving plays,JoneZa00
Kyle Juszczyk,SFO,6,6,100.00%,36,1,8.5%,3,3,100.00%,11,1,7.7%,All Kyle Juszczyk red zone receiving plays,JuszKy00
Dawson Knox,BUF,6,2,33.33%,9,1,12.5%,4,2,50.00%,9,1,19.0%,All Dawson Knox red zone receiving plays,KnoxDa00
Cody Latimer,NYG,6,5,83.33%,32,2,9.0%,2,2,100.00%,11,2,7.4%,All Cody Latimer red zone receiving plays,LatiCo00
Tony Pollard,DAL,6,3,50.00%,7,0,10.3%,0,0,,0,0,.0%,All Tony Pollard red zone receiving plays,PollTo00
Paul Richardson,WAS,6,3,50.00%,15,2,9.7%,2,2,100.00%,11,2,6.3%,All Paul Richardson red zone receiving plays,RichPa01
Demarcus Robinson,KAN,6,2,33.33%,18,1,9.5%,2,1,50.00%,0,0,6.9%,All Demarcus Robinson red zone receiving plays,RobiDe01
Ricky Seals-Jones,CLE,6,4,66.67%,19,3,8.7%,4,3,75.00%,12,3,10.8%,All Ricky Seals-Jones red zone receiving plays,SealRi00
Darius Slayton,NYG,6,3,50.00%,8,2,9.0%,4,3,75.00%,8,2,14.8%,All Darius Slayton red zone receiving plays,SlayDa01
Jonnu Smith,TEN,6,5,83.33%,44,2,12.8%,2,2,100.00%,10,1,10.0%,All Jonnu Smith red zone receiving plays,SmitJo01
JuJu Smith-Schuster,PIT,6,3,50.00%,16,0,13.6%,1,0,0.00%,0,0,6.7%,All JuJu Smith-Schuster red zone receiving plays,SmitJu00
Kaden Smith,NYG,6,5,83.33%,20,3,9.0%,3,3,100.00%,15,3,11.1%,All Kaden Smith red zone receiving plays,SmitKa00
Adam Thielen,MIN,6,5,83.33%,43,3,12.2%,3,2,66.67%,15,2,14.3%,All Adam Thielen red zone receiving plays,ThieAd00
Demaryius Thomas,NYJ,6,3,50.00%,23,1,12.2%,0,0,,0,0,.0%,All Demaryius Thomas red zone receiving plays,ThomDe03
Sammy Watkins,KAN,6,3,50.00%,12,1,9.5%,4,2,50.00%,2,1,13.8%,All Sammy Watkins red zone receiving plays,WatkSa00
Albert Wilson,MIA,6,6,100.00%,28,1,8.5%,3,3,100.00%,6,1,14.3%,All Albert Wilson red zone receiving plays,WilsAl02
Javon Wims,CHI,6,2,33.33%,6,1,9.1%,4,2,50.00%,6,1,12.1%,All Javon Wims red zone receiving plays,WimsJa00
Robbie Anderson,NYJ,5,2,40.00%,7,2,10.2%,3,2,66.67%,7,2,16.7%,All Robbie Anderson red zone receiving plays,AndeRo04
Kalen Ballage,MIA,5,2,40.00%,-2,0,7.0%,0,0,,0,0,.0%,All Kalen Ballage red zone receiving plays,BallKa00
Antonio Callaway,CLE,5,2,40.00%,17,0,7.2%,1,0,0.00%,0,0,2.7%,All Antonio Callaway red zone receiving plays,CallAn00
Parris Campbell,IND,5,5,100.00%,26,1,7.6%,1,1,100.00%,2,0,3.3%,All Parris Campbell red zone receiving plays,CampPa00
Charles Clay,ARI,5,4,80.00%,38,1,7.2%,1,1,100.00%,5,1,3.1%,All Charles Clay red zone receiving plays,ClayCh00
James Conner,PIT,5,5,100.00%,10,1,11.4%,0,0,,0,0,.0%,All James Conner red zone receiving plays,ConnJa00
Brandin Cooks,LAR,5,3,60.00%,14,2,7.5%,5,3,60.00%,14,2,14.3%,All Brandin Cooks red zone receiving plays,CookBr00
Stefon Diggs,MIN,5,1,20.00%,11,1,10.2%,2,0,0.00%,0,0,9.5%,All Stefon Diggs red zone receiving plays,DiggSt00
Will Dissly,SEA,5,4,80.00%,39,4,6.2%,3,2,66.67%,13,2,9.4%,All Will Dissly red zone receiving plays,DissWi00
Kenyan Drake,2TM,5,3,60.00%,23,0,,1,1,100.00%,5,0,,All Kenyan Drake red zone receiving plays,DrakKe00
Isaiah Ford,MIA,5,2,40.00%,9,0,7.0%,2,1,50.00%,4,0,9.5%,All Isaiah Ford red zone receiving plays,FordIs00
Ted Ginn,NOR,5,4,80.00%,15,1,6.5%,2,1,50.00%,6,1,5.7%,All Ted Ginn red zone receiving plays,GinnTe00
Melvin Gordon,LAC,5,4,80.00%,12,1,6.8%,2,2,100.00%,7,1,5.7%,All Melvin Gordon red zone receiving plays,GordMe00
Nyheim Hines,IND,5,3,60.00%,11,0,7.6%,4,2,50.00%,9,0,13.3%,All Nyheim Hines red zone receiving plays,HineNy00
Mack Hollins,PHI,5,1,20.00%,6,0,7.2%,3,1,33.33%,6,0,10.3%,All Mack Hollins red zone receiving plays,HollMa00
Patrick Laird,MIA,5,2,40.00%,20,0,7.0%,1,0,0.00%,0,0,4.8%,All Patrick Laird red zone receiving plays,LairPa00
Dion Lewis,TEN,5,3,60.00%,23,1,10.6%,1,1,100.00%,2,0,5.0%,All Dion Lewis red zone receiving plays,LewiDi00
Phillip Lindsay,DEN,5,2,40.00%,8,0,7.4%,2,1,50.00%,3,0,6.9%,All Phillip Lindsay red zone receiving plays,LindPh00
LeSean McCoy,KAN,5,3,60.00%,23,1,7.9%,1,1,100.00%,4,0,3.4%,All LeSean McCoy red zone receiving plays,McCoLe01
Tim Patrick,DEN,5,2,40.00%,14,0,7.4%,1,0,0.00%,0,0,3.4%,All Tim Patrick red zone receiving plays,PatrTi00
Cordarrelle Patterson,CHI,5,3,60.00%,6,0,7.6%,4,2,50.00%,1,0,12.1%,All Cordarrelle Patterson red zone receiving plays,PattCo00
Trey Quinn,WAS,5,2,40.00%,11,1,8.1%,3,1,33.33%,4,1,9.4%,All Trey Quinn red zone receiving plays,QuinTr00
Damion Ratley,CLE,5,1,20.00%,5,0,7.2%,4,0,0.00%,0,0,10.8%,All Damion Ratley red zone receiving plays,RatlDa00
Devin Singletary,BUF,5,2,40.00%,-5,0,10.4%,2,1,50.00%,-1,0,9.5%,All Devin Singletary red zone receiving plays,SingDe00
Chris Thompson,WAS,5,1,20.00%,11,0,8.1%,2,0,0.00%,0,0,6.3%,All Chris Thompson red zone receiving plays,ThomCh03
Logan Thomas,DET,5,3,60.00%,40,1,8.3%,2,0,0.00%,0,0,5.3%,All Logan Thomas red zone receiving plays,ThomLo00
Delanie Walker,TEN,5,2,40.00%,18,2,10.6%,1,1,100.00%,7,1,5.0%,All Delanie Walker red zone receiving plays,WalkHu00
Greg Ward,PHI,5,4,80.00%,32,1,7.2%,2,1,50.00%,4,1,6.9%,All Greg Ward red zone receiving plays,WardGr02
DeAndre Washington,OAK,5,4,80.00%,38,0,8.3%,0,0,,0,0,.0%,All DeAndre Washington red zone receiving plays,WashDe00
JJ Arcega-Whiteside,PHI,4,2,50.00%,22,1,5.8%,2,0,0.00%,0,0,6.9%,All JJ Arcega-Whiteside red zone receiving plays,ArceJJ00
Miles Boykin,BAL,4,4,100.00%,27,3,6.3%,3,3,100.00%,19,3,10.0%,All Miles Boykin red zone receiving plays,BoykMi00
Antonio Brown,NWE,4,1,25.00%,8,0,4.7%,2,0,0.00%,0,0,4.9%,All Antonio Brown red zone receiving plays,BrowAn04
Rex Burkhead,NWE,4,3,75.00%,17,0,4.7%,3,2,66.67%,12,0,7.3%,All Rex Burkhead red zone receiving plays,BurkRe00
Derek Carrier,OAK,4,3,75.00%,13,1,6.7%,1,1,100.00%,4,1,3.6%,All Derek Carrier red zone receiving plays,CarrDe00
Nick Chubb,CLE,4,1,25.00%,1,0,5.8%,1,0,0.00%,0,0,2.7%,All Nick Chubb red zone receiving plays,ChubNi00
Pharoh Cooper,ARI,4,1,25.00%,5,1,5.8%,2,1,50.00%,5,1,6.3%,All Pharoh Cooper red zone receiving plays,CoopPh00
Seth Devalve,JAX,4,1,25.00%,11,0,6.8%,2,0,0.00%,0,0,6.1%,All Seth Devalve red zone receiving plays,DevaSe00
Anthony Firkser,TEN,4,2,50.00%,16,1,8.5%,2,1,50.00%,9,1,10.0%,All Anthony Firkser red zone receiving plays,FirkAn00
