,,Inside 20,Inside 20,Inside 20,Inside 20,Inside 20,Inside 20,Inside 10,Inside 10,Inside 10,Inside 10,Inside 10,Inside 10,,-additional
Austin Hooper,CLE,11,9,81.82%,63,3,19.6%,5,3,60.00%,7,2,17.9%,All Austin Hooper red zone receiving plays,HoopAu00
Tyler Johnson,TAM,11,7,63.64%,59,0,8.5%,6,2,33.33%,16,0,9.7%,All Tyler Johnson red zone receiving plays,JohnTy00
George Kittle,SFO,11,9,81.82%,70,5,18.3%,5,4,80.00%,16,3,16.7%,All George Kittle red zone receiving plays,KittGe00
CeeDee Lamb,DAL,11,5,45.45%,46,3,10.9%,4,2,50.00%,10,2,11.1%,All CeeDee Lamb red zone receiving plays,LambCe00
Joe Mixon,CIN,11,8,72.73%,33,2,14.7%,6,4,66.67%,19,2,16.7%,All Joe Mixon red zone receiving plays,MixoJo00
Tim Patrick,DEN,11,4,36.36%,38,2,19.0%,7,1,14.29%,2,1,21.9%,All Tim Patrick red zone receiving plays,PatrTi00
Brandon Aiyuk,SFO,10,5,50.00%,39,5,16.7%,7,3,42.86%,16,3,23.3%,All Brandon Aiyuk red zone receiving plays,AiyuBr00
Brandon Bolden,NWE,10,9,90.00%,74,2,12.8%,2,2,100.00%,4,0,5.7%,All Brandon Bolden red zone receiving plays,BoldBr00
Brandin Cooks,HOU,10,7,70.00%,55,2,21.3%,3,3,100.00%,19,2,12.5%,All Brandin Cooks red zone receiving plays,CookBr00
Kenneth Gainwell,PHI,10,8,80.00%,52,2,16.7%,1,0,0.00%,0,0,3.7%,All Kenneth Gainwell red zone receiving plays,GainKe00
Kenny Golladay,NYG,10,1,10.00%,5,0,17.9%,2,0,0.00%,0,0,7.1%,All Kenny Golladay red zone receiving plays,GollKe00
Darrell Henderson,LAR,10,3,30.00%,26,2,7.7%,5,2,40.00%,9,2,8.1%,All Darrell Henderson red zone receiving plays,HendDa00
Zay Jones,LVR,10,4,40.00%,33,1,11.4%,3,0,0.00%,0,0,7.5%,All Zay Jones red zone receiving plays,JoneZa00
Christian Kirk,ARI,10,6,60.00%,42,2,12.5%,6,3,50.00%,14,1,15.4%,All Christian Kirk red zone receiving plays,KirkCh01
Jarvis Landry,CLE,10,6,60.00%,42,1,17.9%,4,2,50.00%,14,1,14.3%,All Jarvis Landry red zone receiving plays,LandJa00
Ray-Ray McCloud,PIT,10,3,30.00%,13,0,10.2%,3,1,33.33%,1,0,6.8%,All Ray-Ray McCloud red zone receiving plays,McClRa00
Darnell Mooney,CHI,10,5,50.00%,31,3,17.5%,6,3,50.00%,9,2,23.1%,All Darnell Mooney red zone receiving plays,MoonDa00
Byron Pringle,KAN,10,8,80.00%,50,6,8.5%,5,4,80.00%,14,4,8.3%,All Byron Pringle red zone receiving plays,PrinBy00
Calvin Ridley,ATL,10,7,70.00%,28,2,12.8%,5,4,80.00%,12,2,14.3%,All Calvin Ridley red zone receiving plays,RidlCa00
Deebo Samuel,SFO,10,5,50.00%,44,2,16.7%,5,2,40.00%,15,1,16.7%,All Deebo Samuel red zone receiving plays,SamuDe00
Emmanuel Sanders,BUF,10,4,40.00%,33,2,8.3%,6,2,33.33%,13,2,11.3%,All Emmanuel Sanders red zone receiving plays,SandEm00
Jonnu Smith,NWE,10,5,50.00%,25,1,12.8%,5,2,40.00%,5,1,14.3%,All Jonnu Smith red zone receiving plays,SmitJo01
Courtland Sutton,DEN,10,6,60.00%,34,1,17.2%,5,2,40.00%,8,0,15.6%,All Courtland Sutton red zone receiving plays,SuttCo00
Nick Westbrook-Ikhine,TEN,10,9,90.00%,68,4,12.5%,5,4,80.00%,15,3,14.3%,All Nick Westbrook-Ikhine red zone receiving plays,WestNi00
Darrel Williams,KAN,10,6,60.00%,20,0,8.5%,5,4,80.00%,12,0,8.3%,All Darrel Williams red zone receiving plays,WillDa10
Mo Alie-Cox,IND,9,5,55.56%,29,3,14.3%,4,2,50.00%,3,1,11.1%,All Mo Alie-Cox red zone receiving plays,AlieMo00
Kendrick Bourne,NWE,9,7,77.78%,32,3,11.5%,4,3,75.00%,11,3,11.4%,All Kendrick Bourne red zone receiving plays,BourKe00
Marquez Callaway,NOR,9,5,55.56%,52,4,14.5%,3,2,66.67%,12,2,11.5%,All Marquez Callaway red zone receiving plays,CallMa01
Myles Gaskin,MIA,9,6,66.67%,20,3,12.2%,6,5,83.33%,19,3,15.8%,All Myles Gaskin red zone receiving plays,GaskMy00
Mike Gesicki,MIA,9,5,55.56%,22,2,12.2%,4,2,50.00%,7,2,10.5%,All Mike Gesicki red zone receiving plays,GesiMi00
T.J. Hockenson,DET,9,6,66.67%,51,4,15.0%,4,3,75.00%,23,3,16.0%,All T.J. Hockenson red zone receiving plays,HockTJ00
Terry McLaurin,WAS,9,6,66.67%,53,3,17.3%,4,1,25.00%,1,0,17.4%,All Terry McLaurin red zone receiving plays,McLaTe00
K.J. Osborn,MIN,9,6,66.67%,52,3,12.9%,5,3,60.00%,16,2,15.6%,All K.J. Osborn red zone receiving plays,OsboKJ00
Laviska Shenault,JAX,9,4,44.44%,14,0,17.0%,5,2,40.00%,5,0,17.2%,All Laviska Shenault red zone receiving plays,ShenLa00
Sterling Shepard,NYG,9,6,66.67%,35,0,16.1%,3,2,66.67%,5,0,10.7%,All Sterling Shepard red zone receiving plays,ShepSt00
DeVonta Smith,PHI,9,4,44.44%,37,3,15.0%,5,2,40.00%,9,2,18.5%,All DeVonta Smith red zone receiving plays,SmitDe07
C.J. Uzomah,CIN,9,5,55.56%,19,2,12.0%,4,2,50.00%,9,2,11.1%,All C.J. Uzomah red zone receiving plays,UzomC.00
James Washington,PIT,9,6,66.67%,53,2,9.2%,3,1,33.33%,9,1,6.8%,All James Washington red zone receiving plays,WashJa00
Cedrick Wilson,DAL,9,6,66.67%,44,3,8.9%,2,2,100.00%,4,2,5.6%,All Cedrick Wilson red zone receiving plays,WilsCe01
Robbie Anderson,CAR,8,4,50.00%,33,4,16.0%,5,3,60.00%,14,3,19.2%,All Robbie Anderson red zone receiving plays,AndeRo04
Braxton Berrios,NYJ,8,6,75.00%,40,2,13.1%,5,4,80.00%,30,2,21.7%,All Braxton Berrios red zone receiving plays,BerrBr00
Devin Duvernay,BAL,8,6,75.00%,52,2,11.0%,5,3,60.00%,9,1,14.7%,All Devin Duvernay red zone receiving plays,DuveDe00
Bryan Edwards,LVR,8,3,37.50%,14,2,9.1%,5,2,40.00%,6,2,12.5%,All Bryan Edwards red zone receiving plays,EdwaBr01
Gerald Everett,SEA,8,4,50.00%,16,3,15.4%,7,4,57.14%,16,3,36.8%,All Gerald Everett red zone receiving plays,EverGe00
Devonta Freeman,BAL,8,6,75.00%,28,1,11.0%,3,2,66.67%,6,1,8.8%,All Devonta Freeman red zone receiving plays,FreeDe00
Michael Gallup,DAL,8,2,25.00%,14,1,7.9%,2,1,50.00%,1,1,5.6%,All Michael Gallup red zone receiving plays,GallMi00
Jimmy Graham,CHI,8,4,50.00%,44,3,14.0%,4,1,25.00%,1,1,15.4%,All Jimmy Graham red zone receiving plays,GrahJi00
Mack Hollins,MIA,8,4,50.00%,21,3,10.8%,5,3,60.00%,14,3,13.2%,All Mack Hollins red zone receiving plays,HollMa00
Rondale Moore,ARI,8,7,87.50%,13,0,10.0%,2,2,100.00%,3,0,5.1%,All Rondale Moore red zone receiving plays,MoorRo02
David Njoku,CLE,8,4,50.00%,31,2,14.3%,5,1,20.00%,3,1,17.9%,All David Njoku red zone receiving plays,NjokDa00
Josh Palmer,LAC,8,6,75.00%,30,2,8.2%,5,3,60.00%,8,1,10.2%,All Josh Palmer red zone receiving plays,PalmJo00
Kyle Rudolph,NYG,8,3,37.50%,9,1,14.3%,5,2,40.00%,2,1,17.9%,All Kyle Rudolph red zone receiving plays,RudoKy00
Tre'Quan Smith,NOR,8,4,50.00%,42,3,12.9%,4,1,25.00%,2,0,15.4%,All Tre'Quan Smith red zone receiving plays,SmitTr03
Geoff Swaim,TEN,8,5,62.50%,15,3,10.0%,4,4,100.00%,7,3,11.4%,All Geoff Swaim red zone receiving plays,SwaiGe00
D'Andre Swift,DET,8,4,50.00%,30,0,13.3%,3,2,66.67%,9,0,12.0%,All D'Andre Swift red zone receiving plays,SwifDA00
Adam Trautman,NOR,8,4,50.00%,38,2,12.9%,3,1,33.33%,-1,0,11.5%,All Adam Trautman red zone receiving plays,TrauAd00
Marquez Valdes-Scantling,GNB,8,3,37.50%,29,2,6.8%,3,1,33.33%,6,0,5.9%,All Marquez Valdes-Scantling red zone receiving plays,ValdMa00
Olamide Zaccheaus,ATL,8,5,62.50%,22,3,10.3%,5,3,60.00%,13,3,14.3%,All Olamide Zaccheaus red zone receiving plays,ZaccOl01
Giovani Bernard,TAM,7,5,71.43%,23,3,5.4%,7,5,71.43%,23,3,11.3%,All Giovani Bernard red zone receiving plays,BernGi00
Josiah Deguara,GNB,7,3,42.86%,13,0,5.9%,1,0,0.00%,0,0,2.0%,All Josiah Deguara red zone receiving plays,DeguJo00
Jack Doyle,IND,7,4,57.14%,26,3,11.1%,4,2,50.00%,6,2,11.1%,All Jack Doyle red zone receiving plays,DoylJa00
Jalen Guyton,LAC,7,4,57.14%,18,1,7.1%,3,2,66.67%,9,1,6.1%,All Jalen Guyton red zone receiving plays,GuytJa01
Hayden Hurst,ATL,7,6,85.71%,62,3,9.0%,1,1,100.00%,3,1,2.9%,All Hayden Hurst red zone receiving plays,HursHa00
Jauan Jennings,SFO,7,6,85.71%,45,4,11.7%,3,3,100.00%,11,2,10.0%,All Jauan Jennings red zone receiving plays,JennJa00
David Johnson,HOU,7,3,42.86%,15,1,14.9%,5,2,40.00%,10,1,20.8%,All David Johnson red zone receiving plays,JohnDa08
Juwan Johnson,NOR,7,5,71.43%,33,4,11.3%,3,3,100.00%,14,3,11.5%,All Juwan Johnson red zone receiving plays,JohnJu02
Marcedes Lewis,GNB,7,4,57.14%,28,0,5.9%,5,2,40.00%,14,0,9.8%,All Marcedes Lewis red zone receiving plays,LewiMa00
Tyler Lockett,SEA,7,4,57.14%,20,3,13.5%,2,2,100.00%,6,2,10.5%,All Tyler Lockett red zone receiving plays,LockTy00
Alexander Mattison,MIN,7,3,42.86%,15,1,10.0%,3,1,33.33%,-3,0,9.4%,All Alexander Mattison red zone receiving plays,MattAl01
Jerick McKinnon,KAN,7,6,85.71%,48,2,6.0%,2,2,100.00%,9,1,3.3%,All Jerick McKinnon red zone receiving plays,McKiJe00
David Montgomery,CHI,7,6,85.71%,38,0,12.3%,2,2,100.00%,11,0,7.7%,All David Montgomery red zone receiving plays,MontDa01
Elijah Moore,NYJ,7,5,71.43%,53,4,11.5%,2,1,50.00%,3,1,8.7%,All Elijah Moore red zone receiving plays,MoorEl00
Foster Moreau,LVR,7,4,57.14%,45,3,8.0%,2,1,50.00%,9,1,5.0%,All Foster Moreau red zone receiving plays,MoreFo00
Tony Pollard,DAL,7,6,85.71%,37,0,6.9%,0,0,,0,0,.0%,All Tony Pollard red zone receiving plays,PollTo00
Durham Smythe,MIA,7,4,57.14%,16,0,9.5%,4,3,75.00%,7,0,10.5%,All Durham Smythe red zone receiving plays,SmytDu00
Quez Watkins,PHI,7,4,57.14%,5,0,11.7%,4,2,50.00%,-4,0,14.8%,All Quez Watkins red zone receiving plays,WatkQu00
Javonte Williams,DEN,7,6,85.71%,58,3,12.1%,3,2,66.67%,20,2,9.4%,All Javonte Williams red zone receiving plays,WillJa10
Ameer Abdullah,CAR,6,4,66.67%,11,0,12.0%,2,1,50.00%,0,0,7.7%,All Ameer Abdullah red zone receiving plays,AbduAm00
Nelson Agholor,NWE,6,5,83.33%,42,2,7.7%,1,1,100.00%,7,1,2.9%,All Nelson Agholor red zone receiving plays,AghoNe00
Harrison Bryant,CLE,6,4,66.67%,13,3,10.7%,3,3,100.00%,8,3,10.7%,All Harrison Bryant red zone receiving plays,BryaHa00
Tevin Coleman,NYJ,6,5,83.33%,24,0,9.8%,2,2,100.00%,12,0,8.7%,All Tevin Coleman red zone receiving plays,ColeTe01
Nico Collins,HOU,6,1,16.67%,13,1,12.8%,5,0,0.00%,0,0,20.8%,All Nico Collins red zone receiving plays,CollNi00
Chase Edmonds,ARI,6,6,100.00%,17,0,7.5%,1,1,100.00%,5,0,2.6%,All Chase Edmonds red zone receiving plays,EdmoCh00
Anthony Firkser,TEN,6,5,83.33%,42,2,7.5%,3,3,100.00%,16,1,8.6%,All Anthony Firkser red zone receiving plays,FirkAn00
Zach Gentry,PIT,6,3,50.00%,28,0,6.1%,3,1,33.33%,5,0,6.8%,All Zach Gentry red zone receiving plays,GentZa00
Antonio Gibson,WAS,6,5,83.33%,24,2,11.5%,4,3,75.00%,15,2,17.4%,All Antonio Gibson red zone receiving plays,GibsAn00
Dallas Goedert,PHI,6,5,83.33%,52,2,10.0%,3,2,66.67%,12,2,11.1%,All Dallas Goedert red zone receiving plays,GoedDa00
Ryan Griffin,NYJ,6,3,50.00%,14,2,9.8%,3,1,33.33%,1,1,13.0%,All Ryan Griffin red zone receiving plays,GrifRy00
Josh Jacobs,LVR,6,3,50.00%,6,0,6.8%,3,2,66.67%,1,0,7.5%,All Josh Jacobs red zone receiving plays,JacoJo01
Blake Jarwin,DAL,6,3,50.00%,25,2,5.9%,3,1,33.33%,1,1,8.3%,All Blake Jarwin red zone receiving plays,JarwBl00
Julio Jones,TEN,6,2,33.33%,11,1,7.5%,3,1,33.33%,3,1,8.6%,All Julio Jones red zone receiving plays,JoneJu02
Donald Parham,LAC,6,2,33.33%,12,2,6.1%,6,2,33.33%,12,2,12.2%,All Donald Parham red zone receiving plays,ParhDo00
DeVante Parker,MIA,6,3,50.00%,23,2,8.1%,2,1,50.00%,3,1,5.3%,All DeVante Parker red zone receiving plays,ParkDe01
Samaje Perine,CIN,6,6,100.00%,33,1,8.0%,1,1,100.00%,4,1,2.8%,All Samaje Perine red zone receiving plays,PeriSa00
MyCole Pruitt,TEN,6,3,50.00%,21,3,7.5%,4,2,50.00%,7,2,11.4%,All MyCole Pruitt red zone receiving plays,PruiMy00
Kalif Raymond,DET,6,4,66.67%,25,2,10.0%,3,2,66.67%,11,2,12.0%,All Kalif Raymond red zone receiving plays,RaymKa00
Josh Reynolds,2TM,6,0,0.00%,0,0,,2,0,0.00%,0,0,,All Josh Reynolds red zone receiving plays,ReynJo00
Devin Singletary,BUF,6,6,100.00%,19,1,5.0%,2,2,100.00%,3,1,3.8%,All Devin Singletary red zone receiving plays,SingDe00
Laquon Treadwell,JAX,6,3,50.00%,18,1,11.3%,4,2,50.00%,10,1,13.8%,All Laquon Treadwell red zone receiving plays,TreaLa00
Greg Ward,PHI,6,3,50.00%,49,3,10.0%,3,0,0.00%,0,0,11.1%,All Greg Ward red zone receiving plays,WardGr02
Jordan Akins,HOU,5,1,20.00%,3,0,10.6%,3,1,33.33%,3,0,12.5%,All Jordan Akins red zone receiving plays,AkinJo00
Rashod Bateman,BAL,5,4,80.00%,25,1,6.8%,2,1,50.00%,4,1,5.9%,All Rashod Bateman red zone receiving plays,BateRa00
Keelan Cole,NYJ,5,1,20.00%,11,0,8.2%,1,0,0.00%,0,0,4.3%,All Keelan Cole red zone receiving plays,ColeKe00
Mike Davis,ATL,5,2,40.00%,5,1,6.4%,4,1,25.00%,7,1,11.4%,All Mike Davis red zone receiving plays,DaviMi01
AJ Dillon,GNB,5,5,100.00%,36,2,4.2%,1,1,100.00%,5,1,2.0%,All AJ Dillon red zone receiving plays,DillAJ00
Kenyan Drake,LVR,5,4,80.00%,25,0,5.7%,0,0,,0,0,.0%,All Kenyan Drake red zone receiving plays,DrakKe00
Melvin Gordon,DEN,5,5,100.00%,42,2,8.6%,3,3,100.00%,19,1,9.4%,All Melvin Gordon red zone receiving plays,GordMe00
Noah Gray,KAN,5,2,40.00%,6,1,4.3%,5,2,40.00%,6,1,8.3%,All Noah Gray red zone receiving plays,GrayNo00
Deonte Harty,NOR,5,4,80.00%,27,0,8.1%,0,0,,0,0,.0%,All Deonte Harty red zone receiving plays,HarrDe07
Jamycal Hasty,SFO,5,3,60.00%,10,0,8.3%,1,0,0.00%,0,0,3.3%,All Jamycal Hasty red zone receiving plays,HastJa02
Rashard Higgins,CLE,5,3,60.00%,33,1,8.9%,2,1,50.00%,7,1,7.1%,All Rashard Higgins red zone receiving plays,HiggRa00
Dontrell Hilliard,TEN,5,4,80.00%,22,0,6.3%,1,1,100.00%,4,0,2.9%,All Dontrell Hilliard red zone receiving plays,HillDo00
KhaDarel Hodge,DET,5,2,40.00%,13,0,8.3%,1,0,0.00%,0,0,4.0%,All KhaDarel Hodge red zone receiving plays,HodgKh00
Mark Ingram,2TM,5,1,20.00%,5,0,,1,0,0.00%,0,0,,All Mark Ingram red zone receiving plays,IngrMa01
Kyle Juszczyk,SFO,5,3,60.00%,28,1,8.3%,2,0,0.00%,0,0,6.7%,All Kyle Juszczyk red zone receiving plays,JuszKy00
Jeremy McNichols,TEN,5,4,80.00%,27,1,6.3%,3,2,66.67%,15,1,8.6%,All Jeremy McNichols red zone receiving plays,McNiJe00
Albert Okwuegbunam,DEN,5,4,80.00%,13,2,8.6%,4,4,100.00%,13,2,12.5%,All Albert Okwuegbunam red zone receiving plays,OkwuAl00
Jalen Reagor,PHI,5,3,60.00%,23,1,8.3%,2,2,100.00%,6,0,7.4%,All Jalen Reagor red zone receiving plays,ReagJa00
Chester Rogers,TEN,5,2,40.00%,6,1,6.3%,3,2,66.67%,6,1,8.6%,All Chester Rogers red zone receiving plays,RogeCh02
Logan Thomas,WAS,5,4,80.00%,34,3,9.6%,3,2,66.67%,9,2,13.0%,All Logan Thomas red zone receiving plays,ThomLo00
Kadarius Toney,NYG,5,1,20.00%,6,0,8.9%,2,0,0.00%,0,0,7.1%,All Kadarius Toney red zone receiving plays,ToneKa00
Malik Turner,DAL,5,4,80.00%,29,3,5.0%,4,3,75.00%,18,3,11.1%,All Malik Turner red zone receiving plays,TurnMa00
Antoine Wesley,ARI,5,2,40.00%,20,2,6.3%,4,1,25.00%,1,1,10.3%,All Antoine Wesley red zone receiving plays,WeslAn01
Dan Arnold,2TM,4,2,50.00%,26,0,,1,0,0.00%,0,0,,All Dan Arnold red zone receiving plays,ArnoDa00
Damiere Byrd,CHI,4,2,50.00%,17,0,7.0%,1,0,0.00%,0,0,3.8%,All Damiere Byrd red zone receiving plays,ByrdDa00
