Player,Tm,Tgt,Rec,Ctch%,Yds,TD,%Tgt,Tgt,Rec,Ctch%,Yds,TD,%Tgt,Link,-9999
Amari Cooper,OAK,9,3,33.33%,26,3,19.6%,8,3,37.50%,26,3,28.6%,All Amari Cooper red zone receiving plays,CoopAm00
A.J. Derby,2TM,9,4,44.44%,41,1,,2,1,50.00%,9,0,,All A.J. Derby red zone receiving plays,DerbA.00
Jack Doyle,IND,9,6,66.67%,44,4,23.7%,6,4,66.67%,24,3,37.5%,All Jack Doyle red zone receiving plays,DoylJa00
Todd Gurley,LAR,9,6,66.67%,52,4,11.8%,5,3,60.00%,13,2,14.3%,All Todd Gurley red zone receiving plays,GurlTo01
Austin Hooper,ATL,9,7,77.78%,39,2,13.4%,5,3,60.00%,6,2,14.3%,All Austin Hooper red zone receiving plays,HoopAu00
Kareem Hunt,KAN,9,6,66.67%,12,2,12.5%,3,2,66.67%,6,2,13.6%,All Kareem Hunt red zone receiving plays,HuntKa00
David Njoku,CLE,9,2,22.22%,8,1,20.9%,6,2,33.33%,8,1,24.0%,All David Njoku red zone receiving plays,NjokDa00
Paul Richardson,SEA,9,4,44.44%,33,3,13.6%,5,3,60.00%,24,3,12.5%,All Paul Richardson red zone receiving plays,RichPa01
Kenny Stills,MIA,9,5,55.56%,37,2,13.6%,1,1,100.00%,2,1,2.9%,All Kenny Stills red zone receiving plays,StilKe00
Julius Thomas,MIA,9,4,44.44%,28,3,13.6%,7,3,42.86%,13,2,20.0%,All Julius Thomas red zone receiving plays,ThomJu00
Robert Woods,LAR,9,6,66.67%,35,3,11.8%,4,2,50.00%,5,2,11.4%,All Robert Woods red zone receiving plays,WoodRo02
Ameer Abdullah,DET,8,4,50.00%,13,1,11.4%,2,1,50.00%,2,1,6.3%,All Ameer Abdullah red zone receiving plays,AbduAm00
Doug Baldwin,SEA,8,5,62.50%,36,3,12.1%,5,3,60.00%,16,2,12.5%,All Doug Baldwin red zone receiving plays,BaldDo00
Martavis Bryant,PIT,8,3,37.50%,24,2,9.8%,3,2,66.67%,7,1,7.1%,All Martavis Bryant red zone receiving plays,BryaMa00
Vernon Davis,WAS,8,4,50.00%,36,1,12.7%,2,0,0.00%,0,0,8.0%,All Vernon Davis red zone receiving plays,DaviVe00
Gerald Everett,LAR,8,4,50.00%,20,2,10.5%,4,3,75.00%,11,2,11.4%,All Gerald Everett red zone receiving plays,EverGe00
Bennie Fowler,DEN,8,4,50.00%,21,2,13.8%,5,3,60.00%,15,2,20.8%,All Bennie Fowler red zone receiving plays,FowlBe00
Chris Godwin,TAM,8,3,37.50%,18,0,11.8%,5,1,20.00%,5,0,17.2%,All Chris Godwin red zone receiving plays,GodwCh00
Ryan Grant,WAS,8,6,75.00%,29,2,12.7%,3,1,33.33%,3,1,12.0%,All Ryan Grant red zone receiving plays,GranRy01
Demetrius Harris,KAN,8,2,25.00%,16,1,11.1%,5,1,20.00%,7,1,22.7%,All Demetrius Harris red zone receiving plays,HarrDe03
T.Y. Hilton,IND,8,2,25.00%,12,0,21.1%,3,0,0.00%,0,0,18.8%,All T.Y. Hilton red zone receiving plays,HiltT.00
Jermaine Kearse,NYJ,8,5,62.50%,34,2,17.0%,3,1,33.33%,3,1,12.5%,All Jermaine Kearse red zone receiving plays,KearJe01
Marqise Lee,JAX,8,5,62.50%,27,3,16.3%,7,4,57.14%,22,3,24.1%,All Marqise Lee red zone receiving plays,LeexMa00
Roger Lewis,NYG,8,4,50.00%,35,1,15.4%,1,0,0.00%,0,0,3.8%,All Roger Lewis red zone receiving plays,LewiRo03
Tyler Lockett,SEA,8,6,75.00%,23,1,12.1%,4,3,75.00%,5,1,10.0%,All Tyler Lockett red zone receiving plays,LockTy00
Rishard Matthews,TEN,8,4,50.00%,46,2,18.6%,2,1,50.00%,8,1,11.8%,All Rishard Matthews red zone receiving plays,MattRi00
Josh Reynolds,LAR,8,3,37.50%,15,1,10.5%,5,2,40.00%,10,1,14.3%,All Josh Reynolds red zone receiving plays,ReynJo00
Theo Riddick,DET,8,6,75.00%,30,2,11.4%,3,2,66.67%,15,2,9.4%,All Theo Riddick red zone receiving plays,RiddTh00
Eli Rogers,PIT,8,3,37.50%,28,1,9.8%,2,0,0.00%,0,0,4.8%,All Eli Rogers red zone receiving plays,RogeEl00
Emmanuel Sanders,DEN,8,5,62.50%,20,2,13.8%,5,3,60.00%,6,2,20.8%,All Emmanuel Sanders red zone receiving plays,SandEm00
Stephen Anderson,HOU,7,1,14.29%,4,1,13.0%,5,1,20.00%,4,1,16.7%,All Stephen Anderson red zone receiving plays,AndeSt01
Cole Beasley,DAL,7,4,57.14%,20,4,12.5%,6,4,66.67%,20,4,23.1%,All Cole Beasley red zone receiving plays,BeasCo00
Kendrick Bourne,SFO,7,0,0.00%,0,0,8.2%,5,0,0.00%,0,0,13.9%,All Kendrick Bourne red zone receiving plays,BourKe00
Brandon Coleman,NOR,7,3,42.86%,12,2,9.9%,4,1,25.00%,5,1,13.3%,All Brandon Coleman red zone receiving plays,ColeBr00
Jared Cook,OAK,7,1,14.29%,6,0,15.2%,3,0,0.00%,0,0,10.7%,All Jared Cook red zone receiving plays,CookJa02
Bruce Ellington,HOU,7,3,42.86%,5,0,13.0%,2,1,50.00%,4,0,6.7%,All Bruce Ellington red zone receiving plays,ElliBr00
Darren Fells,DET,7,2,28.57%,8,1,10.0%,3,2,66.67%,8,1,9.4%,All Darren Fells red zone receiving plays,FellDa01
Justin Hardy,ATL,7,4,57.14%,23,3,10.4%,3,3,100.00%,12,3,8.6%,All Justin Hardy red zone receiving plays,HardJu00
Allen Hurns,JAX,7,6,85.71%,38,2,14.3%,3,3,100.00%,14,2,10.3%,All Allen Hurns red zone receiving plays,HurnAl01
Donte Moncrief,IND,7,2,28.57%,26,1,18.4%,4,0,0.00%,0,0,25.0%,All Donte Moncrief red zone receiving plays,MoncDo00
Demarcus Robinson,KAN,7,1,14.29%,2,0,9.7%,2,1,50.00%,2,0,9.1%,All Demarcus Robinson red zone receiving plays,RobiDe01
Golden Tate,DET,7,7,100.00%,45,2,10.0%,2,2,100.00%,5,1,6.3%,All Golden Tate red zone receiving plays,TateGo00
Trent Taylor,SFO,7,5,71.43%,29,2,8.2%,3,2,66.67%,8,2,8.3%,All Trent Taylor red zone receiving plays,TaylTr02
Charcandrick West,KAN,7,5,71.43%,17,2,9.7%,2,2,100.00%,12,2,9.1%,All Charcandrick West red zone receiving plays,WestCh01
Kendall Wright,CHI,7,2,28.57%,10,1,14.0%,2,1,50.00%,5,1,7.1%,All Kendall Wright red zone receiving plays,WrigKe01
