Tm,Rk_conversions,G_x,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,RZAtt,RZTD,RZPct,Rk_drives,#Dr,Plays,Sc%_drives,TO%_drives,Plays_drive,Yds_drive,Start,Time,Pts_drive,Rk_po,Cmp_po,Att_po,Cmp%,Yds_po,TD_po,TD%_po,Int_po,Int%_po,Lng_po,Y/A_po,AY/A,Y/C,Y/G_po,Rate,Sk,Yds_po,Sk%,NY/A_po,ANY/A,4QC,GWD,EXP_po,Rk_ro,Att_ro,Yds_ro,TD_ro,Lng_ro,Y/A_ro,Y/G_ro,Fmb,EXP_ro,Rk_so,RshTD,RecTD,PR TD,KR TD,FblTD,IntTD,OthTD,AllTD,2PM,2PA,D2P,XPM,XPA,FGM,FGA,Sfty,Pts_so,Pts/G,Rk_to,PF,Yds_to,Ply,Y/P,TO,FL,1stD,Pen,Yds.p,1stPy,Sc%_to,TO%_to,EXP
Dallas Cowboys,11.0,16.0,203.0,87.0,42.9%,19.0,10.0,52.6%,52.0,31.0,59.6%,31.0,171,1041,36.3,11.1,6.1,31.1,Own 29.9,2:50,2.02,26.0,309.0,493.0,62.7,3141.0,22.0,4.5,13.0,2.6,81.0,6.7,6.5,10.8,196.3,86.3,32.0,185.0,6.1,6.0,5.7,0.0,4.0,-15.9,2.0,480.0,2170.0,18.0,70.0,4.5,135.6,11.0,-19.89,5.0,24.0,25.0,0.0,0.0,0.0,0.0,0.0,49.0,0.0,2.0,0.0,46.0,46.0,27.0,32.0,0.0,421.0,26.3,14.0,354.0,5311.0,1005.0,5.3,22.0,9.0,314.0,97.0,939.0,25.0,36.3,11.1,-40.65
Tampa Bay Buccaneers,12.0,16.0,196.0,85.0,43.4%,8.0,4.0,50.0%,53.0,26.0,49.1%,27.0,175,1073,33.7,15.4,6.1,33.1,Own 27.6,2:43,1.79,4.0,378.0,605.0,62.5,4366.0,26.0,4.3,14.0,2.3,70.0,7.6,7.4,12.2,272.9,90.6,40.0,241.0,6.2,6.8,6.6,2.0,3.0,41.13,27.0,390.0,1448.0,8.0,36.0,3.7,90.5,27.0,-82.91,15.0,8.0,29.0,0.0,0.0,0.0,4.0,0.0,41.0,4.0,7.0,0.0,32.0,34.0,22.0,31.0,1.0,354.0,22.1,18.0,335.0,5814.0,1035.0,5.6,27.0,13.0,352.0,104.0,795.0,33.0,33.7,15.4,-52.32
Jacksonville Jaguars,13.0,16.0,227.0,85.0,37.4%,13.0,10.0,76.9%,50.0,32.0,64.0%,3.0,199,1115,34.7,11.1,5.6,29.4,Own 29.2,2:36,1.82,17.0,316.0,527.0,60.0,3593.0,21.0,4.0,13.0,2.5,75.0,7.1,6.7,11.8,224.6,84.4,24.0,123.0,4.4,6.5,6.2,1.0,1.0,42.05,1.0,527.0,2262.0,18.0,90.0,4.3,141.4,24.0,-67.81,25.0,8.0,24.0,0.0,1.0,0.0,1.0,0.0,34.0,2.0,2.0,0.0,29.0,32.0,27.0,34.0,0.0,318.0,19.9,5.0,417.0,5855.0,1078.0,5.4,23.0,10.0,332.0,112.0,936.0,38.0,34.7,11.1,-36.01
Green Bay Packers,15.0,16.0,211.0,83.0,39.3%,28.0,15.0,53.6%,42.0,26.0,61.9%,28.0,174,1024,30.5,13.2,5.9,28.1,Own 26.5,2:41,1.79,25.0,352.0,562.0,62.6,3167.0,25.0,4.4,18.0,3.2,72.0,6.3,5.7,10.0,197.9,81.9,51.0,365.0,8.3,5.2,4.7,4.0,4.0,-62.02,17.0,386.0,1724.0,13.0,46.0,4.5,107.8,14.0,5.45,21.0,11.0,40.0,0.0,0.0,0.0,0.0,0.0,51.0,2.0,4.0,0.0,44.0,47.0,26.0,30.0,0.0,432.0,27.0,21.0,320.0,4891.0,999.0,4.9,25.0,7.0,307.0,96.0,789.0,32.0,30.5,13.2,-61.83
New England Patriots,16.0,16.0,202.0,82.0,40.6%,13.0,8.0,61.5%,70.0,42.0,60.0%,30.0,174,1110,49.4,6.9,6.4,36.1,Own 28.5,2:49,2.61,2.0,389.0,587.0,66.3,4418.0,32.0,5.5,8.0,1.4,64.0,7.9,8.3,11.9,276.1,102.6,35.0,201.0,5.6,7.1,7.6,2.0,2.0,197.94,10.0,448.0,1889.0,16.0,44.0,4.2,118.1,13.0,-87.22,1.0,19.0,32.0,0.0,0.0,0.0,0.0,0.0,51.0,1.0,2.0,0.0,46.0,49.0,27.0,32.0,3.0,441.0,27.6,2.0,458.0,6307.0,1070.0,5.9,12.0,4.0,389.0,95.0,835.0,50.0,49.4,6.9,114.84
Arizona Cardinals,17.0,16.0,233.0,82.0,35.2%,16.0,7.0,43.8%,48.0,20.0,41.7%,1.0,202,1091,29.2,12.4,5.4,24.9,Own 29.7,2:28,1.41,15.0,339.0,598.0,56.7,3640.0,21.0,3.5,18.0,3.0,52.0,6.7,6.0,11.7,227.5,76.2,52.0,339.0,8.0,5.6,5.0,5.0,5.0,-70.67,30.0,410.0,1386.0,6.0,33.0,3.4,86.6,19.0,-109.56,14.0,20.0,28.0,0.0,0.0,1.0,2.0,0.0,51.0,1.0,4.0,0.0,43.0,47.0,21.0,28.0,2.0,418.0,26.1,25.0,295.0,5026.0,1060.0,4.7,25.0,7.0,310.0,110.0,880.0,44.0,29.2,12.4,-185.97
Oakland Raiders,18.0,16.0,204.0,82.0,40.2%,24.0,8.0,33.3%,34.0,20.0,58.8%,23.0,178,978,29.2,15.2,5.5,29.1,Own 28.3,2:36,1.69,16.0,347.0,558.0,62.2,3631.0,23.0,4.1,14.0,2.5,87.0,6.7,6.4,10.8,226.9,85.3,24.0,130.0,4.1,6.2,5.9,1.0,1.0,-30.02,25.0,370.0,1554.0,13.0,52.0,4.2,97.1,33.0,-49.13,20.0,17.0,29.0,0.0,0.0,0.0,1.0,0.0,47.0,5.0,7.0,0.0,37.0,39.0,29.0,35.0,0.0,416.0,26.0,23.0,301.0,5185.0,952.0,5.4,28.0,14.0,287.0,114.0,1009.0,31.0,29.2,15.2,-84.71
New York Jets,19.0,16.0,228.0,81.0,35.5%,13.0,7.0,53.8%,33.0,18.0,54.5%,2.0,199,1019,28.6,11.1,5.1,24.5,Own 27.6,2:26,1.5,24.0,323.0,510.0,63.3,3182.0,19.0,3.7,12.0,2.4,69.0,6.9,6.6,10.8,198.9,86.1,47.0,319.0,8.4,5.7,5.4,1.0,2.0,-11.78,19.0,427.0,1702.0,13.0,75.0,4.0,106.4,25.0,-100.3,28.0,10.0,16.0,0.0,0.0,1.0,0.0,1.0,28.0,1.0,1.0,0.0,24.0,26.0,27.0,31.0,0.0,275.0,17.2,24.0,298.0,4884.0,984.0,5.0,24.0,12.0,269.0,119.0,1035.0,35.0,28.6,11.1,-119.83
Detroit Lions,20.0,16.0,209.0,81.0,38.8%,9.0,1.0,11.1%,46.0,26.0,56.5%,17.0,185,1017,37.3,11.9,5.5,29.1,Own 29.9,2:35,1.96,6.0,374.0,570.0,65.6,4183.0,29.0,5.1,11.0,1.9,71.0,7.8,8.0,12.0,261.4,98.4,47.0,287.0,7.6,6.8,6.9,1.0,4.0,18.05,32.0,363.0,1221.0,10.0,34.0,3.4,76.3,21.0,-105.35,13.0,9.0,24.0,2.0,0.0,0.0,1.0,0.0,36.0,1.0,2.0,0.0,31.0,33.0,31.0,36.0,2.0,346.0,21.6,7.0,410.0,5404.0,980.0,5.5,22.0,11.0,296.0,104.0,968.0,28.0,37.3,11.9,-93.68
Seattle Seahawks,21.0,16.0,212.0,79.0,37.3%,9.0,5.0,55.6%,45.0,25.0,55.6%,4.0,197,1039,30.5,8.6,5.3,26.8,Own 28.5,2:23,1.71,14.0,340.0,555.0,61.3,3657.0,34.0,6.1,12.0,2.2,74.0,7.2,7.4,11.7,228.6,94.4,43.0,322.0,7.2,6.1,6.3,2.0,2.0,11.73,23.0,409.0,1629.0,4.0,33.0,4.0,101.8,18.0,-78.07,3.0,13.0,23.0,0.0,0.0,1.0,0.0,0.0,37.0,1.0,2.0,0.0,29.0,35.0,33.0,37.0,1.0,354.0,22.1,11.0,366.0,5286.0,1007.0,5.2,17.0,5.0,299.0,148.0,1342.0,31.0,30.5,8.6,-78.12
Kansas City Chiefs,22.0,16.0,199.0,78.0,39.2%,10.0,3.0,30.0%,50.0,21.0,42.0%,25.0,176,1032,44.9,6.3,5.9,34.0,Own 29.1,2:49,2.21,7.0,363.0,543.0,66.9,4104.0,26.0,4.8,8.0,1.5,79.0,8.0,8.3,11.9,256.5,100.8,37.0,222.0,6.4,7.1,7.4,1.0,4.0,35.89,9.0,405.0,1903.0,12.0,70.0,4.7,118.9,14.0,-45.07,7.0,15.0,19.0,2.0,1.0,1.0,4.0,0.0,42.0,2.0,2.0,1.0,36.0,39.0,31.0,35.0,1.0,389.0,24.3,6.0,415.0,6007.0,985.0,6.1,11.0,3.0,322.0,118.0,1044.0,29.0,44.9,6.3,-22.58
Houston Texans,23.0,16.0,209.0,76.0,36.4%,10.0,5.0,50.0%,42.0,22.0,52.4%,8.0,192,1054,29.2,14.6,5.5,26.7,Own 25.3,2:30,1.63,21.0,299.0,525.0,57.0,3278.0,28.0,5.3,17.0,3.2,72.0,6.9,6.6,12.2,204.9,82.7,54.0,366.0,9.3,5.7,5.3,1.0,1.0,-26.24,14.0,448.0,1842.0,8.0,49.0,4.1,115.1,25.0,-41.89,11.0,8.0,15.0,1.0,0.0,0.0,1.0,0.0,25.0,0.0,0.0,0.0,22.0,25.0,35.0,41.0,1.0,279.0,17.4,17.0,338.0,5120.0,1027.0,5.0,28.0,11.0,313.0,124.0,1050.0,47.0,29.2,14.6,-78.81
