"RB","Overall","Player","Team","Bye","MFL","Fantrax","RTSports","FFC","Sleeper","AVG"
"72","259","Andre Ellington","","","","76","","","","71.3"
"73","248","Mike Gillislee","","","","94","","","","64.3"
"74","250","Leonard Fournette","TB","6","","","","","","11.0"
"75","296","Kenyan Drake","BAL","8","","61","","","","79.3"
"76","255","Christian McCaffrey","SF","8","","","","","","17.0"
"77","256","Joe Mixon","CIN","9","","","","","","18.0"
"78","258","Ty Montgomery","NE","9","","","","","","23.0"
"79","333","Alfred Blue","","","","84","","","","75.7"
"80","318","Benny Cunningham Jr.","","","","83","","","","76.3"
"81","267","Dalvin Cook","MIN","6","","","","","","29.0"
"82","274","Samaje Perine","CIN","9","","","","","","35.0"
"83","280","Jonathan Williams","WAS","9","","65","","","","68.0"
"84","367","Reggie Bush","","","","93","","","","79.7"
"85","289","Wendell Smallwood","","","","79","","","","71.5"
"86","366","Mike Tolbert","","","","91","","","","81.3"
"87","286","Kareem Hunt","CLE","13","","","","","","44.0"
"88","341","Robert Turbin","","","","81","","","","82.7"
"89","324","Jacquizz Rodgers","","","","96","","","","83.3"
"90","295","Jamaal Williams","DET","10","","","","","","49.0"
"91","298","Rex Burkhead","HOU","9","","","","","","52.0"
"92","300","Joe Williams","","","","","","","","53.0"
"93","348","Ka'Deem Carey","","","","85","","","","77.0"
"94","309","Zach Zenner","","","","82","","","","77.5"
"95","358","Shaun Draughn","","","","80","","","","78.0"
"96","308","Marlon Mack","DEN","11","","","","","","56.0"
"97","311","Alvin Kamara","NO","5","","","","","","59.0"
"98","312","Jalen Richard","","","","","","","","60.0"
"99","365","Tre Mason","","","","87","","","","80.5"
"100","315","Jeremy McNichols","PIT","8","","","","","","61.0"
"101","344","Tyler Gaffney","","","","74","","","","81.0"
"102","314","Josh Ferguson","","","","63","","","","63.0"
"103","316","Aaron Jones","GB","4","","","","","","63.0"
"104","373","Lance Dunbar","","","","90","","","","88.7"
"105","321","D'Onta Foreman","CAR","7","","","","","","65.0"
"106","322","Donnel Pumphrey","","","","","","","","66.0"
"107","","Alex Collins","","","","","","","","84.5"
"108","382","Stevan Ridley","","","","88","","","","85.0"
"109","338","Kenjon Barner","","","","72","","","","86.0"
"110","371","Brandon Bolden","LV","","","103","","","","87.0"
"111","339","Wayne Gallman Jr.","SEA","5","","","","","","74.0"
"112","","Knile Davis","","","","","","","","77.0"
"113","352","Keith Marshall","","","","77","","","","77.0"
"114","355","Tyler Ervin","","","","78","","","","78.0"
"115","357","James Conner","ARI","9","","","","","","78.0"
"116","406","Damien Williams","","","","","","","","90.5"
"117","","Denard Robinson","","","","","","","","83.0"
"118","363","Kyle Juszczyk","SF","8","","","","","","83.0"
"119","377","Khiry Robinson","","","","86","","","","86.0"
"120","","Branden Oliver","","","","","","","","86.0"
"121","431","Fozzy Whittaker","","","","99","","","","94.5"
"122","383","Antonio Andrews","","","","89","","","","89.0"
"123","","Orleans Darkwa","","","","","","","","89.0"
"124","380","Tarik Cohen","","","","","","","","89.0"
"125","","Taiwan Jones","BUF","10","","","","","","91.0"
"126","385","T.J. Logan","","","","","","","","91.0"
"127","392","Dexter McCluster","","","","92","","","","92.0"
"128","","Lorenzo Taliaferro","","","","","","","","93.0"
"129","399","Corey Grant","","","","","","","","94.0"
"130","","Donald Brown","","","","","","","","95.0"
"131","403","D.J. Foster","","","","95","","","","95.0"
"132","","Matthew Tucker","","","","","","","","96.0"
"133","","Mack Brown","","","","","","","","97.0"
"134","420","Darius Jackson","","","","97","","","","97.0"
"135","","Daryl Richardson","","","","","","","","98.0"
"136","430","Malcolm Brown","LAR","8","","98","","","","98.0"
"137","","Matt Asiata","","","","","","","","99.0"
"138","437","Trent Richardson","","","","100","","","","100.0"
"139","440","Andre Williams","","","","101","","","","101.0"
"140","441","Marcel Reece","","","","102","","","","102.0"
""
""
