"WR","Overall","Player","Team","Bye","MFL","Fantrax","RTSports","FFC","Sleeper","AVG"
"126","","Charles Johnson","","","","","","","","98.0"
"127","393","Taywan Taylor","","","","","","","","98.0"
"128","","Andre Roberts","CAR","7","","","","","","99.0"
"129","436","Corey Brown","","","","121","","","","110.5"
"130","414","Devin Hester","","","","110","","","","110.5"
"131","","Cecil Shorts","","","","","","","","101.0"
"132","395","Jon Baldwin","","","","102","","","","102.0"
"133","","Jarius Wright","","","","","","","","102.0"
"134","432","Brice Butler","","","","120","","","","112.0"
"135","","Brian Hartline","","","","","","","","103.0"
"136","397","Roddy White","","","","103","","","","103.0"
"137","405","Matt Jones","","","","104","","","","104.0"
"138","413","Bruce Ellington","","","","109","","","","113.0"
"139","407","Reggie Diggs","","","","105","","","","105.0"
"140","","Keshawn Martin","","","","","","","","106.0"
"141","411","Chris Conley","TEN","13","","106","","","","106.0"
"142","412","Rashad Greene","","","","108","","","","108.0"
"143","448","Albert Wilson","LV","","","122","","","","115.5"
"144","","Marquess Wilson","","","","","","","","110.0"
"145","","Brian Quick","","","","","","","","112.0"
"146","","Marc Mariani","","","","","","","","113.0"
"147","416","Nelson Spruce","","","","113","","","","113.0"
"148","417","Jakeem Grant Sr.","CLE","13","","116","","","","116.0"
"149","419","Aaron Burbridge","","","","117","","","","117.0"
"150","421","Leonte Carroo","","","","118","","","","118.0"
"151","","Andrew Hawkins","","","","","","","","119.0"
"152","429","DeAndre Smelter","","","","119","","","","119.0"
"153","","Leonard Hankerson","","","","","","","","120.0"
"154","","Jace Billingsley","","","","","","","","122.0"
"155","","Harry Douglas","","","","","","","","123.0"
"156","","James Wright","","","","","","","","124.0"
"157","","Stedman Bailey","","","","","","","","125.0"
""
""
