"RB","Overall","Player","Team","Bye","MFL","Fantrax","RTSports","FFC","Sleeper","AVG"
"36","86","Rhamondre Stevenson","NE","10","","","29","","37","33.0"
"37","95","Kenneth Walker III","SEA","11","","","39","","36","37.5"
"38","100","James Cook","BUF","7","","","37","","39","38.0"
"39","99","Melvin Gordon III","KC","8","","","38","","38","38.0"
"40","106","James Robinson","NYJ","10","","","40","","40","40.0"
"41","111","Darrell Henderson Jr.","","","","","41","","42","41.5"
"42","113","Michael Carter","NYJ","10","","","42","","41","41.5"
"43","122","Nyheim Hines","BUF","7","","","44","","44","44.0"
"44","117","Alexander Mattison","MIN","7","","","46","","43","44.5"
"45","125","Kenneth Gainwell","PHI","7","","","43","","49","46.0"
"46","136","Raheem Mostert","MIA","11","","","45","","52","48.5"
"47","131","Tyler Allgeier","ATL","14","","","50","","47","48.5"
"48","135","Brian Robinson Jr.","WAS","14","","","53","","45","49.0"
"49","132","Rachaad White","TB","11","","","48","","50","49.0"
"50","138","Khalil Herbert","CHI","14","","","52","","48","50.0"
"51","160","Isaiah Spiller","LAC","8","","","58","","46","52.0"
"52","145","Jamaal Williams","DET","6","","","51","","54","52.5"
"53","153","Zamir White","LV","6","","","54","","53","53.5"
"54","159","J.D. McKissic","WAS","14 ","","","49","","59","54.0"
"55","172","Mark Ingram II","N","14 O","","","60","","55","57.5"
"56","176","D'Onta Foreman","CAR","13","","","57","","58","57.5"
"57","179","Jeff Wilson Jr.","MIA","11","","","56","","63","59.5"
"58","186","Darrel Williams","ARI","13","","","55","","65","60.0"
"59","190","Mike Davis","","","","","59","","62","60.5"
"60","199","Tyrion Davis-Price","SF","9","","","62","","60","61.0"
"61","205","Chuba Hubbard","CAR","13","","","67","","57","62.0"
"62","206","Kenyan Drake","BAL","10","","","61","","68","64.5"
"63","224","Eno Benjamin","NO","14","","","64","","67","65.5"
"64","234","Dontrell Hilliard","TEN","6 ","","","68","","66","67.0"
"65","231","Ronald Jones II","KC","8","","","81","","56","68.5"
"66","220","Isiah Pacheco","KC","8","","","","","51","51.0"
"67","237","Sony Michel","","","","","72","","69","70.5"
"68","243","Gus Edwards","BAL","10","","","79","","64","71.5"
"69","239","Marlon Mack","DEN","9","","","","","61","61.0"
"70","247","Ameer Abdullah","LV","6","","","63","","101","82.0"
"71","248","Jerick McKinnon","KC","8","","","65","","132","98.5"
"72","262","Hassan Haskins","TEN","6","","","83","","70","76.5"
"73","250","Myles Gaskin","MIA","11 ","","","66","","172","119.0"
"74","255","Rex Burkhead","HOU","6","","","69","","110","89.5"
"75","259","Ke'Shawn Vaughn","TB","11","","","70","","","70.0"
"76","272","Corey Clement","ARI","13","","","","","71","71.0"
"77","265","Damien Williams","","","","","71","","146","108.5"
"78","278","Lenard Tillery","","","","","","","72","72.0"
"79","281","Rajion Neal","","","","","","","73","73.0"
"80","267","Matt Breida","NYG","9","","","73","","155","114.0"
"81","285","I'Tavius Mathers","","","","","","","74","74.0"
"82","268","Boston Scott","PHI","7","","","74","","136","105.0"
"83","291","Senorise Perry","","","","","","","75","75.0"
"84","271","D'Ernest Johnson","CLE","9","","","75","","149","112.0"
"85","295","Mike Weber","NYG","9","","","","","76","76.0"
"86","277","Joshua Kelley","LAC","8","","","76","","102","89.0"
"87","312","David Fluellen","","","","","","","77","77.0"
"88","289","Jaylen Warren","PIT","9","","","77","","94","85.5"
"89","314","Darren Sproles","","","","","","","78","78.0"
"90","293","Samaje Perine","CIN","10","","","78","","139","108.5"
"91","","Trey Ragas","","","","","","","79","79.0"
"92","","Garrett Groshek","","","","","","","80","80.0"
"93","296","Jordan Mason","SF","9","","","80","","99","89.5"
"94","","Lamar Miller","","","","","","","81","81.0"
"95","","J.J. Taylor","NE","10","","","","","82","82.0"
"96","315","Chris Evans","CIN","10","","","82","","141","111.5"
"97","","Leddie Brown","","","","","","","83","83.0"
"98","","Gerald Holmes","","","","","","","84","84.0"
"99","324","Kyren Williams","LAR","7","","","84","","150","117.0"
"100","","Larry Rountree III","LAC","8","","","","","85","85.0"
"101","326","Zack Moss","IND","14","","","85","","108","96.5"
"102","","Adrian Peterson","","","","","","","86","86.0"
"103","334","Kyle Juszczyk","SF","9","","","86","","","86.0"
"104","","Khalfani Muhammad","","","","","","","87","87.0"
"105","","Antonio Williams","","","","","","","88","88.0"
"106","","Latavius Murray","DEN","9","","","","","89","89.0"
"107","","Deon Jackson","IND","14","","","","","90","90.0"
"108","","Adam Choice","","","","","","","92","92.0"
"109","","Julius Chestnut","TEN","6","","","","","93","93.0"
"110","","Le'Veon Bell","","","","","","","95","95.0"
"111","","Malik Williams","","","","","","","96","96.0"
"112","","Bruce Anderson III","","","","","","","97","97.0"
"113","","Kobe McCrary","","","","","","","98","98.0"
"114","","Carlos Hyde","","","","","","","100","100.0"
"115","","Godwin Igwebuike","SEA","11","","","","","103","103.0"
"116","","Stephen Carr","","","","","","","104","104.0"
"117","","Brian Hill","","","","","","","105","105.0"
"118","","Devontae Booker","","","","","","","106","106.0"
"119","","Todd Gurley II","","","","","","","107","107.0"
"120","","A.J. Ouellette","","","","","","","109","109.0"
"121","","Jashaun Corbin","NYG","9","","","","","111","111.0"
"122","","Jake Funk","IND","14","","","","","112","112.0"
"123","","Benny Snell Jr.","PIT","9","","","","","113","113.0"
"124","","CJ Marable","","","","","","","114","114.0"
"125","","Travis Homer","SEA","11","","","","","115","115.0"
"126","","Craig Reynolds","DET","6","","","","","116","116.0"
"127","","T.J. Logan","","","","","","","117","117.0"
"128","","Sandro Platzgummer","NYG","9","","","","","118","118.0"
"129","","Max Borghi","","","","","","","119","119.0"
"130","339","Trey Sermon","PHI","7","","","87","","153","120.0"
"131","","Anthony McFarland Jr.","PIT","9","","","","","120","120.0"
"132","","Jerome Ford","CLE","9","","","","","121","121.0"
"133","","Trestan Ebner","CHI","14","","","","","122","122.0"
"134","","Pooka Williams Jr.","","","","","","","123","123.0"
"135","","Salvon Ahmed","MIA","11","","","","","124","124.0"
"136","","Ty Chandler","MIN","7","","","","","125","125.0"
"137","","Giovani Bernard","TB","11","","","","","126","126.0"
"138","","Mike Boone","DEN","9 ","","","","","127","127.0"
"139","","Robert Turbin","","","","","","","128","128.0"
"140","","Jonathan Ward","","","","","","","129","129.0"
"141","","Ty Montgomery","NE","10 ","","","","","130","130.0"
"142","","Justice Hill","BAL","10","","","","","131","131.0"
"143","","Alfred Morris","","","","","","","133","133.0"
"144","","Kerryon Johnson","","","","","","","134","134.0"
"145","","De'Montre Tuggle","","","","","","","135","135.0"
"146","","Devonta Freeman","","","","","","","137","137.0"
"147","","Marshawn Lynch","","","","","","","138","138.0"
"148","","Brittain Brown","LV","6","","","","","140","140.0"
"149","","Jermar Jefferson","DET","6","","","","","142","142.0"
"150","","Derrick Gore","NO","14","","","","","143","143.0"
"151","","Jaret Patterson","WAS","14","","","","","144","144.0"
"152","","Jaylen Samuels","","","","","","","145","145.0"
"153","","Dwayne Washington","NO","14","","","","","147","147.0"
"154","","DeeJay Dallas","SEA","11","","","","","148","148.0"
"155","","Wayne Gallman Jr.","SEA","11","","","","","151","151.0"
"156","","Kennedy Brooks","","","","","","","152","152.0"
"157","","Dare Ogunbowale","HOU","6","","","","","154","154.0"
"158","","Ronnie Rivers","LAR","7","","","","","156","156.0"
"159","","Kevin Harris","NE","10","","","","","157","157.0"
"160","","Tyler Badie","DEN","9","","","","","158","158.0"
"161","","Keaontay Ingram","ARI","13","","","","","159","159.0"
"162","","T.J. Yeldon","","","","","","","160","160.0"
"163","","Duke Johnson Jr.","BUF","7","","","","","161","161.0"
"164","","Snoop Conner","JAC","11","","","","","162","162.0"
"165","","Pierre Strong Jr.","NE","10","","","","","163","163.0"
"166","","Elijah Holyfield","CIN","10 ","","","","","164","164.0"
"167","","Phillip Lindsay","","","","","","","165","165.0"
"168","","Tony Jones Jr.","SEA","11","","","","","166","166.0"
"169","","Rakeem Boyd","","","","","","","167","167.0"
"170","","Ty Johnson","NYJ","10","","","","","168","168.0"
"171","","Brandon Bolden","LV","6","","","","","169","169.0"
"172","","Ricky Person Jr.","","","","","","","170","170.0"
"173","","Demetric Felton Jr.","CLE","9","","","","","171","171.0"
"174","","Zander Horvath","LAC","8","","","","","173","173.0"
""
""
