"RB","Overall","Player","Team","Bye","MFL","Fantrax","RTSports","FFC","Sleeper","AVG"
"95","347","Toby Gerhart","","","","88","","","","88.0"
"96","349","Bilal Powell","","","","89","","","","89.0"
"97","350","Mike Tolbert","","","","90","","","","90.0"
"98","352","Dexter McCluster","","","","91","","","","91.0"
"99","365","Tyler Clutts","","","","94","","","","94.0"
"100","373","Travaris Cadet","","","","96","","","","96.0"
"101","377","Jonathan Grimes","","","","97","","","","97.0"
"102","378","Juwan Thompson","","","","98","","","","98.0"
"103","381","Zach Zenner","","","","100","","","","100.0"
"104","384","Bryce Brown","","","","102","","","","102.0"
"105","385","Ryan Williams","","","","103","","","","103.0"
"106","398","Kendall Hunter","","","","104","","","","104.0"
"107","401","Steven Jackson","","","","105","","","","105.0"
"108","412","Michael Dyer","","","","106","","","","106.0"
"109","415","Will Johnson","","","","107","","","","107.0"
"110","416","Antonio Andrews","","","","108","","","","108.0"
"111","417","Shonn Greene","","","","109","","","","109.0"
""
""
