"Rank","Player","Team","Bye","POS","MFL","Fantrax","RTSports","FFC","Sleeper","AVG"
"35","Miles Sanders","PHI","14","RB19","34","36","","35","37","35.5"
"36","CeeDee Lamb","DAL","7","WR12","40","34","","33","39","36.5"
"37","Kyler Murray","ARI","12","QB3","33","38","","38","38","36.8"
"38","Allen Robinson II","LAR","11","WR13","41","37","","39","35","38.0"
"39","D'Andre Swift","DET","9","RB20","44","39","","36","36","38.8"
"40","Lamar Jackson","BAL","8","QB4","31","42","","46","42","40.3"
"41","Chris Godwin","TB","9 ","WR14","39","41","","48","41","42.3"
"42","Robert Woods","TEN","13 ","WR15","43","40","","41","45","42.3"
"43","Julio Jones","TB","9","WR16","47","44","","44","40","43.8"
"44","Amari Cooper","CLE","13","WR17","48","43","","47","43","45.3"
"45","Myles Gaskin","MIA","14","RB21","45","46","","43","51","46.3"
"46","Aaron Rodgers","GB","13","QB5","38","45","","54","53","47.5"
"47","Adam Thielen","MIN","7","WR18","46","47","","50","47","47.5"
"48","Kyle Pitts","ATL","6","TE4","59","58","","42","44","50.8"
"49","Kareem Hunt","CLE","13","RB22","52","49","","56","46","50.8"
"50","Russell Wilson","DEN","11","QB6","42","51","","64","50","51.8"
"51","Cooper Kupp","LAR","11","WR19","57","48","","57","49","52.8"
"52","Mike Davis","","","RB23","53","53","","45","62","53.3"
"53","Dak Prescott","DAL","7","QB7","49","52","","59","55","53.8"
"54","Mark Andrews","BAL","8","TE5","60","55","","51","52","54.5"
"55","Tyler Lockett","SEA","9","WR20","58","50","","58","54","55.0"
"56","Raheem Mostert","MIA","14 ","RB24","51","56","","53","60","55.0"
"57","DJ Moore","CAR","13","WR21","54","54","","66","48","55.5"
"58","Darrell Henderson Jr.","","","RB25","64","63","","40","61","57.0"
"59","Justin Herbert","LAC","7","QB8","50","59","","63","58","57.5"
"60","Diontae Johnson","PIT","7","WR22","61","57","","62","57","59.3"
"61","Javonte Williams","DEN","11","RB26","67","60","","49","69","61.3"
"62","Chase Edmonds","DEN","11","RB27","55","69","","65","59","62.0"
"63","Damien Harris","NE","14","RB28","63","64","","52","71","62.5"
"64","Gus Edwards","BAL","8 ","RB29","62","67","","55","72","64.0"
"65","T.J. Hockenson","MIN","7 ","TE6","77","65","","60","56","64.5"
"66","Brandon Aiyuk","SF","6","WR23","69","66","","61","63","64.8"
"67","Chase Claypool","CHI","10","WR24","72","62","","68","70","68.0"
"68","Tom Brady","TB","9","QB9","56","72","","74","73","68.8"
"69","Odell Beckham Jr.","","","WR25","70","70","","70","65","68.8"
"70","Melvin Gordon III","KC","12","RB30","66","74","","75","67","70.5"
"71","Ja'Marr Chase","CIN","10","WR26","71","61","","77","75","71.0"
"72","Tee Higgins","CIN","10","WR27","75","68","","73","68","71.0"
"73","Michael Thomas","N","6 O","WR28","78","78","","69","64","72.3"
"74","Kenny Golladay","NYG","10","WR29","79","73","","86","66","76.0"
"75","Jerry Jeudy","DEN","11","WR30","83","75","","72","76","76.5"
"76","Ronald Jones II","KC","12","RB31","81","76","","76","74","76.8"
"77","JuJu Smith-Schuster","KC","12","WR31","68","77","","89","77","77.8"
"78","Trey Sermon","PHI","14","RB32","80","90","","67","78","78.8"
"79","Leonard Fournette","TB","9","RB33","65","85","","88","81","79.8"
"80","Courtland Sutton","DEN","11","WR32","76","82","","87","80","81.3"
"81","Matthew Stafford","LAR","11","QB10","73","84","","84","87","82.0"
"82","Logan Thomas","WAS","9 ","TE7","87","81","","71","97","84.0"
"83","DeVonta Smith","PHI","14","WR33","94","71","","82","89","84.0"
"84","Robbie Anderson","ARI","12","WR34","85","80","","90","85","85.0"
"85","Ryan Tannehill","TEN","13","QB11","74","89","","92","91","86.5"
"86","Robert Tonyan","GB","13 ","TE8","84","102","","80","86","88.0"
"87","Deebo Samuel","SF","6","WR35","88","88","","94","84","88.5"
"88","Antonio Brown ","","","WR36","97","87","","81","96","90.3"
"89","AJ Dillon","GB","13","RB34","103","91","","78","93","91.3"
"90","Zack Moss","IND","14","RB35","95","103","","79","88","91.3"
"91","Tyler Boyd","CIN","10","WR37","89","79","","104","95","91.8"
"92","James Conner","ARI","12","RB36","92","86","","93","99","92.5"
"93","Noah Fant","SEA","9","TE9","106","92","","98","83","94.8"
"94","DJ Chark Jr.","DET","9 ","WR38","100","93","","110","82","96.3"
"95","Michael Carter","NYJ","6","RB37","102","101","","83","100","96.5"
"96","Jalen Hurts","PHI","14","QB12","86","99","","100","103","97.0"
"97","Brandin Cooks","HOU","10","WR39","82","94","","118","101","98.8"
"98","Jarvis Landry","NO","6","WR40","90","83","","124","98","98.8"
"99","Devin Singletary","BUF","7","RB38","96","95","","91","113","98.8"
"100","Dallas Goedert","PHI","14","TE10","104","114","","102","79","99.8"
"101","Rob Gronkowski","","","TE11","125","100","","85","92","100.5"
"102","Corey Davis","NYJ","6 ","WR41","91","96","","111","107","101.3"
"103","Los Angeles Rams","DST","11","DST1","93","106","","109","102","102.5"
"104","Laviska Shenault Jr.","CAR","13","WR42","105","104","","97","105","102.8"
"105","Sony Michel","","","RB39","98","123","","95","109","106.3"
"106","Pittsburgh Steelers","DST","7","DST2","108","97","","105","118","107.0"
"107","Joe Burrow","CIN","10","QB13","101","98","","112","120","107.8"
"108","Tampa Bay Buccaneers","DST","9","DST3","110","112","","120","90","108.0"
"109","Kenyan Drake","BAL","8 ","RB40","120","105","","108","110","110.8"
"110","Michael Pittman Jr.","IND","14","WR43","123","107","","96","121","111.8"
"111","Jamaal Williams","DET","9","RB41","122","111","","99","123","113.8"
"112","David Johnson","NO","6","RB42","133","117","","106","104","115.0"
"113","Mike Gesicki","MIA","14","TE12","109","121","","127","106","115.8"
"114","Tyler Higbee","LAR","11 ","TE13","116","120","","116","115","116.8"
"115","Justin Tucker","BAL","8","K1","107","122","","145","94","117.0"
"116","Jaylen Waddle","MIA","14","WR44","131","109","","117","111","117.0"
"117","Mike Williams","LAC","7","WR45","127","115","","114","116","118.0"
"118","Washington Commanders","DST","9","DST4","114","127","","121","114","119.0"
"119","Marquez Callaway","NO","6","WR46","128","110","","103","136","119.3"
"120","William Fuller V","","","WR47","129","108","","131","112","120.0"
"121","Harrison Butker","KC","12","K2","112","128","","136","108","121.0"
"122","Baltimore Ravens","DST","8","DST5","130","113","","132","117","123.0"
"123","Mecole Hardman","KC","12","WR48","134","133","","101","128","124.0"
"124","Marquise Brown","ARI","12","WR49","124","116","","135","131","126.5"
"125","Michael Gallup","DAL","7 ","WR50","121","118","","143","126","127.0"
"126","Tony Pollard","DAL","7","RB43","143","125","","107","140","128.8"
"127","Henry Ruggs III ","","","WR51","99","132","","141","144","129.0"
"128","Trevor Lawrence","JAC","7","QB14","126","141","","130","122","129.8"
"129","Matt Ryan","IND","14","QB15","111","134","","125","151","130.3"
"130","Baker Mayfield","LAR","11 ","QB16","113","137","","137","139","131.5"
"131","Buffalo Bills","DST","7","DST6","117","145","","148","124","133.5"
"132","Curtis Samuel","WAS","9","WR52","139","119","","161","127","136.5"
"133","Younghoe Koo","ATL","6","K3","132","147","","149","119","136.8"
"134","San Francisco 49ers","DST","6","DST7","140","146","","134","129","137.3"
"135","Darnell Mooney","CHI","10","WR53","159","129","","122","142","138.0"
"136","Nyheim Hines","BUF","7","RB44","150","131","","139","132","138.0"
"137","Jonnu Smith","NE","14","TE14","135","136","","144","138","138.3"
"138","Justin Fields","CHI","10","QB17","146","144","","128","143","140.3"
"139","Marvin Jones Jr.","JAC","7","WR54","137","126","","146","153","140.5"
"140","Alexander Mattison","MIN","7","RB45","161","139","","115","161","144.0"
"141","Cole Beasley","BUF","7","WR55","115","130","","167","166","144.5"
"142","Trey Lance","SF","6","QB18","155","155","","123","147","145.0"
"143","J.D. McKissic","WAS","9","RB46","138","140","","138","170","146.5"
"144","Rhamondre Stevenson","NE","14","RB47","169","167","","119","137","148.0"
"145","Tyler Bass","BUF","7","K4","154","158","","153","130","148.8"
"146","Tevin Coleman","SF","6","RB48","166","148","","129","160","150.8"
"147","DeVante Parker","NE","14","WR56","145","124","","176","163","152.0"
"148","Jakobi Meyers","NE","14","WR57","164","149","","140","156","152.3"
"149","Indianapolis Colts","DST","14","DST8","153","138","","159","162","153.0"
"150","Kirk Cousins","MIN","7","QB19","119","150","","183","165","154.3"
"151","Jared Cook","","","TE15","118","172","","170","158","154.5"
"152","Jameis Winston","N","6 O","QB20","141","178","","147","157","155.8"
"153","Ben Roethlisberger","","","QB21","136","151","","155","182","156.0"
"154","New England Patriots","DST","14","DST9","148","174","","152","152","156.5"
"155","Phillip Lindsay","","","RB49","144","256","","113","125","159.5"
"156","Latavius Murray","DEN","11","RB50","163","191","","133","154","160.3"
"157","Rodrigo Blankenship","","","K5","177","187","","158","135","164.3"
"158","Jason Sanders","MIA","14","K6","172","200","","164","133","167.3"
"159","Nelson Agholor","NE","14","WR58","160","181","","165","167","168.3"
"160","Russell Gage","TB","9","WR59","149","161","","189","185","171.0"
"161","Mac Jones","NE","14","QB22","165","157","","194","171","171.8"
"162","Denver Broncos","DST","11","DST10","167","215","","174","134","172.5"
"163","Tua Tagovailoa","MIA","14","QB23","157","159","","185","190","172.8"
"164","Ryan Succop","TB","9","K7","156","235","","157","146","173.5"
"165","Chuba Hubbard","CAR","13","RB51","","153","","126","141","140.0"
"166","Greg Zuerlein","NYJ","6","K8","171","223","","163","149","176.5"
"167","Elijah Moore","NYJ","6","WR60","","143","","151","145","146.3"
"168","Ryan Fitzpatrick ","","","QB24","173","170","","186","193","180.5"
"169","Mark Ingram II","NO","6","RB52","147","206","","180","202","183.8"
"170","James White ","","","RB53","168","160","","196","211","183.8"
"171","Cleveland Browns","DST","13","DST11","170","230","","192","148","185.0"
"172","Hunter Henry","NE","14","TE16","","152","","160","150","154.0"
"173","Zach Ertz","ARI","12","TE17","142","142","","","181","155.0"
"174","Rashaad Penny","SEA","9","RB54","","156","","142","169","155.7"
"175","Miami Dolphins","DST","14","DST12","174","190","","204","184","188.0"
"176","Mason Crosby","GB","13","K9","178","264","","168","179","197.3"
"177","Kansas City Chiefs","DST","12","DST13","176","258","","169","186","197.3"
"178","Evan Engram","JAC","7","TE18","","135","","182","192","169.7"
"179","Bryan Edwards","","","WR61","","179","","150","180","169.7"
"180","Pat Freiermuth","PIT","7","TE19","","164","","173","174","170.3"
"181","Sterling Shepard","NYG","10 ","WR62","152","154","","","214","173.3"
"182","Gerald Everett","LAC","7","TE20","","171","","181","175","175.7"
"183","Giovani Bernard","TB","9","RB55","","177","","154","210","180.3"
"184","Rondale Moore","ARI","12","WR63","","162","","197","183","180.7"
"185","Robbie Gould","SF","6","K10","179","301","","208","155","210.8"
"186","Kenneth Gainwell","PHI","14","RB56","","192","","166","187","181.7"
"187","Terrace Marshall Jr.","CAR","13","WR64","","169","","199","177","181.7"
"188","Daniel Carlson","LV","8","K11","162","251","","205","208","206.5"
"189","Jason Myers","SEA","9","K12","175","285","","206","168","208.5"
"190","Derek Carr","LV","8","QB25","151","189","","","213","184.3"
"191","Marlon Mack","DEN","11","RB57","","168","","200","191","186.3"
"192","Tony Jones Jr.","SEA","9","RB58","","185","","175","199","186.3"
"193","A.J. Green","ARI","12","WR65","","196","","179","188","187.7"
"194","Amon-Ra St. Brown","DET","9","WR66","","186","","203","176","188.3"
"195","Randall Cobb","GB","13","WR67","","217","","190","159","188.7"
"196","Gabe Davis","BUF","7","WR68","","173","","193","212","192.7"
"197","Matt Gay","LAR","11","K13","180","287","","198","201","216.5"
"198","Darrel Williams","ARI","12","RB59","","212","","162","207","193.7"
"199","Devontae Booker","","","RB60","","246","","172","173","197.0"
"200","Zach Wilson","NYJ","6","QB26","","208","","207","178","197.7"
"201","Anthony Firkser","ATL","6","TE21","158","204","","","240","200.7"
"202","Damien Williams","","","RB61","","166","","210","239","205.0"
"203","Matt Prater","ARI","12","K14","","283","","178","164","208.3"
"204","Deshaun Watson","CLE","13","QB27","","268","","177","195","213.3"
"205","Ty'Son Williams","ARI","12","RB62","","163","","","198","180.5"
"206","Marquez Valdes-Scantling","KC","12","WR69","","257","","187","203","215.7"
"207","Malcolm Brown","LAR","11","RB63","","224","","188","235","215.7"
"208","Brandon McManus","DEN","11","K15","","250","","202","200","217.3"
"209","Darrynton Evans","CHI","10 ","RB64","","216","","156","","186.0"
"210","Minnesota Vikings","DST","7","DST14","","299","","209","172","226.7"
"211","Jalen Reagor","MIN","7","WR70","","188","","","196","192.0"
"212","Austin Hooper","TEN","13","TE22","","202","","","189","195.5"
"213","Rashod Bateman","BAL","8","WR71","","180","","","217","198.5"
"214","Ty Johnson","NYJ","6","RB65","","184","","","221","202.5"
"215","Jamison Crowder","BUF","7","WR72","","165","","","248","206.5"
"216","Wayne Gallman Jr.","SEA","9","RB66","","248","","171","","209.5"
"217","T.Y. Hilton","DAL","7","WR73","","222","","","197","209.5"
"218","J.J. Taylor","NE","14","RB67","","231","","191","","211.0"
"219","Allen Lazard","GB","13","WR74","","207","","","218","212.5"
"220","Christian Kirk","JAC","7","WR75","","182","","","245","213.5"
"221","Seattle Seahawks","DST","9","DST15","","198","","","233","215.5"
"222","Green Bay Packers","DST","13","DST16","","228","","","204","216.0"
"223","Emmanuel Sanders","","","WR76","","221","","","215","218.0"
"224","Wil Lutz","N","6 O","K16","","253","","184","","218.5"
"225","Kadarius Toney","KC","12","WR77","","205","","","232","218.5"
"226","Arizona Cardinals","DST","12","DST17","","213","","","226","219.5"
"227","Salvon Ahmed","MIA","14","RB68","","195","","","246","220.5"
"228","Carlos Hyde ","","","RB69","","232","","","209","220.5"
"229","Todd Gurley II","","","RB70","","214","","","227","220.5"
"230","Blake Jarwin","","","TE23","","229","","","216","222.5"
"231","Cole Kmet","CHI","10","TE24","","241","","","205","223.0"
"232","Adam Trautman","NO","6","TE25","","233","","","219","226.0"
"233","Carson Wentz","WAS","9","QB28","","295","","211","244","250.0"
"234","Tennessee Titans","DST","13","DST18","","175","","","","175.0"
"235","Anthony McFarland Jr.","PIT","7","RB71","","176","","","","176.0"
"236","Tre'Quan Smith","NO","6","WR78","","219","","","242","230.5"
"237","Cordarrelle Patterson","ATL","6","RB72","","236","","","225","230.5"
"238","Justin Jackson","DET","9","RB73","","262","","201","","231.5"
"239","O.J. Howard","HOU","10","TE26","","183","","","","183.0"
"240","Joshua Palmer","LAC","7","WR79","","237","","","228","232.5"
"241","Tyrell Williams","","","WR80","","243","","","224","233.5"
"242","Chicago Bears","DST","10","DST19","","240","","","229","234.5"
"243","Tarik Cohen","","","RB74","","220","","","250","235.0"
"244","Boston Scott","PHI","14","RB75","","242","","","231","236.5"
"245","Taysom Hill","NO","6","TE27","","193","","","","193.0"
"246","Jordan Akins","HOU","10","TE28","","194","","","","194.0"
"247","Jaret Patterson","WAS","9","RB76","","197","","","","197.0"
"248","Elijah Mitchell","SF","6","RB77","","199","","","","199.0"
"249","Parris Campbell","IND","14","WR81","","238","","","243","240.5"
"250","Nico Collins","HOU","10","WR82","","201","","","","201.0"
"251","Donovan Peoples-Jones","CLE","13","WR83","","203","","","","203.0"
"252","Los Angeles Chargers","DST","7","DST20","","297","","","206","251.5"
"253","Benny Snell Jr.","PIT","7","RB78","","209","","","","209.0"
"254","Javian Hawkins","TEN","13","RB79","","210","","","","210.0"
"255","Brian Hill","","","RB80","","211","","","","211.0"
"256","Daniel Jones","NYG","10 ","QB29","","255","","","238","246.5"
"257","Evan McPherson","CIN","10","K17","","272","","","223","247.5"
"258","Eric Ebron","","","TE29","","266","","","230","248.0"
"259","Joshua Kelley","LAC","7","RB81","","218","","","","218.0"
"260","Xavier Jones","","","RB82","","390","","","220","305.0"
"261","Carolina Panthers","DST","13","DST21","","293","","","222","257.5"
"262","New Orleans Saints","DST","6","DST22","","269","","","236","252.5"
"263","Chris Herndon IV","","","TE30","","225","","","","225.0"
"264","Darius Slayton","NYG","10","WR84","","226","","","","226.0"
"265","Sam Darnold","CAR","13","QB30","","276","","","234","255.0"
"266","Juwan Johnson","NO","6","TE31","","234","","","","234.0"
"267","Jerick McKinnon","KC","12","RB83","","304","","","237","270.5"
"268","Byron Pringle","CHI","10","WR85","","239","","","","239.0"
"269","Sammy Watkins","BAL","8","WR86","","281","","","241","261.0"
"270","Tim Tebow","","","TE32","","244","","","","244.0"
"271","Hayden Hurst","CIN","10","TE33","","245","","","","245.0"
"272","Dawson Knox","BUF","7","TE34","","247","","","","247.0"
"273","Jimmy Graham","","","TE35","","249","","","","249.0"
"274","Detrez Newsome","","","RB84","","","","","249","249.0"
"275","John Brown","BUF","7","WR87","","310","","","251","280.5"
"276","Houston Texans","DST","10","DST23","","252","","","","252.0"
"277","Paul McRoberts","","","WR88","","","","","252","252.0"
"278","Jonathan Brown","","","K18","","","","","253","253.0"
"279","Sam Ficken","DET","9","K19","","254","","","","254.0"
"280","Marcus Marshall","","","RB85","","","","","254","254.0"
"281","Vincent Testaverde","","","QB31","","","","","255","255.0"
"282","Nick Tiano","","","QB32","","","","","256","256.0"
"283","Kent Taylor","","","TE36","","","","","257","257.0"
"284","Cam Sutton","","","TE37","","","","","258","258.0"
"285","Stevan Ridley","","","RB86","","","","","259","259.0"
"286","Drew Lock","SEA","9","QB33","","259","","","","259.0"
"287","Brandon Weeden","","","QB34","","","","","260","260.0"
"288","Breshad Perriman","TB","9","WR89","","260","","","","260.0"
"289","Isaiah Burse","","","WR90","","","","","261","261.0"
"290","La'Mical Perine","MIA","14","RB87","","261","","","","261.0"
"291","Juwan Green","","","WR91","","","","","262","262.0"
"292","Taywan Taylor","","","WR92","","","","","263","263.0"
"293","Qadree Ollison","DAL","7","RB88","","263","","","","263.0"
"294","Derel Walker","","","WR93","","","","","264","264.0"
"295","Tyler Davis","","","WR94","","","","","265","265.0"
"296","Dan Arnold","JAC","7","TE38","","265","","","","265.0"
"297","Connor Davis","","","TE39","","","","","266","266.0"
"298","Tyrod Taylor","NYG","10","QB35","","267","","","","267.0"
"299","Josiah Deguara","GB","13","TE40","","","","","267","267.0"
"300","Khalid Hill","","","RB89","","","","","268","268.0"
"301","Aaron Fuller","","","WR95","","","","","269","269.0"
"302","Austin Traylor","","","TE41","","","","","270","270.0"
"303","Pooka Williams Jr.","","","RB90","","270","","","","270.0"
"304","Jarvion Franklin","","","RB91","","","","","271","271.0"
"305","Scotty Miller","TB","9","WR96","","271","","","","271.0"
"306","Martavis Bryant","","","WR97","","","","","272","272.0"
"307","Cam Newton","","","QB36","","273","","","","273.0"
"308","Drew Anderson","","","QB37","","","","","273","273.0"
"309","Denzel Mims","NYJ","6","WR98","","274","","","","274.0"
"310","Cole McDonald","","","QB38","","","","","274","274.0"
"311","Willie Snead IV","SF","6","WR99","","","","","275","275.0"
"312","Dee Eskridge","SEA","9","WR100","","275","","","","275.0"
"313","Darrin Hall","","","RB92","","","","","276","276.0"
"314","Dalton Schultz","DAL","7","TE42","","277","","","","277.0"
"315","DeAndre Thompkins","","","WR101","","","","","277","277.0"
"316","Phillip Andersen","","","K20","","","","","278","278.0"
"317","Eno Benjamin","NO","6","RB93","","278","","","","278.0"
"318","Isaiah Crowell","","","RB94","","","","","279","279.0"
"319","Jeff Wilson Jr.","MIA","14","RB95","","279","","","","279.0"
"320","Jeremy Kerley","","","WR102","","","","","280","280.0"
"321","Austin MacGinnis","","","K21","","280","","","","280.0"
"322","Broc Rutter","","","QB39","","","","","281","281.0"
"323","DeSean Jackson","BAL","8","WR103","","282","","","","282.0"
"324","Royce Freeman","HOU","10","RB96","","284","","","","284.0"
"325","Dallas Cowboys","DST","7","DST24","","286","","","","286.0"
"326","Keke Coutee","IND","14","WR104","","288","","","","288.0"
"327","Jared Goff","DET","9","QB40","","289","","","","289.0"
"328","Mo Alie-Cox","IND","14","TE43","","290","","","","290.0"
"329","Teddy Bridgewater","MIA","14","QB41","","291","","","","291.0"
"330","Olamide Zaccheaus","ATL","6","WR105","","292","","","","292.0"
"331","Jalen Richard","","","RB97","","294","","","","294.0"
"332","Hunter Renfrow","LV","8","WR106","","296","","","","296.0"
"333","Larry Rountree III","LAC","7","RB98","","298","","","","298.0"
"334","Jimmy Garoppolo","SF","6","QB42","","300","","","","300.0"
"335","Samaje Perine","CIN","10","RB99","","302","","","","302.0"
"336","Travis Fulgham","GB","13","WR107","","303","","","","303.0"
"337","Ke'Shawn Vaughn","TB","9","RB100","","305","","","","305.0"
"338","Mike Boone","DEN","11","RB101","","306","","","","306.0"
"339","David Moore","","","WR108","","307","","","","307.0"
"340","Quintez Cephus","DET","9 ","WR109","","308","","","","308.0"
"341","Kerryon Johnson","","","RB102","","309","","","","309.0"
"342","Philadelphia Eagles","DST","14","DST25","","311","","","","311.0"
"343","D'Onta Foreman","CAR","13","RB103","","312","","","","312.0"
"344","Chris Boswell","PIT","7","K22","","313","","","","313.0"
"345","New York Giants","DST","10","DST26","","314","","","","314.0"
"346","Josh Reynolds","DET","9","WR110","","315","","","","315.0"
"347","Tim Patrick","DEN","11","WR111","","316","","","","316.0"
"348","Graham Gano","NYG","10","K23","","317","","","","317.0"
"349","Kalen Ballage","","","RB104","","318","","","","318.0"
"350","Cairo Santos","CHI","10","K24","","319","","","","319.0"
"351","Cody Parkey","","","K25","","320","","","","320.0"
"352","Deonte Harty","NO","6","WR112","","321","","","","321.0"
"353","Anthony Miller","PIT","7","WR113","","322","","","","322.0"
"354","Rashard Higgins","CAR","13","WR114","","323","","","","323.0"
"355","Matt Breida","NYG","10","RB105","","324","","","","324.0"
"356","Ameer Abdullah","LV","8","RB106","","325","","","","325.0"
"357","New York Jets","DST","6","DST27","","326","","","","326.0"
"358","KJ Hamler","DEN","11 ","WR115","","327","","","","327.0"
"359","C.J. Uzomah","NYJ","6","TE44","","328","","","","328.0"
"360","Nick Folk","NE","14","K26","","329","","","","329.0"
"361","Zach Pascal","PHI","14","WR116","","330","","","","330.0"
"362","Marquise Goodwin","SEA","9","WR117","","331","","","","331.0"
"363","Jake Elliott","PHI","14","K27","","332","","","","332.0"
"364","Ka'imi Fairbairn","HOU","10","K28","","333","","","","333.0"
"365","Jonathan Williams","WAS","9","RB107","","334","","","","334.0"
"366","Jacksonville Jaguars","DST","7","DST28","","335","","","","335.0"
"367","Devin Funchess","","","WR118","","336","","","","336.0"
"368","Josh Lambo","","","K29","","337","","","","337.0"
"369","Michael Badgley","DET","9","K30","","338","","","","338.0"
"370","Atlanta Falcons","DST","6","DST29","","339","","","","339.0"
"371","Amari Rodgers","HOU","10","WR119","","340","","","","340.0"
"372","Joey Slye","WAS","9","K31","","341","","","","341.0"
"373","Stephen Anderson","ARI","12","TE45","","342","","","","342.0"
"374","David Njoku","CLE","13","TE46","","343","","","","343.0"
"375","Ito Smith","","","RB108","","344","","","","344.0"
"376","Dyami Brown","WAS","9","WR120","","345","","","","345.0"
"377","Albert Wilson","LV","8","WR121","","346","","","","346.0"
"378","Chase McLaughlin","IND","14","K32","","347","","","","347.0"
"379","Donald Parham Jr.","LAC","7","TE47","","348","","","","348.0"
"380","Dustin Hopkins","LAC","7","K33","","349","","","","349.0"
"381","Kendrick Bourne","NE","14","WR122","","350","","","","350.0"
"382","Marcus Mariota","ATL","6","QB43","","351","","","","351.0"
"383","Antonio Gandy-Golden","","","WR123","","352","","","","352.0"
"384","Van Jefferson","LAR","11","WR124","","353","","","","353.0"
"385","Detroit Lions","DST","9","DST30","","354","","","","354.0"
"386","Keelan Cole Sr.","LV","8","WR125","","355","","","","355.0"
"387","Tutu Atwell","LAR","11 ","WR126","","356","","","","356.0"
"388","James Washington","","","WR127","","357","","","","357.0"
"389","N'Keal Harry","CHI","10","WR128","","358","","","","358.0"
"390","Tucker McCann","","","K34","","359","","","","359.0"
"391","Randy Bullock","TEN","13","K35","","360","","","","360.0"
"392","Cam Sims","WAS","9","WR129","","361","","","","361.0"
"393","Jalen Guyton","LAC","7","WR130","","362","","","","362.0"
"394","Chris Conley","TEN","13","WR131","","363","","","","363.0"
"395","Shi Smith","CAR","13","WR132","","364","","","","364.0"
"396","Preston Williams","CAR","13","WR133","","365","","","","365.0"
"397","Damiere Byrd","ATL","6","WR134","","367","","","","367.0"
"398","Trent Sherfield","MIA","14","WR135","","368","","","","368.0"
"399","Mike Strachan","IND","14","WR136","","369","","","","369.0"
"400","Matt Jones","","","RB109","","370","","","","370.0"
"401","Matt Ammendola","GB","13","K36","","371","","","","371.0"
"402","Jalen Hurd","","","WR137","","372","","","","372.0"
"403","Ryan Santoso","","","K37","","373","","","","373.0"
"404","Aldrick Rosas","","","K38","","374","","","","374.0"
"405","Devin Smith","","","WR138","","375","","","","375.0"
"406","Jordan Love","GB","13","QB44","","376","","","","376.0"
"407","Greg Joseph","MIN","7","K39","","377","","","","377.0"
"408","Cincinnati Bengals","DST","10","DST31","","378","","","","378.0"
"409","Dezmon Patmon","IND","14","WR139","","379","","","","379.0"
"410","Khalil Herbert","CHI","10","RB110","","380","","","","380.0"
"411","Rodney Adams","","","WR140","","381","","","","381.0"
"412","Jesper Horsted","LV","8","TE48","","382","","","","382.0"
"413","Peyton Barber","","","RB111","","383","","","","383.0"
"414","Eddy Pineiro","CAR","13","K40","","384","","","","384.0"
"415","Demetric Felton Jr.","CLE","13","RB112","","385","","","","385.0"
"416","Cornell Powell","KC","12","WR141","","386","","","","386.0"
"417","Cam Akers","LAR","11","RB113","","388","","","","388.0"
""
""
