"Rank","Player","Team","Bye","POS","MFL","Fantrax","RTSports","FFC","Sleeper","AVG"
"63","Tom Brady","TB","6","QB8","","87","","69","","62.5"
"64","Larry Fitzgerald","","","WR28","","65","","74","","63.0"
"65","Emmanuel Sanders","","","WR29","","66","","82","","68.7"
"66","Matt Jones","","","RB24","","63","","66","","72.8"
"67","Arian Foster","","","RB25","","59","","57","","73.5"
"68","Frank Gore","","","RB26","","69","","68","","75.0"
"69","Eli Manning","","","QB9","","85","","88","","75.8"
"70","Coby Fleener","","","TE6","","71","","73","","76.8"
"71","John Brown","BUF","10","WR30","","72","","80","","78.2"
"72","Jordan Matthews","SF","8","WR31","","70","","85","","79.0"
"73","Giovani Bernard","TB","6","RB27","","78","","72","","79.2"
"74","Allen Hurns","","","WR32","","64","","71","","80.0"
"75","DeSean Jackson","BAL","8","WR33","","76","","84","","82.0"
"76","Gary Barnidge","","","TE7","","104","","79","","82.3"
"77","Blake Bortles","","","QB10","","68","","81","","82.7"
"78","Ameer Abdullah","LV","","RB28","","74","","78","","83.2"
"79","Danny Woodhead","","","RB29","","89","","90","","83.7"
"80","Denver Broncos","DST","11","DST1","","","","97","","84.5"
"81","Michael Crabtree","","","WR34","","84","","91","","86.7"
"82","Duke Johnson Jr.","BUF","10","RB30","","77","","86","","87.2"
"83","Philip Rivers","","","QB11","","91","","96","","87.3"
"84","Chris Ivory","","","RB31","","79","","75","","87.3"
"85","Tyler Lockett","SEA","5","WR35","","73","","76","","88.2"
"86","Rashad Jennings","","","RB32","","75","","64","","89.3"
"87","DeAngelo Williams","","","RB33","","81","","65","","90.2"
"88","Seattle Seahawks","DST","5","DST2","","","","104","","90.3"
"89","Marvin Jones Jr.","JAC","5","WR36","","80","","63","","92.0"
"90","Tyler Eifert ","","","TE8","","169","","122","","95.8"
"91","Josh Gordon ","","","WR37","","88","","52","","95.8"
"92","Antonio Gates","","","TE9","","98","","94","","96.2"
"93","Zach Ertz","ARI","9","TE10","","93","","110","","97.3"
"94","Stephen Gostkowski","","","K1","","99","","137","","97.8"
"95","Derrick Henry","TEN","13","RB34","","83","","60","","98.5"
"96","Arizona Cardinals","DST","9","DST3","","","","102","","99.0"
"97","Derek Carr","LV","","QB12","","95","","98","","99.0"
"98","Sterling Shepard","NYG","8","WR38","","90","","89","","100.3"
"99","Carolina Panthers","DST","7","DST4","","","","132","","101.8"
"100","Julius Thomas","","","TE11","","94","","121","","102.5"
"101","DeVante Parker","NE","9","WR39","","82","","139","","104.3"
"102","LeGarrette Blount","","","RB35","","102","","83","","104.3"
"103","T.J. Yeldon","","","RB36","","92","","87","","105.3"
"104","Jay Ajayi","","","RB37","","100","","118","","105.5"
"105","Stefon Diggs","BUF","10","WR40","","96","","103","","108.0"
"106","Kevin White","NO","5","WR41","","86","","99","","108.5"
"107","Jimmy Graham","","","TE12","","105","","115","","112.0"
"108","Kirk Cousins","MIN","6","QB13","","111","","106","","112.5"
"109","Willie Snead IV","SF","8","WR42","","101","","107","","114.0"
"110","Houston Texans","DST","9","DST5","","","","130","","114.5"
"111","Jameis Winston","NO","5","QB14","","106","","113","","114.7"
"112","Tavon Austin","","","WR43","","110","","112","","114.7"
"113","Isaiah Crowell","","","RB38","","103","","95","","118.0"
"114","Tyrod Taylor","NYG","8","QB15","","112","","105","","118.7"
"115","Stephen Hauschka","","","K2","","117","","154","","119.8"
"116","Kansas City Chiefs","DST","5","DST6","","","","128","","119.8"
"117","Corey Coleman","","","WR44","","109","","143","","124.5"
"118","Charles Sims","","","RB39","","108","","100","","125.0"
"119","Torrey Smith","","","WR45","","115","","114","","125.3"
"120","Martellus Bennett","","","TE13","","124","","124","","125.5"
"121","Andy Dalton","NO","5","QB16","","175","","131","","125.7"
"122","Matthew Stafford","LAR","8","QB17","","114","","119","","126.0"
"123","Justin Forsett","","","RB40","","116","","129","","127.8"
"124","Marcus Mariota","ATL","11","QB18","","145","","136","","130.0"
"125","Dion Lewis","","","RB41","","146","","149","","130.5"
"126","Matt Ryan","IND","10","QB19","","127","","142","","132.2"
"127","Spencer Ware","","","RB42","","129","","93","","133.8"
"128","Jason Witten","","","TE14","","126","","151","","134.2"
"129","Bilal Powell","","","RB43","","135","","127","","134.7"
"130","Theo Riddick","","","RB44","","120","","157","","134.8"
"131","Vincent Jackson","","","WR46","","113","","123","","135.8"
"132","Travis Benjamin","","","WR47","","107","","108","","136.2"
"133","Markus Wheaton","","","WR48","","97","","125","","137.0"
"134","Justin Tucker","BAL","8","K3","","134","","161","","137.0"
"135","Graham Gano","NYG","8","K4","","128","","179","","139.0"
"136","Minnesota Vikings","DST","6","DST7","","","","148","","142.8"
"137","New England Patriots","DST","9","DST8","","","","147","","144.5"
"138","Tevin Coleman","SF","8","RB45","","118","","141","","145.3"
"139","Dak Prescott","DAL","7","QB20","","220","","145","","146.5"
"140","Christine Michael","","","RB46","","141","","92","","147.2"
"141","Los Angeles Rams","DST","8","DST9","","","","163","","148.0"
"142","Kamar Aiken","","","WR49","","130","","133","","150.7"
"143","Devin Funchess","","","WR50","","121","","101","","152.0"
"144","Terrance West","","","RB47","","143","","120","","152.7"
"145","Mason Crosby","GB","4","K5","","183","","180","","153.2"
"146","Michael Thomas","NO","5","WR51","","122","","146","","155.0"
"147","Dwayne Allen","","","TE15","","132","","135","","157.8"
"148","Dan Bailey","","","K6","","159","","182","","158.3"
"149","Chris Boswell","PIT","8","K7","","176","","189","","158.5"
"150","Tony Romo","","","QB21","","197","","","","130.6"
"151","James White","","","RB48","","157","","117","","160.3"
"152","Ted Ginn Jr.","","","WR52","","142","","","","160.3"
"153","Darren Sproles","","","RB49","","133","","144","","162.0"
"154","Alfred Morris","","","RB50","","131","","109","","162.3"
"155","William Fuller V","","","WR53","","136","","134","","163.2"
"156","Jared Cook","","","TE16","","151","","140","","163.7"
"157","Steve Smith","","","WR54","","186","","153","","165.0"
"158","Chandler Catanzaro","","","K8","","181","","175","","166.3"
"159","Devontae Booker","","","RB51","","125","","126","","167.2"
"160","James Starks","","","RB52","","138","","158","","167.3"
"161","Brock Osweiler","","","QB22","","158","","176","","167.7"
"162","Zach Miller","","","TE17","","177","","162","","167.7"
"163","Victor Cruz","","","WR55","","162","","178","","168.3"
"164","Tajae Sharpe","","","WR56","","123","","116","","169.8"
"165","Ryan Tannehill","TEN","13","QB23","","149","","155","","172.7"
"166","Mike Wallace","","","WR57","","156","","171","","173.0"
"167","Mohamed Sanu Sr.","","","WR58","","137","","152","","173.8"
"168","Adam Vinatieri","","","K9","","199","","187","","174.2"
"169","Brandon McManus","DEN","11","K10","","185","","185","","175.8"
"170","Pittsburgh Steelers","DST","8","DST10","","","","","","152.6"
"171","Blair Walsh","","","K11","","164","","186","","180.0"
"172","Sebastian Janikowski","","","K12","","270","","188","","180.2"
"173","Robert Griffin III","","","QB24","","190","","170","","180.2"
"174","Ladarius Green","","","TE18","","174","","","","156.0"
"175","Jerick McKinnon","KC","5","RB53","","160","","138","","183.2"
"176","Cairo Santos","CHI","9","K13","","207","","190","","184.3"
"177","Ryan Fitzpatrick","","","QB25","","166","","164","","161.0"
"178","Alex Smith","","","QB26","","212","","","","185.3"
"179","Tyler Boyd","CIN","9","WR59","","152","","150","","186.0"
"180","DeAndre Washington","","","RB54","","150","","111","","186.2"
"181","Pierre Garcon","","","WR60","","180","","","","187.2"
"182","Eric Ebron","","","TE19","","147","","","","164.8"
"183","Terrelle Pryor Sr.","","","WR61","","163","","172","","188.2"
"184","Kyle Rudolph","TB","6","TE20","","195","","","","189.2"
"185","Las Vegas Raiders","DST","","DST11","","","","177","","189.7"
"186","Cincinnati Bengals","DST","9","DST12","","","","159","","167.4"
"187","C.J. Prosise","","","RB55","","154","","","","169.4"
"188","Kenneth Dixon","","","RB56","","228","","166","","194.0"
"189","Chris Johnson","","","RB57","","144","","156","","172.6"
"190","Green Bay Packers","DST","4","DST13","","","","181","","179.2"
"191","Davante Adams","LV","","WR62","","232","","","","181.2"
"192","New York Jets","DST","11","DST14","","","","167","","181.4"
"193","Marshawn Lynch","","","RB58","","","","","","151.8"
"194","Darren McFadden","","","RB59","","204","","","","183.2"
"195","Jordan Howard","","","RB60","","165","","","","183.6"
"196","Laquon Treadwell","SEA","5","WR63","","119","","","","185.8"
"197","Jay Cutler","","","QB27","","173","","","","187.8"
"198","Chris Hogan","","","WR64","","172","","160","","208.2"
"199","Dorial Green-Beckham","","","WR65","","139","","","","191.4"
"200","Paul Perkins","","","RB61","","171","","","","192.2"
"201","Josh Doctson","","","WR66","","206","","","","192.8"
"202","New York Giants","DST","8","DST15","","","","","","193.0"
"203","Philadelphia Eagles","DST","4","DST16","","","","183","","193.2"
"204","Joe Flacco","NYJ","11","QB28","","201","","","","194.0"
"205","Austin Seferian-Jenkins","","","TE21","","167","","","","194.2"
"206","Karlos Williams","","","RB62","","208","","","","168.3"
"207","Phillip Dorsett II","HOU","9","WR67","","140","","165","","195.2"
"208","Rishard Matthews","","","WR68","","182","","168","","195.8"
"209","Richard Rodgers","LAC","","TE22","","254","","","","196.8"
"210","Baltimore Ravens","DST","8","DST17","","","","","","198.2"
"211","Charcandrick West","","","RB63","","161","","169","","205.4"
"212","Kenny Stills","","","WR69","","236","","174","","221.5"
"213","Anquan Boldin","","","WR70","","196","","","","206.2"
"214","Clive Walford","","","TE23","","200","","","","208.8"
"215","Virgil Green","","","TE24","","179","","173","","208.8"
"216","Javorius Allen","","","RB64","","153","","","","186.8"
"217","Danny Amendola","","","WR71","","233","","","","187.3"
"218","Shane Vereen","","","RB65","","214","","","","211.6"
"219","Matt Bryant","","","K14","","230","","","","212.0"
"220","Charles Clay","","","TE25","","203","","","","212.6"
"221","Buffalo Bills","DST","10","DST18","","","","184","","213.6"
"222","Terrance Williams","","","WR72","","184","","","","217.2"
"223","Jacksonville Jaguars","DST","5","DST19","","","","","","197.5"
"224","Tim Hightower","","","RB66","","194","","","","218.4"
"225","Sam Bradford","","","QB29","","225","","","","220.0"
"226","Matt Prater","ARI","9","K15","","234","","","","220.8"
"227","Sammie Coates","","","WR73","","148","","","","221.0"
"228","Teddy Bridgewater","MIA","8","QB30","","299","","","","202.5"
"229","Robert Kelley","","","RB67","","155","","","","109.0"
"230","Josh Brown","","","K16","","237","","","","206.3"
"231","Jared Goff","DET","10","QB31","","269","","","","226.2"
"232","Martavis Bryant","","","WR74","","308","","","","210.5"
"233","Benjamin Watson","","","TE26","","255","","","","209.3"
"234","Dustin Hopkins","LAC","","K17","","210","","","","232.2"
"235","Mike Nugent","","","K18","","253","","","","216.0"
"236","Roberto Aguayo","","","K19","","217","","","","234.8"
"237","Dallas Cowboys","DST","7","DST20","","","","","","190.7"
"238","Jermaine Kearse","","","WR75","","187","","","","219.5"
"239","Jordan Cameron","","","TE27","","218","","","","219.8"
"240","Hunter Henry","NE","9","TE28","","245","","","","220.5"
"241","Tampa Bay Buccaneers","DST","6","DST21","","","","","","239.0"
"242","Nick Novak","","","K20","","261","","","","240.4"
"243","Washington Commanders","DST","9","DST22","","","","","","200.0"
"244","Breshad Perriman","TB","6","WR76","","211","","","","226.0"
"245","Kenny Britt","","","WR77","","262","","","","226.8"
"246","Robbie Gould","SF","8","K21","","250","","","","226.8"
"247","Connor Barth","","","K22","","219","","","","153.0"
"248","Mike Gillislee","","","RB68","","293","","","","202.7"
"249","Ronnie Hillman","","","RB69","","192","","","","205.7"
"250","Leonard Fournette","TB","6","RB70","","","","","","20.0"
"251","Nelson Agholor","NE","9","WR78","","209","","","","210.0"
"252","James Jones","","","WR79","","223","","","","212.3"
"253","Chris Thompson","","","RB71","","213","","","","213.3"
"254","Miami Dolphins","DST","8","DST23","","","","","","214.0"
"255","Christian McCaffrey","SF","8","RB72","","","","","","39.0"
"256","Joe Mixon","CIN","9","RB73","","","","","","40.0"
"257","Jamison Crowder","BUF","10","WR80","","257","","","","172.0"
"258","Ty Montgomery","NE","9","RB74","","","","","","217.3"
"259","Andre Ellington","","","RB75","","238","","","","238.8"
"260","Cameron Artis-Payne","","","RB76","","198","","","","239.3"
"261","Indianapolis Colts","DST","10","DST24","","","","","","219.0"
"262","C.J. Spiller","","","RB77","","226","","","","240.8"
"263","Nick Folk","NE","9","K23","","303","","","","243.0"
"264","Carson Wentz","WAS","9","QB32","","252","","","","224.0"
"265","Jesse James","CLE","13","TE29","","215","","","","243.5"
"266","Cole Beasley","BUF","10","WR81","","268","","","","244.5"
"267","Dalvin Cook","MIN","6","RB78","","","","","","77.0"
"268","Tyreek Hill","MIA","8","WR82","","310","","","","194.5"
"269","Corey Davis","NYJ","11","WR83","","","","","","86.0"
"270","Jacob Tamme","","","TE30","","202","","","","230.0"
"271","Detroit Lions","DST","10","DST25","","","","","","230.3"
"272","Dan Carpenter","","","K24","","243","","","","248.3"
"273","Jimmy Garoppolo","SF","8","QB33","","191","","","","231.0"
"274","Samaje Perine","CIN","9","RB79","","","","","","92.0"
"275","Cameron Brate","TB","6","TE31","","239","","","","233.3"
"276","Shayne Graham","","","K25","","","","","","97.0"
"277","Robert Woods","TEN","13","WR84","","235","","","","234.0"
"278","Chicago Bears","DST","9","DST26","","","","","","234.7"
"279","Braxton Miller","","","WR85","","178","","","","236.0"
"280","Jonathan Williams","WAS","9","RB80","","193","","","","204.0"
"281","Cameron Meredith","","","WR86","","","","","","112.0"
"282","Brandon LaFell","","","WR87","","256","","","","255.8"
"283","J.J. Nelson","","","WR88","","288","","","","241.0"
"284","Eli Rogers","","","WR89","","188","","","","212.0"
"285","Josh Lambo","","","K26","","248","","","","257.8"
"286","Kareem Hunt","CLE","13","RB81","","","","","","127.0"
"287","Marqise Lee","","","WR90","","224","","","","215.5"
"288","Mike Williams","LAC","","WR91","","","","","","135.0"
"289","Wendell Smallwood","","","RB82","","244","","","","218.5"
"290","Adam Thielen","MIN","6","WR92","","","","","","136.0"
"291","Colin Kaepernick","","","QB34","","259","","","","246.7"
"292","Kendall Wright","","","WR93","","216","","","","260.5"
"293","Tyrell Williams","","","WR94","","","","","","139.0"
"294","Malcolm Mitchell","","","WR95","","258","","","","223.0"
"295","Jamaal Williams","DET","10","RB83","","","","","","146.0"
"296","Kenyan Drake","BAL","8","RB84","","170","","","","225.0"
"297","Jack Doyle","","","TE32","","379","","","","266.5"
"298","Rex Burkhead","HOU","9","RB85","","","","","","155.0"
"299","Vance McDonald","","","TE33","","294","","","","265.8"
"300","Joe Williams","","","RB86","","","","","","158.0"
"301","Atlanta Falcons","DST","11","DST27","","","","","","255.0"
"302","Paxton Lynch","","","QB35","","274","","","","257.0"
"303","Jace Amaro","","","TE34","","168","","","","168.0"
"304","Zay Jones","JAC","5","WR96","","","","","","168.0"
"305","O.J. Howard","HOU","9","TE35","","","","","","170.0"
"306","John Ross","","","WR97","","","","","","171.0"
"307","Jason Myers","SEA","5","K27","","272","","","","269.3"
"308","Marlon Mack","DEN","11","RB87","","","","","","173.0"
"309","Zach Zenner","","","RB88","","263","","","","241.0"
"310","C.J. Fiedorowicz","","","TE36","","375","","","","278.5"
"311","Alvin Kamara","NO","5","RB89","","","","","","183.0"
"312","Jalen Richard","","","RB90","","","","","","184.0"
"313","Los Angeles Chargers","DST","","DST28","","","","","","263.0"
"314","Josh Ferguson","","","RB91","","189","","","","189.0"
"315","Jeremy McNichols","PIT","8","RB92","","","","","","189.0"
"316","Aaron Jones","GB","4","RB93","","","","","","191.0"
"317","Luke Willson","","","TE37","","335","","","","276.3"
"318","Benny Cunningham Jr.","","","RB94","","264","","","","247.5"
"319","Trevor Siemian","CHI","9","QB36","","247","","","","274.8"
"320","Quincy Enunwa","","","WR98","","","","","","195.0"
"321","D'Onta Foreman","CAR","7","RB95","","","","","","200.0"
"322","Donnel Pumphrey","","","RB96","","","","","","202.0"
"323","Wil Lutz","NO","5","K28","","","","","","203.0"
"324","Jacquizz Rodgers","","","RB97","","317","","","","260.5"
"325","Jeff Janis","","","WR99","","246","","","","269.3"
"326","Jerell Adams","","","TE38","","205","","","","205.0"
"327","David Njoku","CLE","13","TE39","","","","","","206.0"
"328","New Orleans Saints","DST","5","DST29","","","","","","254.0"
"329","Austin Hooper","TEN","13","TE40","","348","","","","286.0"
"330","Robbie Anderson","ARI","9","WR100","","","","","","209.0"
"331","Will Tye","","","TE41","","266","","","","271.7"
"332","Taylor Gabriel","","","WR101","","","","","","212.0"
"333","Alfred Blue","","","RB98","","265","","","","272.3"
"334","Steve Johnson","","","WR102","","279","","","","258.0"
"335","Phil Dawson","","","K29","","305","","","","274.0"
"336","San Francisco 49ers","DST","8","DST30","","","","","","259.0"
"337","Deshaun Watson","CLE","13","QB37","","","","","","218.0"
"338","Kenjon Barner","","","RB99","","221","","","","221.0"
"339","Wayne Gallman Jr.","SEA","5","RB100","","","","","","221.0"
"340","Quinton Patton","","","WR103","","222","","","","222.0"
"341","Robert Turbin","","","RB101","","251","","","","262.0"
"342","Jaelen Strong","","","WR104","","231","","","","263.5"
"343","Tennessee Titans","DST","13","DST31","","","","","","263.5"
"344","Tyler Gaffney","","","RB102","","227","","","","227.0"
"345","Rueben Randle","","","WR105","","260","","","","277.0"
"346","Pharoh Cooper","ARI","9","WR106","","229","","","","229.0"
"347","Cooper Kupp","LAR","8","WR107","","","","","","229.0"
"348","Ka'Deem Carey","","","RB103","","267","","","","265.5"
"349","Curtis Samuel","WAS","9","WR108","","","","","","231.0"
"350","Vernon Davis","","","TE42","","367","","","","301.3"
"351","Mark Sanchez","","","QB38","","301","","","","281.0"
"352","Keith Marshall","","","RB104","","240","","","","240.0"
"353","Tyler Higbee","LAR","8","TE43","","241","","","","241.0"
"354","Evan Engram","JAC","5","TE44","","","","","","241.0"
"355","Tyler Ervin","","","RB105","","242","","","","242.0"
"356","Greg Zuerlein","NYJ","11","K30","","316","","","","287.3"
"357","James Conner","ARI","9","RB106","","","","","","245.0"
"358","Shaun Draughn","","","RB107","","249","","","","249.0"
"359","Jared Abbrederis","","","WR109","","313","","","","289.7"
"360","Josh Reynolds","DET","10","WR110","","","","","","256.0"
"361","Andre Johnson","","","WR111","","276","","","","279.5"
"362","Darrius Heyward-Bey","","","WR112","","283","","","","280.5"
"363","Kyle Juszczyk","SF","8","RB108","","","","","","260.0"
"364","JuJu Smith-Schuster","KC","5","WR113","","","","","","261.0"
"365","Tre Mason","","","RB109","","273","","","","281.5"
"366","Mike Tolbert","","","RB110","","284","","","","283.0"
"367","Reggie Bush","","","RB111","","291","","","","289.7"
"368","Mike Glennon","MIA","8","QB39","","356","","","","310.5"
"369","Dontrelle Inman","","","WR114","","286","","","","284.0"
"370","Dennis Pitta","","","TE45","","347","","","","307.0"
"371","Brandon Bolden","LV","","RB112","","350","","","","308.5"
"372","Paul Richardson Jr.","","","WR115","","","","","","268.0"
"373","Lance Dunbar","","","RB113","","282","","","","285.0"
"374","Caleb Sturgis","","","K31","","330","","","","300.0"
"375","Cleveland Browns","DST","13","DST32","","","","","","285.5"
"376","Jeremy Kerley","","","WR116","","","","","","270.0"
"377","Khiry Robinson","","","RB114","","271","","","","271.0"
"378","Blaine Gabbert","TB","6","QB40","","275","","","","286.5"
"379","Nate Washington","","","WR117","","277","","","","287.5"
"380","Tarik Cohen","","","RB115","","","","","","274.0"
"381","Brandon Coleman","","","WR118","","278","","","","278.0"
"382","Stevan Ridley","","","RB116","","280","","","","280.0"
"383","Antonio Andrews","","","RB117","","281","","","","281.0"
"384","Lance Kendricks","","","TE46","","369","","","","325.5"
"385","T.J. Logan","","","RB118","","","","","","283.0"
"386","Seth Roberts","","","WR119","","285","","","","285.0"
"387","Michael Vick","","","QB41","","","","","","286.0"
"388","Larry Donnell","","","TE47","","357","","","","321.5"
"389","Dwayne Harris","","","WR120","","287","","","","287.0"
"390","ArDarius Stewart","","","WR121","","","","","","287.0"
"391","Cordarrelle Patterson","ATL","11","RB119","","315","","","","301.5"
"392","Dexter McCluster","","","RB120","","289","","","","289.0"
"393","Taywan Taylor","","","WR122","","","","","","289.0"
"394","Travis Coons","","","K32","","361","","","","317.3"
"395","Jon Baldwin","","","WR123","","290","","","","290.0"
"396","Brent Celek","","","TE48","","314","","","","302.5"
"397","Roddy White","","","WR124","","292","","","","292.0"
"398","Justin Hardy","","","WR125","","","","","","293.0"
"399","Corey Grant","","","RB121","","","","","","293.0"
"400","Ryan Succop","TB","6","K33","","309","","","","301.7"
"401","Brian Hoyer","NE","9","QB42","","365","","","","329.5"
"402","De'Anthony Thomas","","","WR126","","","","","","295.0"
"403","D.J. Foster","","","RB122","","296","","","","296.0"
"404","Cody Parkey","","","K34","","327","","","","311.5"
"405","Matt Jones","","","WR127","","297","","","","297.0"
"406","Damien Williams","","","RB123","","","","","","297.0"
"407","Reggie Diggs","","","WR128","","298","","","","298.0"
"408","Mitch Trubisky","PIT","8","QB43","","","","","","298.0"
"409","Eddie Royal","","","WR129","","","","","","299.0"
"410","Cody Kessler","","","QB44","","","","","","299.0"
"411","Chris Conley","TEN","13","WR130","","300","","","","300.0"
"412","Rashad Greene","","","WR131","","304","","","","304.0"
"413","Bruce Ellington","","","WR132","","306","","","","306.0"
"414","Devin Hester","","","WR133","","307","","","","307.0"
"415","Case Keenum","BUF","10","QB45","","311","","","","311.0"
"416","Nelson Spruce","","","WR134","","312","","","","312.0"
"417","Jakeem Grant Sr.","CLE","13","WR135","","318","","","","318.0"
"418","Josh McCown","","","QB46","","319","","","","319.0"
"419","Aaron Burbridge","","","WR136","","320","","","","320.0"
"420","Darius Jackson","","","RB124","","321","","","","321.0"
"421","Leonte Carroo","","","WR137","","322","","","","322.0"
"422","Brett Hundley","BAL","8","QB47","","323","","","","323.0"
"423","Trevone Boykin","","","QB48","","324","","","","324.0"
"424","Cardale Jones","","","QB49","","325","","","","325.0"
"425","Dan Orlovsky","","","QB50","","326","","","","326.0"
"426","Anthony Fasano","","","TE49","","328","","","","328.0"
"427","Andrew Franks","","","K35","","329","","","","329.0"
"428","Jeff Heuerman","","","TE50","","331","","","","331.0"
"429","DeAndre Smelter","","","WR138","","332","","","","332.0"
"430","Malcolm Brown","LAR","8","RB125","","333","","","","333.0"
"431","Fozzy Whittaker","","","RB126","","334","","","","334.0"
"432","Brice Butler","","","WR139","","336","","","","336.0"
"433","Derek Anderson","","","QB51","","337","","","","337.0"
"434","Ryan Nassib","","","QB52","","338","","","","338.0"
"435","AJ McCarron","","","QB53","","339","","","","339.0"
"436","Corey Brown","","","WR140","","340","","","","340.0"
"437","Trent Richardson","","","RB127","","341","","","","341.0"
"438","Matt McGloin","","","QB54","","342","","","","342.0"
"439","Matt Schaub","","","QB55","","343","","","","343.0"
"440","Andre Williams","","","RB128","","344","","","","344.0"
"441","Marcel Reece","","","RB129","","345","","","","345.0"
"442","Geno Smith","SEA","5","QB56","","346","","","","346.0"
"443","Chad Henne","KC","5","QB57","","349","","","","349.0"
"444","Crockett Gillmore","","","TE51","","351","","","","351.0"
"445","Colt McCoy","ARI","9","QB58","","352","","","","352.0"
"446","Luke McCown","","","QB59","","353","","","","353.0"
"447","Matt Cassel","","","QB60","","354","","","","354.0"
"448","Albert Wilson","LV","","WR141","","355","","","","355.0"
"449","Scott Tolzien","","","QB61","","358","","","","358.0"
"450","Landry Jones","","","QB62","","359","","","","359.0"
"451","Kellen Clemens","","","QB63","","360","","","","360.0"
"452","Drew Stanton","","","QB64","","362","","","","362.0"
"453","David Carr","","","QB65","","363","","","","363.0"
"454","Tom Savage","","","QB66","","364","","","","364.0"
"455","Chad Pennington","","","QB67","","366","","","","366.0"
"456","Dion Sims","","","TE52","","368","","","","368.0"
"457","Kai Forbath","LAR","8","K36","","370","","","","370.0"
"458","Darren Fells","","","TE53","","371","","","","371.0"
"459","JaMarcus Russell","","","QB68","","372","","","","372.0"
"460","Garrett Celek","","","TE54","","373","","","","373.0"
"461","Ryan Griffin","CHI","9","TE55","","374","","","","374.0"
"462","MyCole Pruitt","ATL","11","TE56","","376","","","","376.0"
