"QB","Overall","Player","Team","Bye","ESPN","Yahoo","MFL","Fantrax","RTSports","FFC","Sleeper","AVG"
"59","","DeShone Kizer","","","53","","","","","","","53.0"
"60","","Chad Kelly","","","54","","","","","","","54.0"
"61","","Ryan Mallett","","","55","","","","","","","55.0"
"62","","Brock Osweiler","","","56","","","","","","","56.0"
"63","","Drew Stanton","","","57","","","","","","","57.0"
"64","","Cooper Rush","DAL","8","58","","","","","","","58.0"
"65","","Chase Daniel","LAC","12","59","","","","","","","59.0"
"66","","T.J. Yates","","","60","","","","","","","60.0"
"67","","Tim Boyle","CHI","6","61","","","","","","","61.0"
"68","","AJ McCarron","","","62","","","","","","","62.0"
"69","","Josh Johnson","SF","4","63","","","","","","","63.0"
"70","","Tyrod Taylor","NYG","11","64","","","","","","","64.0"
"71","","E.J. Manuel","","","65","","","","","","","65.0"
"72","","Chad Henne","KC","12","66","","","","","","","66.0"
"73","","Paxton Lynch","","","67","","","","","","","67.0"
"74","","Connor Cook","","","68","","","","","","","68.0"
"75","","Matt Schaub","","","70","","","","","","","70.0"
"76","","Scott Tolzien","","","71","","","","","","","71.0"
"77","","Brandon Weeden","","","72","","","","","","","72.0"
"78","","Jarrett Stidham","LV","","73","","","","","","","73.0"
"79","","Gardner Minshew II","PHI","10","74","","","","","","","74.0"
"80","","Brian Hoyer","NE","10","75","","","","","","","75.0"
"81","","Mike White","NYJ","4","76","","","","","","","76.0"
"82","","Christian Hackenberg","","","77","","","","","","","77.0"
"83","","Ryan Finley","","","78","","","","","","","78.0"
"84","","Brett Hundley","BAL","8","79","","","","","","","79.0"
"85","","Kyle Sloter","","","80","","","","","","","80.0"
"86","","Sean Mannion","SEA","11","81","","","","","","","81.0"
"87","","Kyle Allen","HOU","10","82","","","","","","","82.0"
"88","","Trevor Siemian","CHI","6 ","83","","","","","","","83.0"
"89","","Austin Davis","","","84","","","","","","","84.0"
"90","","Tyler Bray","","","85","","","","","","","85.0"
"91","","Easton Stick","LAC","12","87","","","","","","","87.0"
"92","","Alex Tanney","","","88","","","","","","","88.0"
"93","","Landry Jones","","","89","","","","","","","89.0"
"94","","Nate Sudfeld","DET","5","90","","","","","","","90.0"
"95","","Mike Glennon","MIA","5","91","","","","","","","91.0"
"96","","Cardale Jones","","","93","","","","","","","93.0"
"97","","Danny Etling","GB","11","94","","","","","","","94.0"
"98","","Blaine Gabbert","TB","7","95","","","","","","","95.0"
"99","","Ryan Griffin","TB","7","96","","","","","","","96.0"
"100","","Kyle Lauletta","","","97","","","","","","","97.0"
"101","","Brandon Allen","CIN","9","98","","","","","","","98.0"
"102","","Will Grier","DAL","8","99","","","","","","","99.0"
"103","","Clayton Thorson","","","100","","","","","","","100.0"
"104","","Logan Woodside","ATL","9","101","","","","","","","101.0"
"105","","Cody Kessler","","","102","","","","","","","102.0"
"106","","Trevone Boykin","","","103","","","","","","","103.0"
"107","","Alex McGough","","","104","","","","","","","104.0"
"108","","Taylor Heinicke","WAS","10","105","","","","","","","105.0"
"109","","Jake Rudock","","","106","","","","","","","106.0"
"110","","Luke Falk","","","107","","","","","","","107.0"
"111","","Brad Kaaya","","","108","","","","","","","108.0"
"112","","Kevin Hogan","TEN","11","109","","","","","","","109.0"
"113","","Tanner Lee","","","110","","","","","","","110.0"
"114","","Derek Anderson","","","111","","","","","","","111.0"
"115","","Bryce Petty","","","112","","","","","","","112.0"
"116","","Brett Rypien","DEN","10","113","","","","","","","113.0"
"117","","Brandon Doughty","","","114","","","","","","","114.0"
"118","","David Fales","","","115","","","","","","","115.0"
"119","","Jeff Driskel","HU","10 O","116","","","","","","","116.0"
"120","","Davis Webb","NYG","11","117","","","","","","","117.0"
"121","","Joe Callahan","","","118","","","","","","","118.0"
"122","","Garrett Grayson","","","119","","","","","","","119.0"
"123","","Josh McCown","","","120","","","","","","","120.0"
"124","","Colt McCoy","ARI","12","121","","","","","","","121.0"
"125","","Nick Mullens","MIN","12","126","","","","","","","126.0"
""
""
