"RB","Overall","Player","Team","Bye","MFL","Fantrax","RTSports","FFC","Sleeper","AVG"
"83","303","Pooka Williams Jr.","","","","84","","","166","84.0"
"84","317","Eno Benjamin","NO","6","","85","","","154","85.0"
"85","319","Jeff Wilson Jr.","MIA","14","","86","","","171","86.0"
"86","324","Royce Freeman","HOU","10","","87","","","179","87.0"
"87","331","Jalen Richard","","","","88","","","212","88.0"
"88","333","Larry Rountree III","LAC","7","","89","","","137","89.0"
"89","335","Samaje Perine","CIN","10","","90","","","148","90.0"
"90","267","Jerick McKinnon","KC","12","","91","","","69","91.0"
"91","337","Ke'Shawn Vaughn","TB","9","","92","","","209","92.0"
"92","338","Mike Boone","DEN","11","","93","","","221","93.0"
"93","341","Kerryon Johnson","","","","94","","","199","94.0"
"94","343","D'Onta Foreman","CAR","13","","95","","","","95.0"
"95","349","Kalen Ballage","","","","96","","","207","96.0"
"96","355","Matt Breida","NYG","10","","97","","","187","97.0"
"97","356","Ameer Abdullah","LV","8","","98","","","184","98.0"
"98","365","Jonathan Williams","WAS","9","","99","","","159","99.0"
"99","375","Ito Smith","","","","100","","","110","100.0"
"100","400","Matt Jones","","","","101","","","","101.0"
"101","410","Khalil Herbert","CHI","10","","102","","","138","102.0"
"102","413","Peyton Barber","","","","103","","","","103.0"
"103","417","Cam Akers","LAR","11","","105","","","104","105.0"
"104","260","Xavier Jones","","","","107","","","63","107.0"
""
""
