"RB","Overall","Player","Team","Bye","MFL","Fantrax","RTSports","FFC","Sleeper","AVG"
"61","149","Jordan Wilkins","","","57","63","52","55","","56.2"
"62","200","T.J. Yeldon","","","60","68","58","60","","61.0"
"63","203","Robert Kelley","","","61","56","70","58","","62.2"
"64","206","Nyheim Hines","BUF","11","68","54","64","","","64.2"
"65","227","Javorius Allen","","","59","71","63","","","66.0"
"66","230","Jeremy Hill ","","","69","61","67","","","66.3"
"67","246","Kenneth Dixon","","","78","65","75","","","68.5"
"68","234","Chris Ivory","","","67","67","69","","","69.0"
"69","262","Darren Sproles","","","73","77","74","","","69.5"
"70","225","John Kelly Jr.","CLE","11","71","75","73","63","","70.5"
"71","267","Jonathan Stewart","","","76","76","76","","","73.8"
"72","256","Rod Smith","","","74","72","78","","","74.0"
"73","270","Ameer Abdullah","LV","","77","81","79","","","75.5"
"74","226","Samaje Perine","CIN","9","70","60","65","","","65.0"
"75","244","Kalen Ballage","","","75","69","72","","","72.0"
"76","251","Chase Edmonds","DEN","10","72","73","71","","","72.0"
"77","268","Wayne Gallman Jr.","SEA","7","79","78","77","","","78.0"
"78","281","Malcolm Brown","LAR","12 ","","70","81","","","75.5"
"79","298","C.J. Prosise ","","","","82","80","","","81.0"
"80","305","Corey Grant ","","","","80","87","","","83.5"
"81","313","Mike Gillislee","","","","86","85","","","85.5"
"82","289","Tavon Austin","","","","","","","","63.0"
"83","312","Elijah McGuire","","","","74","98","","","86.0"
"84","325","Christine Michael","","","","85","94","","","89.5"
"85","324","Joe Williams","","","","84","97","","","90.5"
"86","335","Boston Scott","PHI","9","","95","89","","","92.0"
"87","331","Jalen Richard","","","","92","92","","","92.0"
"88","336","J.D. McKissic","WAS","4","","88","99","","","93.5"
"89","337","Charles Sims","","","","79","","","","79.0"
"90","340","Alfred Blue","","","","98","91","","","94.5"
"91","338","Chris Warren III","","","","","82","","","82.0"
"92","349","Cameron Artis-Payne","","","","83","","","","83.0"
"93","345","Jonathan Williams","WAS","4","","","83","","","83.0"
"94","350","John Conner","","","","","84","","","84.0"
"95","352","Terrance West","","","","97","96","","","96.5"
"96","363","Stevan Ridley","","","","","86","","","86.0"
"97","364","Orleans Darkwa","","","","87","","","","87.0"
"98","297","Jaylen Samuels","","","","","88","","","88.0"
"99","356","Mark Walton","","","","91","106","","","98.5"
"100","365","Jacquizz Rodgers","","","","89","110","","","99.5"
"101","368","Wendell Smallwood","","","","","90","","","90.0"
"102","370","","","","","90","","","","90.0"
"103","367","DeAndre Washington","","","","104","95","","","99.5"
"104","372","Marcus Murphy ","","","","99","102","","","100.5"
"105","378","Akeem Hunt","","","","93","","","","93.0"
"106","375","Phillip Lindsay","","","","","93","","","93.0"
"107","265","Ryan Grant","","","","94","","","","94.0"
"108","382","C.J. Ham","MIN","10","","96","","","","96.0"
"109","388","Shane Vereen","","","","","100","","","100.0"
"110","387","Fitzgerald Toussaint","","","","100","","","","100.0"
"111","389","Troymaine Pope","","","","101","","","","101.0"
"112","391","De'Angelo Henderson Sr.","","","","","101","","","101.0"
"113","386","Kyle Juszczyk","SF","11","","102","109","","","105.5"
"114","398","Kerwynn Williams","","","","103","","","","103.0"
"115","394","Bo Scarbrough","","","","","103","","","103.0"
"116","395","Robert Turbin ","","","","","104","","","104.0"
"117","397","Charcandrick West","","","","","105","","","105.0"
"118","404","Akrum Wadley","","","","105","","","","105.0"
"119","411","Ito Smith ","","","","106","111","","","108.5"
"120","399","Kapri Bibbs","","","","","107","","","107.0"
"121","403","Justin Jackson","DET","6","","","108","","","108.0"
"122","419","Jeremy McNichols","PIT","7","","","112","","","112.0"
""
""
