"WR","Overall","Player","Team","Bye","MFL","Fantrax","RTSports","FFC","Sleeper","AVG"
"82","261","Van Jefferson","LAR","7","","","86","","84","85.0"
"83","256","Randall Cobb","GB","14","","","97","","77","87.0"
"84","257","A.J. Green","ARI","13","","","95","","79","87.0"
"85","254","Corey Davis","NYJ","10","","","77","","212","144.5"
"86","269","Kendrick Bourne","NE","10","","","81","","223","152.0"
"87","299","Braxton Berrios","NYJ","10","","","84","","216","150.0"
"88","274","Jake Wieneke","","","","","","","85","85.0"
"89","303","Laviska Shenault Jr.","CAR","13","","","85","","235","160.0"
"90","276","Davon Grayson","","","","","","","86","86.0"
"91","279","Terrell Sinkfield","","","","","","","87","87.0"
"92","305","Zay Jones","JAC","11","","","87","","206","146.5"
"93","286","Jake Kumerow","BUF","7","","","","","88","88.0"
"94","307","Devin Duvernay","BAL","10 ","","","88","","213","150.5"
"95","297","Racey McMath","TEN","6","","","","","89","89.0"
"96","313","Sterling Shepard","NYG","9 ","","","89","","204","146.5"
"97","298","Julian Edelman","","","","","","","90","90.0"
"98","317","Quez Watkins","PHI","7","","","90","","177","133.5"
"99","306","T.J. Simmons","","","","","","","91","91.0"
"100","320","Marquez Callaway","NO","14","","","91","","184","137.5"
"101","","Kolby Listenbee","","","","","","","92","92.0"
"102","323","Curtis Samuel","WAS","14","","","92","","211","151.5"
"103","","DeSean Jackson","BAL","10","","","","","93","93.0"
"104","327","Kyle Philips","TEN","6","","","93","","194","143.5"
"105","","Alshon Jeffery","","","","","","","94","94.0"
"106","330","Terrace Marshall Jr.","CAR","13","","","94","","224","159.0"
"107","","Ted Ginn Jr.","","","","","","","95","95.0"
"108","","Travis Benjamin","","","","","","","96","96.0"
"109","331","Byron Pringle","CHI","14","","","96","","215","155.5"
"110","","Dez Fitzpatrick","TEN","6","","","","","97","97.0"
"111","","Jarius Wright","","","","","","","98","98.0"
"112","333","William Fuller V","","","","","98","","","98.0"
"113","","Laquon Treadwell","SEA","11","","","","","99","99.0"
"114","335","Jamison Crowder","BUF","7","","","99","","220","159.5"
"115","","Tarik Black","BAL","10","","","","","100","100.0"
"116","336","Cedrick Wilson Jr.","MIA","11","","","100","","197","148.5"
"117","","Tavon Austin","","","","","","","101","101.0"
"118","337","Olamide Zaccheaus","ATL","14","","","101","","229","165.0"
"119","","Garrett Scantling","","","","","","","102","102.0"
"120","338","Nelson Agholor","NE","10","","","102","","178","140.0"
"121","","Corey Coleman","","","","","","","103","103.0"
"122","340","T.Y. Hilton","DAL","9","","","103","","116","109.5"
"123","","Francis Owusu","","","","","","","104","104.0"
"124","341","Velus Jones Jr.","CHI","14","","","104","","218","161.0"
"125","","Samori Toure","GB","14","","","","","105","105.0"
"126","343","Bryan Edwards","","","","","105","","207","156.0"
"127","","T.J. Vasher","","","","","","","106","106.0"
"128","","Jalen Nailor","MIN","7","","","","","107","107.0"
"129","","Stanley Berryhill III","DET","6","","","","","108","108.0"
"130","","Kevin White","NO","14","","","","","110","110.0"
"131","","Isaiah Zuber","LV","6","","","","","111","111.0"
"132","","Marcus Green","","","","","","","112","112.0"
"133","","Emmanuel Sanders","","","","","","","113","113.0"
"134","","Dillon Stoner","LV","6","","","","","114","114.0"
"135","","Deonte Harty","NO","14","","","","","115","115.0"
"136","","Tyre Brady","","","","","","","117","117.0"
"137","","Mike Strachan","IND","14","","","","","118","118.0"
"138","","Josh Bellamy","","","","","","","119","119.0"
"139","","Chris Hogan","","","","","","","120","120.0"
"140","","Shi Smith","CAR","13","","","","","121","121.0"
"141","","Damon Sheehy-Guiseppi","","","","","","","122","122.0"
"142","","Stanley Morgan Jr.","CIN","10","","","","","123","123.0"
"143","","Damiere Byrd","ATL","14","","","","","124","124.0"
"144","","Devon Allen","PHI","7","","","","","125","125.0"
"145","","Jalen Reagor","MIN","7","","","","","126","126.0"
"146","","Lance McCutcheon","LAR","7","","","","","127","127.0"
"147","","Greg Ward","PHI","7","","","","","128","128.0"
"148","","Bryce Bobo","","","","","","","129","129.0"
"149","","N'Keal Harry","CHI","14","","","","","130","130.0"
"150","","Equanimeous St. Brown","CHI","14","","","","","131","131.0"
"151","","Jacob Harris","LAR","7","","","","","132","132.0"
"152","","KaVontae Turpin","DAL","9","","","","","133","133.0"
"153","","Deven Thompkins","TB","11","","","","","134","134.0"
"154","","Jason Moore Jr.","LAC","8","","","","","135","135.0"
"155","","Denzel Mims","NYJ","10","","","","","136","136.0"
"156","","Donte Sylencieux","","","","","","","137","137.0"
"157","","Dez Bryant","","","","","","","138","138.0"
"158","","Rashard Higgins","CAR","13","","","","","139","139.0"
"159","","Damon Hazelton","","","","","","","140","140.0"
"160","","Josh Malone","","","","","","","141","141.0"
"161","","Larry Fitzgerald","","","","","","","142","142.0"
"162","","Dede Westbrook","","","","","","","143","143.0"
"163","","Marquise Goodwin","SEA","11 ","","","","","144","144.0"
"164","","Tutu Atwell","LAR","7","","","","","145","145.0"
"165","","Tre Nixon","NE","10","","","","","146","146.0"
"166","","Noah Brown","DAL","9","","","","","148","148.0"
"167","","Freddie Swain","DEN","9","","","","","149","149.0"
"168","","Antonio Brown","","","","","","","150","150.0"
"169","","Danny Davis","","","","","","","151","151.0"
"170","","Josh Gordon","","","","","","","153","153.0"
"171","","Aaron Parker","","","","","","","154","154.0"
"172","","Kai Locksley","","","","","","","155","155.0"
"173","","Amara Darboh","","","","","","","156","156.0"
"174","","Chad Hansen","","","","","","","157","157.0"
"175","","Keke Coutee","IND","14","","","","","158","158.0"
"176","","Demarcus Robinson","BAL","10","","","","","159","159.0"
"177","","Dee Eskridge","SEA","11","","","","","160","160.0"
"178","","Charleston Rambo","","","","","","","161","161.0"
"179","","Danny Gray","SF","9","","","","","162","162.0"
"180","","Ray-Ray McCloud III","SF","9","","","","","163","163.0"
"181","","Tyler Johnson","TB","11","","","","","164","164.0"
"182","","Maurice Ffrench","","","","","","","165","165.0"
"183","","Jehu Chesson","","","","","","","166","166.0"
"184","","Malik Henry","","","","","","","167","167.0"
"185","","Tajae Sharpe","","","","","","","168","168.0"
"186","","Makai Polk","NYG","9","","","","","169","169.0"
"187","","Amba Etta-Tawo","","","","","","","171","171.0"
"188","","Dorian Baker","","","","","","","172","172.0"
"189","","Rashard Davis","","","","","","","173","173.0"
"190","","Chad Williams","","","","","","","174","174.0"
"191","","Mack Hollins","LV","6","","","","","175","175.0"
"192","","Justin Watson","KC","8","","","","","176","176.0"
"193","","Richard Mullaney","","","","","","","179","179.0"
"194","","Ventell Bryant","","","","","","","180","180.0"
"195","","Jared Bernhardt","ATL","14","","","","","181","181.0"
"196","","Ty Fryfogle","","","","","","","182","182.0"
"197","","Josh Imatorbhebhe","","","","","","","183","183.0"
"198","","Alex Erickson","WAS","14","","","","","185","185.0"
"199","","Taywan Taylor","","","","","","","186","186.0"
"200","","Montrell Washington","DEN","9","","","","","187","187.0"
"201","","Bo Melton","GB","14","","","","","188","188.0"
"202","","Michael Crabtree","","","","","","","189","189.0"
"203","","Pig Howard","","","","","","","190","190.0"
"204","","Michael Woods II","CLE","9","","","","","191","191.0"
"205","","Anthony Schwartz","CLE","9","","","","","192","192.0"
"206","","Erik Ezukanma","MIA","11","","","","","193","193.0"
"207","","Zach Pascal","PHI","7","","","","","195","195.0"
"208","","Keelan Cole Sr.","LV","6","","","","","196","196.0"
"209","","Amari Rodgers","HOU","6","","","","","198","198.0"
"210","","James Proche II","BAL","10","","","","","199","199.0"
"211","","Tom Kennedy","DET","6","","","","","200","200.0"
"212","","Cole Beasley","BUF","7","","","","","201","201.0"
