"RB","Overall","Player","Team","Bye","MFL","Fantrax","RTSports","FFC","Sleeper","AVG"
"37","95","James White","","","32","39","","43","","38.3"
"38","109","Tarik Cohen ","","","37","43","","48","","39.3"
"39","105","Zack Moss","IND","7 ","39","45","","37","","39.3"
"40","101","Matt Breida","NYG","11","43","36","","41","","39.5"
"41","103","Tevin Coleman","SF","11","42","41","","38","","40.8"
"42","104","Latavius Murray","DEN","5","41","42","","40","","41.0"
"43","124","Antonio Gibson","WAS","8","33","61","","39","","41.3"
"44","118","Alexander Mattison","MIN","7","47","44","","42","","44.3"
"45","135","Chase Edmonds","DEN","5","49","50","","45","","48.0"
"46","140","Duke Johnson Jr.","BUF","11","46","46","","59","","49.0"
"47","127","Adrian Peterson","","","45","49","","47","","49.8"
"48","147","Boston Scott","PHI","9","48","48","","56","","49.8"
"49","136","Darrell Henderson Jr.","","","","40","","46","","46.3"
"50","151","AJ Dillon","GB","5","51","52","","51","","52.0"
"51","152","Chris Thompson","","","44","58","","57","","52.3"
"52","156","Tony Pollard","DAL","10","","47","","49","","47.3"
"53","153","Justin Jackson","DET","5","50","51","","53","","51.3"
"54","139","Ke'Shawn Vaughn","TB","13","","37","","50","","43.5"
"55","170","Nyheim Hines","BUF","11","52","55","","62","","56.3"
"56","171","Damien Harris","NE","5","","75","","44","","58.0"
"57","184","Ryquell Armstead ","","","","63","","54","","56.0"
"58","179","Darrel Williams","ARI","8","","56","","61","","58.0"
"59","186","Bryce Love","","","","87","","55","","67.3"
"60","177","Rashaad Penny","SEA","6","","53","","63","","58.0"
"61","332","James Robinson","NYJ","10","","91","","","","70.0"
"62","213","Jerick McKinnon","KC","10","","85","","66","","67.7"
"63","183","Jamaal Williams","DET","5","","54","","65","","59.5"
"64","192","LeSean McCoy","","","","59","","60","","59.5"
"65","211","Lamar Miller","","","","57","","","","57.0"
"66","219","Joshua Kelley","LAC","6","","70","","67","","65.3"
"67","194","Carlos Hyde","","","","78","","58","","68.0"
"68","235","Frank Gore","","","","60","","","","60.0"
"69","325","Devine Ozigbo","","","","89","","","","75.0"
"70","237","Malcolm Brown","LAR","9","","62","","","","62.0"
"71","275","Jalen Richard","","","","80","","","","71.0"
"72","274","Ito Smith","","","","79","","","","71.0"
"73","238","Lynn Bowden Jr.","NE","5","","64","","","","64.0"
"74","210","Benny Snell Jr.","PIT","4","","76","","64","","70.0"
"75","262","Giovani Bernard","TB","13","","77","","","","70.5"
"76","240","Justice Hill","BAL","7","","65","","","","65.0"
"77","241","Brian Hill","","","","66","","","","66.0"
"78","245","Eno Benjamin","NO","6","","67","","","","67.0"
"79","248","Darrynton Evans","CHI","11","","68","","","","68.0"
"80","249","Anthony McFarland Jr.","PIT","4","","69","","","","69.0"
"81","251","Devonta Freeman","","","","71","","","","71.0"
"82","252","Royce Freeman","HOU","8","","72","","","","72.0"
"83","254","La'Mical Perine","MIA","7","","73","","","","73.0"
"84","259","Gus Edwards","BAL","7","","74","","","","74.0"
"85","278","Jaylen Samuels","","","","81","","","","81.0"
"86","281","Dion Lewis","","","","82","","","","82.0"
"87","286","Rex Burkhead","HU","8 O","","83","","","","83.0"
"88","290","Darwin Thompson","SEA","6","","84","","","","84.0"
"89","299","Peyton Barber","","","","86","","","","86.0"
"90","316","Mike Boone","DEN","5","","88","","","","88.0"
"91","330","J.D. McKissic","WAS","8","","90","","","","90.0"
"92","337","Ty Montgomery","NE","5","","92","","","","92.0"
"93","338","Kalen Ballage","","","","93","","","","93.0"
"94","341","DeeJay Dallas","SEA","6","","94","","","","94.0"
"95","345","J.J. Taylor","NE","5","","95","","","","95.0"
"96","348","Derrius Guice","","","","97","","","","97.0"
""
""
