,WR,Overall,Player,AVG
124,125.0,386.0,Seth Roberts,109.5
125,126.0,,Charles Johnson,98.0
126,127.0,393.0,Taywan Taylor,98.0
127,128.0,,Andre Roberts,99.0
128,129.0,436.0,Corey Brown,110.5
129,130.0,414.0,Devin Hester,110.5
130,131.0,,Cecil Shorts,101.0
131,132.0,395.0,Jon Baldwin,102.0
132,133.0,,Jarius Wright,102.0
133,134.0,432.0,Brice Butler,112.0
134,135.0,,Brian Hartline,103.0
135,136.0,397.0,Roddy White,103.0
136,137.0,405.0,Matt Jones,104.0
137,138.0,413.0,Bruce Ellington,113.0
138,139.0,407.0,Reggie Diggs,105.0
139,140.0,,Keshawn Martin,106.0
140,141.0,411.0,Chris Conley,106.0
141,142.0,412.0,Rashad Greene,108.0
142,143.0,448.0,Albert Wilson,115.5
143,144.0,,Marquess Wilson,110.0
144,145.0,,Brian Quick,112.0
145,146.0,,Marc Mariani,113.0
146,147.0,416.0,Nelson Spruce,113.0
147,148.0,417.0,Jakeem Grant Sr.,116.0
148,149.0,419.0,Aaron Burbridge,117.0
149,150.0,421.0,Leonte Carroo,118.0
150,151.0,,Andrew Hawkins,119.0
151,152.0,429.0,DeAndre Smelter,119.0
152,153.0,,Leonard Hankerson,120.0
153,154.0,,Jace Billingsley,122.0
154,155.0,,Harry Douglas,123.0
155,156.0,,James Wright,124.0
156,157.0,,Stedman Bailey,125.0
157,,,,
158,,,,
