,Rank,Player,POS,AVG
225,226.0,Austin Seibert,K16,240.3
226,227.0,Parris Campbell,WR75,211.5
227,228.0,Chris Boswell,K17,242.3
228,229.0,Marcus Mariota,QB26,215.0
229,230.0,A.J. Brown,WR76,218.5
230,231.0,Gus Edwards,RB67,218.5
231,232.0,Randall Cobb,WR77,219.0
232,233.0,Cameron Brate,TE26,259.3
233,234.0,Giorgio Tavecchio,K18,229.5
234,235.0,Mike Davis,RB68,231.0
235,236.0,Demaryius Thomas,WR78,232.0
236,237.0,Washington Commanders,DST21,256.0
237,238.0,Andy Isabella,WR79,234.0
238,239.0,Chase Edmonds,RB69,234.5
239,240.0,Chris Moore,WR80,288.5
240,241.0,Tyler Eifert,TE27,241.5
241,242.0,Antonio Callaway,WR81,187.0
242,243.0,Jacoby Brissett,QB27,243.0
243,244.0,Darrel Williams,RB70,189.0
244,245.0,T.J. Yeldon,RB71,244.0
245,246.0,Ted Ginn Jr.,WR82,248.5
246,247.0,Quincy Enunwa ,WR83,246.5
247,248.0,Kelvin Harmon,WR84,196.0
248,249.0,Willie Snead,WR85,249.0
249,250.0,Trayveon Williams,RB72,200.0
250,251.0,Andy Dalton,QB28,250.0
251,252.0,Mike Gesicki,TE28,250.5
252,253.0,Diontae Johnson,WR86,203.0
253,254.0,San Francisco 49ers,DST22,251.0
254,255.0,Ryquell Armstead,RB73,251.5
255,256.0,Rashard Higgins,WR87,254.5
256,257.0,Aldrick Rosas,K19,254.5
257,258.0,Robert Foster,WR88,211.0
258,259.0,Jakobi Meyers,WR89,212.0
259,260.0,Preston Williams,WR90,213.0
260,261.0,Cole Beasley,WR91,256.0
261,262.0,Matt LaCosse,TE29,222.0
262,263.0,Dontrell Hilliard,RB74,260.5
263,264.0,Trey Quinn ,WR92,262.0
264,265.0,Paul Richardson Jr. ,WR93,262.0
265,266.0,Atlanta Falcons,DST23,269.0
266,267.0,Irv Smith Jr.,TE30,229.0
267,268.0,Dan Bailey,K20,264.0
268,269.0,Jalen Hurd,WR94,230.0
269,270.0,Matt Gay,K21,265.0
270,271.0,Danny Amendola,WR95,265.0
271,272.0,Benjamin Watson,TE31,289.0
272,273.0,Joe Flacco,QB29,270.5
273,274.0,Riley Ridley,WR96,241.0
274,275.0,Ryan Succop,K22,281.5
275,276.0,Arizona Cardinals,DST24,242.0
276,277.0,Las Vegas Raiders,DST25,312.0
277,278.0,Carolina Panthers,DST26,271.5
278,279.0,Jake Kumerow,WR97,307.5
279,280.0,Alfred Morris,RB75,246.0
280,281.0,Brian Hill,RB76,247.0
281,282.0,Dwayne Haskins,QB30,273.0
282,283.0,Qadree Ollison,RB77,251.0
283,284.0,Hunter Renfrow,WR98,275.0
284,285.0,New York Jets,DST27,281.0
285,286.0,Demarcus Robinson,WR99,257.0
286,287.0,Josh Doctson,WR100,279.0
287,288.0,Dexter Williams,RB78,260.0
288,289.0,Damarea Crockett,RB79,260.0
289,290.0,Will Dissly,TE32,312.5
290,291.0,DJ Chark Jr.,WR101,262.0
291,292.0,Josh Reynolds,WR102,263.0
292,293.0,John Ross,WR103,282.0
293,294.0,Gerald Everett,TE33,266.0
294,295.0,Eddy Pineiro,K23,282.5
295,296.0,Brandon McManus,K24,296.0
296,297.0,Myles Gaskin,RB80,267.0
297,298.0,Detroit Lions,DST28,289.0
298,299.0,Cincinnati Bengals,DST29,271.0
299,300.0,David Moore,WR104,272.0
300,301.0,Wayne Gallman Jr.,RB81,301.5
301,302.0,KeeSean Johnson,WR105,273.0
302,303.0,Jay Ajayi,RB82,274.0
303,304.0,Stephen Hauschka,K25,322.5
304,305.0,Daniel Carlson,K26,324.0
305,306.0,Bruce Anderson,RB83,276.0
306,307.0,Miami Dolphins,DST30,317.0
307,308.0,Phillip Dorsett,WR106,308.5
308,309.0,Theo Riddick,RB84,279.0
309,310.0,Ian Thomas,TE34,280.0
310,311.0,Travis Benjamin,WR107,281.0
311,312.0,Rex Burkhead,RB85,290.0
312,313.0,Taylor Gabriel,WR108,282.0
313,314.0,Vernon Davis,TE35,338.0
314,315.0,Josh Lambo,K27,327.5
315,316.0,Benny Snell Jr.,RB86,284.0
316,317.0,Eli Manning,QB31,295.0
317,318.0,Alfred Blue,RB87,292.0
318,319.0,Joey Slye,K28,332.0
319,320.0,Daniel Jones,QB32,324.0
320,321.0,Doug Martin,RB88,289.0
321,322.0,Taywan Taylor,WR109,291.0
322,323.0,Ryan Fitzpatrick,QB33,307.5
323,324.0,Josh Rosen,QB34,292.0
324,325.0,New York Giants,DST31,339.0
325,326.0,Dustin Hopkins,K29,332.0
326,327.0,Randy Bullock,K30,322.5
327,328.0,Corey Clement,RB89,298.0
328,329.0,Alex Collins,RB90,300.0
