,QB,Overall,Player,ESPN,Yahoo,AVG
61,62.0,,Brock Osweiler,56.0,,56.0
62,63.0,,Drew Stanton,57.0,,57.0
63,64.0,,Cooper Rush,58.0,,58.0
64,65.0,,Chase Daniel,59.0,,59.0
65,66.0,,T.J. Yates,60.0,,60.0
66,67.0,,Tim Boyle,61.0,,61.0
67,68.0,,AJ McCarron,62.0,,62.0
68,69.0,,Josh Johnson,63.0,,63.0
69,70.0,,Tyrod Taylor,64.0,,64.0
70,71.0,,E.J. Manuel,65.0,,65.0
71,72.0,,Chad Henne,66.0,,66.0
72,73.0,,Paxton Lynch,67.0,,67.0
73,74.0,,Connor Cook,68.0,,68.0
74,75.0,,Matt Schaub,70.0,,70.0
75,76.0,,Scott Tolzien,71.0,,71.0
76,77.0,,Brandon Weeden,72.0,,72.0
77,78.0,,Jarrett Stidham,73.0,,73.0
78,79.0,,Gardner Minshew II,74.0,,74.0
79,80.0,,Brian Hoyer,75.0,,75.0
80,81.0,,Mike White,76.0,,76.0
81,82.0,,Christian Hackenberg,77.0,,77.0
82,83.0,,Ryan Finley,78.0,,78.0
83,84.0,,Brett Hundley,79.0,,79.0
84,85.0,,Kyle Sloter,80.0,,80.0
85,86.0,,Sean Mannion,81.0,,81.0
86,87.0,,Kyle Allen,82.0,,82.0
87,88.0,,Trevor Siemian,83.0,,83.0
88,89.0,,Austin Davis,84.0,,84.0
89,90.0,,Tyler Bray,85.0,,85.0
90,91.0,,Easton Stick,87.0,,87.0
91,92.0,,Alex Tanney,88.0,,88.0
92,93.0,,Landry Jones,89.0,,89.0
93,94.0,,Nate Sudfeld,90.0,,90.0
94,95.0,,Mike Glennon,91.0,,91.0
95,96.0,,Cardale Jones,93.0,,93.0
96,97.0,,Danny Etling,94.0,,94.0
97,98.0,,Blaine Gabbert,95.0,,95.0
98,99.0,,Ryan Griffin,96.0,,96.0
99,100.0,,Kyle Lauletta,97.0,,97.0
100,101.0,,Brandon Allen,98.0,,98.0
101,102.0,,Will Grier,99.0,,99.0
102,103.0,,Clayton Thorson,100.0,,100.0
103,104.0,,Logan Woodside,101.0,,101.0
104,105.0,,Cody Kessler,102.0,,102.0
105,106.0,,Trevone Boykin,103.0,,103.0
106,107.0,,Alex McGough,104.0,,104.0
107,108.0,,Taylor Heinicke,105.0,,105.0
108,109.0,,Jake Rudock,106.0,,106.0
109,110.0,,Luke Falk,107.0,,107.0
110,111.0,,Brad Kaaya,108.0,,108.0
111,112.0,,Kevin Hogan,109.0,,109.0
112,113.0,,Tanner Lee,110.0,,110.0
113,114.0,,Derek Anderson,111.0,,111.0
114,115.0,,Bryce Petty,112.0,,112.0
115,116.0,,Brett Rypien,113.0,,113.0
116,117.0,,Brandon Doughty,114.0,,114.0
117,118.0,,David Fales,115.0,,115.0
118,119.0,,Jeff Driskel,116.0,,116.0
119,120.0,,Davis Webb,117.0,,117.0
120,121.0,,Joe Callahan,118.0,,118.0
121,122.0,,Garrett Grayson,119.0,,119.0
122,123.0,,Josh McCown,120.0,,120.0
123,124.0,,Colt McCoy,121.0,,121.0
124,125.0,,Nick Mullens,126.0,,126.0
125,,,,,,
126,,,,,,
