,WR,Overall,Player,AVG
107,108.0,326.0,Chester Rogers,95.0
108,109.0,380.0,Jake Kumerow,100.0
109,110.0,332.0,Brandon Zylstra,100.0
110,111.0,342.0,Chad Williams,109.5
111,112.0,341.0,J.J. Nelson,109.5
112,113.0,344.0,Rashard Higgins,111.5
113,114.0,384.0,Bruce Ellington,104.0
114,115.0,348.0,Curtis Samuel,111.5
115,116.0,351.0,Brice Butler,112.5
116,117.0,359.0,Jeremy Maclin ,113.0
117,118.0,361.0,Tyler Boyd,115.0
118,119.0,358.0,Taylor Gabriel,113.5
119,120.0,414.0,Marquez Valdes-Scantling,116.0
120,121.0,371.0,Cody Latimer,117.0
121,122.0,409.0,DaeSean Hamilton,123.5
122,123.0,376.0,Brandon LaFell ,118.0
123,124.0,377.0,Malcolm Mitchell,119.0
124,125.0,379.0,Equanimeous St. Brown,122.0
125,126.0,381.0,Javon Wims,124.0
126,127.0,385.0,Kendall Wright,125.0
127,128.0,392.0,David Moore,126.0
128,129.0,400.0,Deonte Thompson,127.0
129,130.0,405.0,Bennie Fowler III,128.0
130,131.0,406.0,Seth Roberts,129.0
131,,,,
132,,,,
