,,Inside 20,Inside 20,Inside 20,Inside 20,Inside 20,Inside 20,Inside 10,Inside 10,Inside 10,Inside 10,Inside 10,Inside 10,,-additional
Player,Tm,Tgt,Rec,Ctch%,Yds,TD,%Tgt,Tgt,Rec,Ctch%,Yds,TD,%Tgt,Link,-9999
Jermaine Gresham,ARI,7,3,42.86%,24,1,9.0%,3,1,33.33%,1,1,7.7%,All Jermaine Gresham red zone receiving plays,GresJe00
Jordan Howard,CHI,7,2,28.57%,8,0,9.7%,2,0,0.00%,0,0,5.9%,All Jordan Howard red zone receiving plays,HowaJo00
Dontrelle Inman,SDG,7,3,42.86%,38,1,8.0%,2,0,0.00%,0,0,5.7%,All Dontrelle Inman red zone receiving plays,InmaDo00
Jeremy Kerley,SFO,7,3,42.86%,33,2,14.6%,2,1,50.00%,9,1,10.5%,All Jeremy Kerley red zone receiving plays,KerlJe00
Dexter McCluster,SDG,7,4,57.14%,16,0,8.0%,1,1,100.00%,6,0,2.9%,All Dexter McCluster red zone receiving plays,McClDe00
LeSean McCoy,BUF,7,6,85.71%,41,1,14.3%,3,2,66.67%,10,1,15.0%,All LeSean McCoy red zone receiving plays,McCoLe01
Russell Shepard,TAM,7,3,42.86%,44,2,10.4%,3,1,33.33%,6,0,11.1%,All Russell Shepard red zone receiving plays,ShepRu00
Dion Sims,MIA,7,5,71.43%,31,4,14.0%,5,3,60.00%,9,3,22.7%,All Dion Sims red zone receiving plays,SimsDi00
Chris Thompson,WAS,7,5,71.43%,28,2,9.5%,2,2,100.00%,8,1,5.4%,All Chris Thompson red zone receiving plays,ThomCh03
Julius Thomas,JAX,7,4,57.14%,28,3,10.4%,4,3,75.00%,24,3,15.4%,All Julius Thomas red zone receiving plays,ThomJu00
Will Tye,NYG,7,4,57.14%,29,1,11.7%,3,1,33.33%,9,1,11.5%,All Will Tye red zone receiving plays,TyexWi00
Darren Waller,BAL,7,3,42.86%,22,2,9.7%,4,2,50.00%,7,2,14.3%,All Darren Waller red zone receiving plays,WallDa01
James White,NWE,7,4,57.14%,47,4,9.7%,4,2,50.00%,13,2,10.5%,All James White red zone receiving plays,WhitJa02
Damien Williams,MIA,7,7,100.00%,41,3,14.0%,3,3,100.00%,9,2,13.6%,All Damien Williams red zone receiving plays,WillDa05
Albert Wilson,KAN,7,3,42.86%,9,1,9.1%,4,2,50.00%,6,1,12.1%,All Albert Wilson red zone receiving plays,WilsAl02
Geronimo Allison,GNB,6,2,33.33%,14,2,5.9%,3,2,66.67%,14,2,6.1%,All Geronimo Allison red zone receiving plays,AlliGe01
Giovani Bernard,CIN,6,5,83.33%,26,0,9.5%,2,1,50.00%,3,0,6.7%,All Giovani Bernard red zone receiving plays,BernGi00
Devontae Booker,DEN,6,3,50.00%,14,0,9.5%,1,0,0.00%,0,0,2.8%,All Devontae Booker red zone receiving plays,BookDe00
John Brown,ARI,6,2,33.33%,24,1,7.7%,3,0,0.00%,0,0,7.7%,All John Brown red zone receiving plays,BrowJo02
Brice Butler,DAL,6,1,16.67%,4,1,11.3%,6,1,16.67%,4,1,20.0%,All Brice Butler red zone receiving plays,ButlBr00
Isaiah Crowell,CLE,6,5,83.33%,23,0,10.9%,3,2,66.67%,-6,0,15.0%,All Isaiah Crowell red zone receiving plays,CrowIs00
Victor Cruz,NYG,6,4,66.67%,24,1,10.0%,2,1,50.00%,3,1,7.7%,All Victor Cruz red zone receiving plays,CruzVi00
Vernon Davis,WAS,6,3,50.00%,17,1,8.1%,4,2,50.00%,4,0,10.8%,All Vernon Davis red zone receiving plays,DaviVe00
Eric Ebron,DET,6,5,83.33%,32,1,7.1%,3,2,66.67%,13,1,8.1%,All Eric Ebron red zone receiving plays,EbroEr00
Taylor Gabriel,ATL,6,6,100.00%,42,1,6.5%,2,2,100.00%,13,1,4.0%,All Taylor Gabriel red zone receiving plays,GabrTa00
Frank Gore,IND,6,5,83.33%,47,4,8.8%,4,3,75.00%,11,2,10.0%,All Frank Gore red zone receiving plays,GoreFr00
Ryan Griffin,HOU,6,4,66.67%,24,2,9.0%,3,2,66.67%,7,2,8.6%,All Ryan Griffin red zone receiving plays,GrifRy00
Tim Hightower,NOR,6,3,50.00%,7,0,5.8%,4,1,25.00%,0,0,6.7%,All Tim Hightower red zone receiving plays,HighTi00
Justin Hunter,BUF,6,3,50.00%,25,3,12.2%,5,2,40.00%,9,2,25.0%,All Justin Hunter red zone receiving plays,HuntJu00
Carlos Hyde,SFO,6,5,83.33%,45,3,12.5%,2,2,100.00%,9,1,10.5%,All Carlos Hyde red zone receiving plays,HydeCa00
Duke Johnson,CLE,6,2,33.33%,8,0,10.9%,3,0,0.00%,0,0,15.0%,All Duke Johnson red zone receiving plays,JohnDu00
Kyle Juszczyk,BAL,6,4,66.67%,20,0,8.3%,3,2,66.67%,8,0,10.7%,All Kyle Juszczyk red zone receiving plays,JuszKy00
Lance Kendricks,LAR,6,3,50.00%,30,2,11.8%,4,1,25.00%,0,0,17.4%,All Lance Kendricks red zone receiving plays,KendLa00
John Kuhn,NOR,6,5,83.33%,17,1,5.8%,2,2,100.00%,7,1,3.3%,All John Kuhn red zone receiving plays,KuhnJo00
