,,Inside 20,Inside 20,Inside 20,Inside 20,Inside 20,Inside 20,Inside 10,Inside 10,Inside 10,Inside 10,Inside 10,Inside 10,,-additional
Player,Tm,Tgt,Rec,Ctch%,Yds,TD,%Tgt,Tgt,Rec,Ctch%,Yds,TD,%Tgt,Link,-9999
Marquise Goodwin,BUF,4,3,75.00%,21,1,8.2%,2,1,50.00%,6,1,10.0%,All Marquise Goodwin red zone receiving plays,GoodMa00
Ryan Grant,WAS,4,2,50.00%,18,0,5.4%,0,0,,0,0,.0%,All Ryan Grant red zone receiving plays,GranRy01
Ladarius Green,PIT,4,0,0.00%,0,0,6.3%,1,0,0.00%,0,0,3.4%,All Ladarius Green red zone receiving plays,GreeLa00
Virgil Green,DEN,4,1,25.00%,2,1,6.3%,3,1,33.33%,2,1,8.3%,All Virgil Green red zone receiving plays,GreeVi00
Cobi Hamilton,PIT,4,1,25.00%,6,0,6.3%,1,0,0.00%,0,0,3.4%,All Cobi Hamilton red zone receiving plays,HamiCo00
Demetrius Harris,KAN,4,1,25.00%,12,0,5.2%,2,0,0.00%,0,0,6.1%,All Demetrius Harris red zone receiving plays,HarrDe03
Tyler Higbee,LAR,4,1,25.00%,2,1,7.8%,2,1,50.00%,2,1,8.7%,All Tyler Higbee red zone receiving plays,HigbTy00
Josh Huff,PHI,4,4,100.00%,18,1,4.7%,1,1,100.00%,1,1,4.0%,All Josh Huff red zone receiving plays,HuffJo00
Rashad Jennings,NYG,4,3,75.00%,16,1,6.7%,0,0,,0,0,.0%,All Rashad Jennings red zone receiving plays,JennRa00
Marcedes Lewis,JAX,4,3,75.00%,11,1,6.0%,3,2,66.67%,7,1,11.5%,All Marcedes Lewis red zone receiving plays,LewiMa00
Jordan Norwood,DEN,4,2,50.00%,9,0,6.3%,4,2,50.00%,9,0,11.1%,All Jordan Norwood red zone receiving plays,NorwJo00
Quinton Patton,SFO,4,1,25.00%,9,0,8.3%,3,1,33.33%,9,0,15.8%,All Quinton Patton red zone receiving plays,PattQu00
Breshad Perriman,BAL,4,4,100.00%,30,1,5.6%,0,0,,0,0,.0%,All Breshad Perriman red zone receiving plays,PerrBr02
Paul Richardson,SEA,4,2,50.00%,11,1,5.7%,3,1,33.33%,5,1,9.7%,All Paul Richardson red zone receiving plays,RichPa01
Mychal Rivera,OAK,4,2,50.00%,16,1,4.4%,3,2,66.67%,16,1,6.7%,All Mychal Rivera red zone receiving plays,RiveMy00
Tajae Sharpe,TEN,4,2,50.00%,6,0,6.1%,2,1,50.00%,3,0,6.7%,All Tajae Sharpe red zone receiving plays,SharTa00
Mike Tolbert,CAR,4,2,50.00%,-1,1,6.1%,1,1,100.00%,1,1,4.8%,All Mike Tolbert red zone receiving plays,TolbMi00
Sammy Watkins,BUF,4,2,50.00%,14,1,8.2%,1,1,100.00%,8,1,5.0%,All Sammy Watkins red zone receiving plays,WatkSa00
Terrance Williams,DAL,4,3,75.00%,17,2,7.5%,4,3,75.00%,17,2,13.3%,All Terrance Williams red zone receiving plays,WillTe01
Stephen Anderson,HOU,3,2,66.67%,12,1,4.5%,2,1,50.00%,7,1,5.7%,All Stephen Anderson red zone receiving plays,AndeSt01
Matt Asiata,MIN,3,3,100.00%,18,0,4.1%,1,1,100.00%,7,0,3.1%,All Matt Asiata red zone receiving plays,AsiaMa00
Peyton Barber,TAM,3,3,100.00%,19,0,4.5%,1,1,100.00%,4,0,3.7%,All Peyton Barber red zone receiving plays,BarbPe01
Josh Bellamy,CHI,3,2,66.67%,15,1,4.2%,2,1,50.00%,10,1,5.9%,All Josh Bellamy red zone receiving plays,BellJo02
Corey Coleman,CLE,3,2,66.67%,16,1,5.5%,1,1,100.00%,5,0,5.0%,All Corey Coleman red zone receiving plays,ColeCo00
Ed Dickson,CAR,3,1,33.33%,1,1,4.5%,2,1,50.00%,1,1,9.5%,All Ed Dickson red zone receiving plays,DickEd00
Kenneth Dixon,BAL,3,2,66.67%,14,1,4.2%,1,1,100.00%,8,1,3.6%,All Kenneth Dixon red zone receiving plays,DixoKe00
Josh Doctson,WAS,3,0,0.00%,0,0,4.1%,2,0,0.00%,0,0,5.4%,All Josh Doctson red zone receiving plays,DoctJo00
Larry Donnell,NYG,3,1,33.33%,15,1,5.0%,2,0,0.00%,0,0,7.7%,All Larry Donnell red zone receiving plays,DonnLa00
Harry Douglas,TEN,3,0,0.00%,0,0,4.5%,1,0,0.00%,0,0,3.3%,All Harry Douglas red zone receiving plays,DougHa00
Ezekiel Elliott,DAL,3,3,100.00%,12,0,5.7%,2,2,100.00%,2,0,6.7%,All Ezekiel Elliott red zone receiving plays,ElliEz00
Darren Fells,ARI,3,1,33.33%,7,0,3.8%,2,0,0.00%,0,0,5.1%,All Darren Fells red zone receiving plays,FellDa01
Bennie Fowler,DEN,3,1,33.33%,5,1,4.8%,1,1,100.00%,5,1,2.8%,All Bennie Fowler red zone receiving plays,FowlBe00
Jonathan Grimes,HOU,3,0,0.00%,0,0,4.5%,1,0,0.00%,0,0,2.9%,All Jonathan Grimes red zone receiving plays,GrimJo01
Derrick Henry,TEN,3,2,66.67%,18,0,4.5%,0,0,,0,0,.0%,All Derrick Henry red zone receiving plays,HenrDe00
Rashard Higgins,CLE,3,1,33.33%,10,0,5.5%,0,0,,0,0,.0%,All Rashard Higgins red zone receiving plays,HiggRa00
Jeremy Hill,CIN,3,3,100.00%,19,0,4.8%,0,0,,0,0,.0%,All Jeremy Hill red zone receiving plays,HillJe01
Josh Hill,NOR,3,2,66.67%,13,1,2.9%,2,1,50.00%,8,1,3.3%,All Josh Hill red zone receiving plays,HillJo02
Vincent Jackson,TAM,3,0,0.00%,0,0,4.5%,0,0,,0,0,.0%,All Vincent Jackson red zone receiving plays,JackVi00
Zach Line,MIN,3,0,0.00%,0,0,4.1%,3,0,0.00%,0,0,9.4%,All Zach Line red zone receiving plays,LineZa01
Ricardo Louis,CLE,3,1,33.33%,13,0,5.5%,0,0,,0,0,.0%,All Ricardo Louis red zone receiving plays,LouiRi00
Byron Marshall,PHI,3,1,33.33%,-1,0,3.5%,1,0,0.00%,0,0,4.0%,All Byron Marshall red zone receiving plays,MarsBy01
Ryan Mathews,PHI,3,3,100.00%,4,1,3.5%,2,2,100.00%,4,1,8.0%,All Ryan Mathews red zone receiving plays,MathRy00
Keith Mumphery,HOU,3,2,66.67%,12,0,4.5%,2,1,50.00%,4,0,5.7%,All Keith Mumphery red zone receiving plays,MumpKe00
Jamize Olawale,OAK,3,3,100.00%,33,0,3.3%,1,1,100.00%,8,0,2.2%,All Jamize Olawale red zone receiving plays,OlawJa00
Charone Peake,NYJ,3,0,0.00%,0,0,4.3%,1,0,0.00%,0,0,3.4%,All Charone Peake red zone receiving plays,PeakCh00
Aaron Ripkowski,GNB,3,3,100.00%,10,1,2.9%,2,2,100.00%,6,1,4.1%,All Aaron Ripkowski red zone receiving plays,RipkAa00
Andre Roberts,DET,3,2,66.67%,3,1,3.6%,3,2,66.67%,3,1,8.1%,All Andre Roberts red zone receiving plays,RobeAn00
Aldrick Robinson,ATL,3,2,66.67%,9,1,3.2%,1,1,100.00%,5,1,2.0%,All Aldrick Robinson red zone receiving plays,RobiAl00
C.J. Spiller,SEA,3,1,33.33%,8,1,4.3%,2,1,50.00%,8,1,6.5%,All C.J. Spiller red zone receiving plays,SpilC.00
Jonathan Stewart,CAR,3,1,33.33%,8,0,4.5%,1,0,0.00%,0,0,4.8%,All Jonathan Stewart red zone receiving plays,StewJo00
Rod Streater,SFO,3,3,100.00%,22,2,6.3%,2,2,100.00%,15,2,10.5%,All Rod Streater red zone receiving plays,StreRo00
Bryan Walters,JAX,3,3,100.00%,28,2,4.5%,1,1,100.00%,7,1,3.8%,All Bryan Walters red zone receiving plays,WaltBr00
Spencer Ware,KAN,3,2,66.67%,5,1,3.9%,2,2,100.00%,5,1,6.1%,All Spencer Ware red zone receiving plays,WareSp00
Dwayne Washington,DET,3,2,66.67%,17,0,3.6%,1,0,0.00%,0,0,2.7%,All Dwayne Washington red zone receiving plays,WashDw00
Luke Willson,SEA,3,3,100.00%,28,2,4.3%,1,1,100.00%,8,1,3.2%,All Luke Willson red zone receiving plays,WillLu00
Kendall Wright,TEN,3,1,33.33%,6,1,4.5%,2,1,50.00%,6,1,6.7%,All Kendall Wright red zone receiving plays,WrigKe01
C.J. Anderson,DEN,2,2,100.00%,15,0,3.2%,0,0,,0,0,.0%,All C.J. Anderson red zone receiving plays,AndeC.00
Demarcus Ayers,PIT,2,1,50.00%,11,1,3.1%,0,0,,0,0,.0%,All Demarcus Ayers red zone receiving plays,AyerDe00
Blake Bell,SFO,2,1,50.00%,4,0,4.2%,0,0,,0,0,.0%,All Blake Bell red zone receiving plays,BellBl00
Brenton Bersin,CAR,2,0,0.00%,0,0,3.0%,0,0,,0,0,.0%,All Brenton Bersin red zone receiving plays,BersBr00
Alfred Blue,HOU,2,1,50.00%,4,0,3.0%,0,0,,0,0,.0%,All Alfred Blue red zone receiving plays,BlueAl00
Ben Braunecker,CHI,2,1,50.00%,8,0,2.8%,1,1,100.00%,8,0,2.9%,All Ben Braunecker red zone receiving plays,BrauBe00
Aaron Burbridge,SFO,2,0,0.00%,0,0,4.2%,0,0,,0,0,.0%,All Aaron Burbridge red zone receiving plays,BurbAa00
Rex Burkhead,CIN,2,0,0.00%,0,0,3.2%,1,0,0.00%,0,0,3.3%,All Rex Burkhead red zone receiving plays,BurkRe00
Leonte Carroo,MIA,2,2,100.00%,27,1,4.0%,0,0,,0,0,.0%,All Leonte Carroo red zone receiving plays,CarrLe00
Brent Celek,PHI,2,0,0.00%,0,0,2.3%,0,0,,0,0,.0%,All Brent Celek red zone receiving plays,CeleBr00
Benny Cunningham,LAR,2,0,0.00%,0,0,3.9%,1,0,0.00%,0,0,4.3%,All Benny Cunningham red zone receiving plays,CunnBe01
Mike Davis,SFO,2,1,50.00%,9,0,4.2%,0,0,,0,0,.0%,All Mike Davis red zone receiving plays,DaviMi01
Trevor Davis,GNB,2,2,100.00%,18,1,2.0%,1,1,100.00%,9,1,2.0%,All Trevor Davis red zone receiving plays,DaviTr03
Seth Devalve,CLE,2,1,50.00%,12,1,3.6%,0,0,,0,0,.0%,All Seth Devalve red zone receiving plays,DevaSe00
James Develin,NWE,2,2,100.00%,13,0,2.8%,1,1,100.00%,0,0,2.6%,All James Develin red zone receiving plays,DeveJa00
Lance Dunbar,DAL,2,1,50.00%,9,0,3.8%,1,0,0.00%,0,0,3.3%,All Lance Dunbar red zone receiving plays,DunbLa00
Anthony Fasano,TEN,2,2,100.00%,24,2,3.0%,1,1,100.00%,9,1,3.3%,All Anthony Fasano red zone receiving plays,FasaAn00
Crockett Gillmore,BAL,2,1,50.00%,7,1,2.8%,1,1,100.00%,7,1,3.6%,All Crockett Gillmore red zone receiving plays,GillCr00
Mike Gillislee,BUF,2,1,50.00%,18,1,4.1%,1,0,0.00%,0,0,5.0%,All Mike Gillislee red zone receiving plays,GillMi00
Brittan Golden,ARI,2,1,50.00%,9,1,2.6%,1,1,100.00%,9,1,2.6%,All Brittan Golden red zone receiving plays,GoldBr00
MarQueis Gray,MIA,2,1,50.00%,6,0,4.0%,0,0,,0,0,.0%,All MarQueis Gray red zone receiving plays,GrayMa00
Darrius Heyward-Bey,PIT,2,1,50.00%,14,1,3.1%,0,0,,0,0,.0%,All Darrius Heyward-Bey red zone receiving plays,HeywDa00
Jeff Janis,GNB,2,2,100.00%,9,1,2.0%,2,2,100.00%,9,1,4.1%,All Jeff Janis red zone receiving plays,JaniJe00
Andre Johnson,TEN,2,2,100.00%,14,2,3.0%,2,2,100.00%,14,2,6.7%,All Andre Johnson red zone receiving plays,JohnAn02
Charles Johnson,MIN,2,2,100.00%,8,0,2.7%,0,0,,0,0,.0%,All Charles Johnson red zone receiving plays,JohnCh08
T.J. Jones,DET,2,0,0.00%,0,0,2.4%,0,0,,0,0,.0%,All T.J. Jones red zone receiving plays,JoneT.00
Robert Kelley,WAS,2,2,100.00%,-1,1,2.7%,2,2,100.00%,-1,1,5.4%,All Robert Kelley red zone receiving plays,KellRo00
Ben Koyack,JAX,2,2,100.00%,17,1,3.0%,0,0,,0,0,.0%,All Ben Koyack red zone receiving plays,KoyaBe00
Dion Lewis,NWE,2,1,50.00%,0,0,2.8%,1,1,100.00%,0,0,2.6%,All Dion Lewis red zone receiving plays,LewiDi00
Christine Michael,SEA,2,2,100.00%,11,1,2.9%,2,2,100.00%,11,1,6.5%,All Christine Michael red zone receiving plays,MichCh00
Joshua Perkins,ATL,2,1,50.00%,8,0,2.2%,1,0,0.00%,0,0,2.0%,All Joshua Perkins red zone receiving plays,PerkJo02
John Phillips,2TM,2,1,50.00%,1,1,,2,1,50.00%,1,1,,All John Phillips red zone receiving plays,PhilJo00
Walt Powell,BUF,2,2,100.00%,6,0,4.1%,1,1,100.00%,5,0,5.0%,All Walt Powell red zone receiving plays,PoweWa00
C.J. Prosise,SEA,2,2,100.00%,18,0,2.9%,0,0,,0,0,.0%,All C.J. Prosise red zone receiving plays,ProsC.00
Jacquizz Rodgers,TAM,2,2,100.00%,12,0,3.0%,0,0,,0,0,.0%,All Jacquizz Rodgers red zone receiving plays,RodgJa00
Austin Seferian-Jenkins,NYJ,2,0,0.00%,0,0,2.9%,1,0,0.00%,0,0,3.4%,All Austin Seferian-Jenkins red zone receiving plays,SefeAu00
Cecil Shorts,TAM,2,0,0.00%,0,0,3.0%,1,0,0.00%,0,0,3.7%,All Cecil Shorts red zone receiving plays,ShorCe00
James Starks,GNB,2,2,100.00%,9,1,2.0%,0,0,,0,0,.0%,All James Starks red zone receiving plays,StarJa00
Ross Travis,KAN,2,0,0.00%,0,0,2.6%,1,0,0.00%,0,0,3.0%,All Ross Travis red zone receiving plays,TravRo00
Shane Vereen,NYG,2,2,100.00%,12,0,3.3%,0,0,,0,0,.0%,All Shane Vereen red zone receiving plays,VereSh00
Joe Webb,CAR,2,0,0.00%,0,0,3.0%,0,0,,0,0,.0%,All Joe Webb red zone receiving plays,WebbJo00
Markus Wheaton,PIT,2,1,50.00%,6,0,3.1%,0,0,,0,0,.0%,All Markus Wheaton red zone receiving plays,WheaMa00
DeAngelo Williams,PIT,2,2,100.00%,15,2,3.1%,1,1,100.00%,4,1,3.4%,All DeAngelo Williams red zone receiving plays,WillDe02
Nick Williams,ATL,2,2,100.00%,20,0,2.2%,0,0,,0,0,.0%,All Nick Williams red zone receiving plays,WillNi02
Marquess Wilson,CHI,2,1,50.00%,8,1,2.8%,1,1,100.00%,8,1,2.9%,All Marquess Wilson red zone receiving plays,WilsMa02
Danny Woodhead,SDG,2,1,50.00%,4,1,2.3%,2,1,50.00%,4,1,5.7%,All Danny Woodhead red zone receiving plays,WoodDa02
Jarius Wright,MIN,2,1,50.00%,1,1,2.7%,1,1,100.00%,1,1,3.1%,All Jarius Wright red zone receiving plays,WrigJa02
Ameer Abdullah,DET,1,1,100.00%,11,1,1.2%,0,0,,0,0,.0%,All Ameer Abdullah red zone receiving plays,AbduAm00
Jerell Adams,NYG,1,1,100.00%,10,1,1.7%,1,1,100.00%,10,1,3.8%,All Jerell Adams red zone receiving plays,AdamJe01
Javorius Allen,BAL,1,1,100.00%,7,0,1.4%,0,0,,0,0,.0%,All Javorius Allen red zone receiving plays,AlleJa01
Matt Barkley,CHI,1,1,100.00%,2,1,1.4%,1,1,100.00%,2,1,2.9%,All Matt Barkley red zone receiving plays,BarkMa00
Kenjon Barner,PHI,1,1,100.00%,5,0,1.2%,0,0,,0,0,.0%,All Kenjon Barner red zone receiving plays,BarnKe00
Arrelious Benn,JAX,1,0,0.00%,0,0,1.5%,0,0,,0,0,.0%,All Arrelious Benn red zone receiving plays,BennAr00
Nick Boyle,BAL,1,1,100.00%,5,0,1.4%,1,1,100.00%,5,0,3.6%,All Nick Boyle red zone receiving plays,BoylNi00
Isaiah Burse,SDG,1,0,0.00%,0,0,1.1%,0,0,,0,0,.0%,All Isaiah Burse red zone receiving plays,BursIs01
Reggie Bush,BUF,1,0,0.00%,0,0,2.0%,1,0,0.00%,0,0,5.0%,All Reggie Bush red zone receiving plays,BushRe00
Jeremy Butler,SDG,1,1,100.00%,5,0,1.1%,0,0,,0,0,.0%,All Jeremy Butler red zone receiving plays,ButlJe01
Jordan Cameron,MIA,1,1,100.00%,12,1,2.0%,0,0,,0,0,.0%,All Jordan Cameron red zone receiving plays,CameJo00
Ka'Deem Carey,CHI,1,1,100.00%,3,0,1.4%,0,0,,0,0,.0%,All Ka'Deem Carey red zone receiving plays,CareKa00
Jamaal Charles,KAN,1,1,100.00%,-2,0,1.3%,1,1,100.00%,-2,0,3.0%,All Jamaal Charles red zone receiving plays,CharJa00
Alex Collins,SEA,1,1,100.00%,4,0,1.4%,0,0,,0,0,.0%,All Alex Collins red zone receiving plays,CollAl00
Cody Core,CIN,1,1,100.00%,10,0,1.6%,0,0,,0,0,.0%,All Cody Core red zone receiving plays,CoreCo00
Alan Cross,TAM,1,1,100.00%,3,1,1.5%,1,1,100.00%,3,1,3.7%,All Alan Cross red zone receiving plays,CrosAl00
Geremy Davis,SDG,1,0,0.00%,0,0,1.1%,1,0,0.00%,0,0,2.9%,All Geremy Davis red zone receiving plays,DaviGe00
Knile Davis,KAN,1,0,0.00%,0,0,1.3%,0,0,,0,0,.0%,All Knile Davis red zone receiving plays,DaviKn00
Patrick DiMarco,ATL,1,1,100.00%,1,1,1.1%,1,1,100.00%,1,1,2.0%,All Patrick DiMarco red zone receiving plays,DiMaPa00
Kenyan Drake,MIA,1,1,100.00%,3,0,2.0%,0,0,,0,0,.0%,All Kenyan Drake red zone receiving plays,DrakKe00
Andre Ellington,ARI,1,0,0.00%,0,0,1.3%,0,0,,0,0,.0%,All Andre Ellington red zone receiving plays,ElliAn00
Alex Erickson,CIN,1,1,100.00%,7,0,1.6%,1,1,100.00%,7,0,3.3%,All Alex Erickson red zone receiving plays,EricAl01
Tyler Ervin,HOU,1,0,0.00%,0,0,1.5%,1,0,0.00%,0,0,2.9%,All Tyler Ervin red zone receiving plays,ErviTy00
Gavin Escobar,DAL,1,1,100.00%,2,1,1.9%,1,1,100.00%,2,1,3.3%,All Gavin Escobar red zone receiving plays,EscoGa00
George Farmer,SEA,1,0,0.00%,0,0,1.4%,0,0,,0,0,.0%,All George Farmer red zone receiving plays,FarmGe02
Kenneth Farrow,SDG,1,0,0.00%,0,0,1.1%,0,0,,0,0,.0%,All Kenneth Farrow red zone receiving plays,FarrKe02
Arian Foster,MIA,1,0,0.00%,0,0,2.0%,1,0,0.00%,0,0,4.5%,All Arian Foster red zone receiving plays,FostAr00
Jalston Fowler,TEN,1,1,100.00%,14,0,1.5%,0,0,,0,0,.0%,All Jalston Fowler red zone receiving plays,FowlJa00
Ted Ginn,CAR,1,1,100.00%,13,0,1.5%,0,0,,0,0,.0%,All Ted Ginn red zone receiving plays,GinnTe00
Corey Grant,JAX,1,1,100.00%,15,1,1.5%,0,0,,0,0,.0%,All Corey Grant red zone receiving plays,GranCo00
Rashad Greene,JAX,1,0,0.00%,0,0,1.5%,0,0,,0,0,.0%,All Rashad Greene red zone receiving plays,GreeRa00
Xavier Grimble,PIT,1,0,0.00%,0,0,1.6%,1,0,0.00%,0,0,3.4%,All Xavier Grimble red zone receiving plays,GrimXa00
Connor Hamlett,CLE,1,1,100.00%,17,1,1.8%,0,0,,0,0,.0%,All Connor Hamlett red zone receiving plays,HamlCo01
Je'Ron Hamm,SFO,1,0,0.00%,0,0,2.1%,0,0,,0,0,.0%,All Je'Ron Hamm red zone receiving plays,HammJe01
DuJuan Harris,SFO,1,1,100.00%,4,0,2.1%,1,1,100.00%,4,0,5.3%,All DuJuan Harris red zone receiving plays,HarrDu01
Dwayne Harris,NYG,1,1,100.00%,13,1,1.7%,0,0,,0,0,.0%,All Dwayne Harris red zone receiving plays,HarrDw00
Ronnie Hillman,SDG,1,0,0.00%,0,0,1.1%,0,0,,0,0,.0%,All Ronnie Hillman red zone receiving plays,HillRo00
Akeem Hunt,HOU,1,1,100.00%,4,0,1.5%,0,0,,0,0,.0%,All Akeem Hunt red zone receiving plays,HuntAk01
David Johnson,PIT,1,1,100.00%,2,0,1.6%,1,1,100.00%,2,0,3.4%,All David Johnson red zone receiving plays,JohnDa05
Dominique Jones,MIA,1,1,100.00%,1,1,2.0%,1,1,100.00%,1,1,4.5%,All Dominique Jones red zone receiving plays,JoneDo01
Tavarres King,NYG,1,1,100.00%,6,0,1.7%,1,1,100.00%,6,0,3.8%,All Tavarres King red zone receiving plays,KingTa00
Tyler Kroft,CIN,1,1,100.00%,7,0,1.6%,0,0,,0,0,.0%,All Tyler Kroft red zone receiving plays,KrofTy00
Paul Lasike,CHI,1,1,100.00%,3,0,1.4%,1,1,100.00%,3,0,2.9%,All Paul Lasike red zone receiving plays,LasiPa00
Cody Latimer,DEN,1,0,0.00%,0,0,1.6%,1,0,0.00%,0,0,2.8%,All Cody Latimer red zone receiving plays,LatiCo00
Matt Lengel,NWE,1,1,100.00%,18,1,1.4%,0,0,,0,0,.0%,All Matt Lengel red zone receiving plays,LengMa00
Taylor Lewan,TEN,1,1,100.00%,10,1,1.5%,1,1,100.00%,10,1,3.3%,All Taylor Lewan red zone receiving plays,LewaTa00
Alex Lewis,BAL,1,0,0.00%,0,0,1.4%,1,0,0.00%,0,0,3.6%,All Alex Lewis red zone receiving plays,LewiAl01
Roger Lewis,NYG,1,0,0.00%,0,0,1.7%,1,0,0.00%,0,0,3.8%,All Roger Lewis red zone receiving plays,LewiRo03
Bradley Marquez,LAR,1,0,0.00%,0,0,2.0%,0,0,,0,0,.0%,All Bradley Marquez red zone receiving plays,MarqBr00
Doug Martin,TAM,1,1,100.00%,1,0,1.5%,0,0,,0,0,.0%,All Doug Martin red zone receiving plays,MartDo00
Ifeanyi Momah,ARI,1,0,0.00%,0,0,1.3%,0,0,,0,0,.0%,All Ifeanyi Momah red zone receiving plays,MomaIf00
Nick O'Leary,BUF,1,1,100.00%,6,0,2.0%,0,0,,0,0,.0%,All Nick O'Leary red zone receiving plays,OLeaNi00
Brock Osweiler,HOU,1,1,100.00%,-6,0,1.5%,1,1,100.00%,-6,0,2.9%,All Brock Osweiler red zone receiving plays,OsweBr00
Logan Paulsen,CHI,1,0,0.00%,0,0,1.4%,0,0,,0,0,.0%,All Logan Paulsen red zone receiving plays,PaulLo00
Donald Penn,OAK,1,1,100.00%,1,1,1.1%,1,1,100.00%,1,1,2.2%,All Donald Penn red zone receiving plays,PennDo20
Dontari Poe,KAN,1,1,100.00%,2,0,1.3%,1,1,100.00%,2,0,3.0%,All Dontari Poe red zone receiving plays,PoexDo00
Bobby Rainey,NYG,1,0,0.00%,0,0,1.7%,0,0,,0,0,.0%,All Bobby Rainey red zone receiving plays,RainBo00
Thomas Rawls,SEA,1,1,100.00%,11,0,1.4%,0,0,,0,0,.0%,All Thomas Rawls red zone receiving plays,RawlTh00
Denard Robinson,JAX,1,0,0.00%,0,0,1.5%,0,0,,0,0,.0%,All Denard Robinson red zone receiving plays,RobiDe00
Jeremy Ross,ARI,1,1,100.00%,4,1,1.3%,1,1,100.00%,4,1,2.6%,All Jeremy Ross red zone receiving plays,RossJe01
Greg Salas,BUF,1,0,0.00%,0,0,2.0%,0,0,,0,0,.0%,All Greg Salas red zone receiving plays,SalaGr00
Anthony Sherman,KAN,1,1,100.00%,2,0,1.3%,0,0,,0,0,.0%,All Anthony Sherman red zone receiving plays,SherAn00
Wendell Smallwood,PHI,1,1,100.00%,4,0,1.2%,1,1,100.00%,4,0,4.0%,All Wendell Smallwood red zone receiving plays,SmalWe00
Devin Smith,NYJ,1,0,0.00%,0,0,1.4%,0,0,,0,0,.0%,All Devin Smith red zone receiving plays,SmitDe04
Jaelen Strong,HOU,1,0,0.00%,0,0,1.5%,1,0,0.00%,0,0,2.9%,All Jaelen Strong red zone receiving plays,StroJa01
Erik Swoope,IND,1,0,0.00%,0,0,1.5%,0,0,,0,0,.0%,All Erik Swoope red zone receiving plays,SwooEr00
Randall Telfer,CLE,1,0,0.00%,0,0,1.8%,1,0,0.00%,0,0,5.0%,All Randall Telfer red zone receiving plays,TelfRa00
Mike Thomas,LAR,1,0,0.00%,0,0,2.0%,0,0,,0,0,.0%,All Mike Thomas red zone receiving plays,ThomMi04
D.J. Tialavea,ATL,1,1,100.00%,1,1,1.1%,1,1,100.00%,1,1,2.0%,All D.J. Tialavea red zone receiving plays,TialD.00
Levine Toilolo,ATL,1,0,0.00%,0,0,1.1%,0,0,,0,0,.0%,All Levine Toilolo red zone receiving plays,ToilLe00
Laquon Treadwell,MIN,1,0,0.00%,0,0,1.4%,0,0,,0,0,.0%,All Laquon Treadwell red zone receiving plays,TreaLa00
Will Tukuafu,SEA,1,0,0.00%,0,0,1.4%,1,0,0.00%,0,0,3.2%,All Will Tukuafu red zone receiving plays,TukuWi00
Hakeem Valles,ARI,1,0,0.00%,0,0,1.3%,1,0,0.00%,0,0,2.6%,All Hakeem Valles red zone receiving plays,VallHa00
Danny Vitale,CLE,1,0,0.00%,0,0,1.8%,1,0,0.00%,0,0,5.0%,All Danny Vitale red zone receiving plays,VitaDa00
Terron Ward,ATL,1,1,100.00%,11,0,1.1%,0,0,,0,0,.0%,All Terron Ward red zone receiving plays,WardTe00
DeAndre Washington,OAK,1,0,0.00%,0,0,1.1%,1,0,0.00%,0,0,2.2%,All DeAndre Washington red zone receiving plays,WashDe00
Griff Whalen,SDG,1,0,0.00%,0,0,1.1%,1,0,0.00%,0,0,2.9%,All Griff Whalen red zone receiving plays,WhalGr00
Lucky Whitehead,DAL,1,1,100.00%,8,0,1.9%,0,0,,0,0,.0%,All Lucky Whitehead red zone receiving plays,WhitLu00
Kerwynn Williams,ARI,1,0,0.00%,0,0,1.3%,0,0,,0,0,.0%,All Kerwynn Williams red zone receiving plays,WillKe05
Wendall Williams,HOU,1,0,0.00%,0,0,1.5%,0,0,,0,0,.0%,All Wendall Williams red zone receiving plays,WillWe00
Russell Wilson,SEA,1,1,100.00%,15,1,1.4%,0,0,,0,0,.0%,All Russell Wilson red zone receiving plays,WilsRu00
Zach Zenner,DET,1,1,100.00%,5,0,1.2%,0,0,,0,0,.0%,All Zach Zenner red zone receiving plays,ZennZa00
