Player,Rank,POS,AVG,Rk,Tmrank,FantPos,Age,G,GS,Cmprank,Attrank,Ydsrank,TDrank,Intrank,Att.1rank,Yds.1rank,Y/A,TD.1rank,Tgtrzru,Recrzru,Yds.2rzpa,Y/R,TD.2rzpa,Fmb,FL,TD.3,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank,-9999rank,Tmrzpa,Cmprzpa,Attrzpa,Cmp%,Ydsrzpa,TDrzpa,Intrzpa,Cmp.1,Att.1rzpa,Cmp%.1,Yds.1rzpa,TD.1rzpa,Int.1,Linkrzpa,-9999rzpa,Tmrzru,Att,Ydsrzru,TDrzru,%Rush,Att.1,Yds.1rzru,TD.1rzru,%Rush.1,Att.2,Yds.2rzru,TD.2rzru,%Rush.2,Linkrzru,-9999rzru,Tmrzre,Tgtrzre,Recrzre,Ctch%,Ydsrzre,TDrzre,%Tgt,Tgt.1,Rec.1,Ctch%.1,Yds.1rzre,TD.1rzre,%Tgt.1,Link,-9999rzre,Difference
Damien Harris,63.0,RB28,62.5,28.0,NWE,RB,24.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,202.0,929.0,4.6,15.0,21.0,18.0,132.0,7.33,0.0,2.0,2.0,15.0,0.0,0.0,192.0,210.1,218.1,201.1,43.0,8.0,28.0,HarrDa06,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,NWE,45.0,149.0,13.0,47.4%,31.0,78.0,11.0,59.6%,15.0,19.0,9.0,60.0%,All Damien Harris red zone rushing plays,HarrDa06,NWE,2.0,1.0,50.00%,3.0,0.0,2.6%,0.0,0.0,0,0.0,0.0,.0%,All Damien Harris red zone receiving plays,HarrDa06,34.5
Gus Edwards,64.0,RB29,64.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0,64.0
T.J. Hockenson,65.0,TE6,64.5,157.0,DET,TE,24.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.0,61.0,583.0,9.56,4.0,0.0,0.0,4.0,1.0,0.0,84.0,145.3,148.3,114.8,0.0,16.0,0.0,HockTJ00,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,DET,9.0,6.0,66.67%,51.0,4.0,15.0%,4.0,3.0,75.00%,23.0,3.0,16.0%,All T.J. Hockenson red zone receiving plays,HockTJ00,-92.5
Brandon Aiyuk,66.0,WR23,64.8,111.0,SFO,WR,23.0,17.0,16.0,0.0,0.0,0.0,0.0,0.0,5.0,17.0,3.4,0.0,84.0,56.0,826.0,14.75,5.0,2.0,1.0,5.0,1.0,0.0,114.0,170.3,174.3,142.3,0.0,34.0,0.0,AiyuBr00,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,SFO,10.0,5.0,50.00%,39.0,5.0,16.7%,7.0,3.0,42.86%,16.0,3.0,23.3%,All Brandon Aiyuk red zone receiving plays,AiyuBr00,-46.2
Chase Claypool,67.0,WR24,68.0,116.0,PIT,WR,23.0,15.0,13.0,0.0,0.0,0.0,0.0,0.0,14.0,96.0,6.86,0.0,105.0,59.0,860.0,14.58,2.0,0.0,0.0,2.0,0.0,0.0,108.0,166.6,169.6,137.1,0.0,36.0,0.0,ClayCh01,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,PIT,2.0,1.0,0.0,4.9%,2.0,1.0,0.0,8.7%,1.0,-2.0,0.0,6.7%,All Chase Claypool red zone rushing plays,ClayCh01,PIT,13.0,6.0,46.15%,50.0,2.0,13.3%,7.0,2.0,28.57%,10.0,1.0,15.9%,All Chase Claypool red zone receiving plays,ClayCh01,-48.0
Tom Brady,68.0,QB9,68.8,7.0,TAM,QB,44.0,17.0,17.0,485.0,719.0,5316.0,43.0,12.0,28.0,81.0,2.89,2.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,2.0,0.0,0.0,375.0,374.7,392.7,386.7,100.0,3.0,7.0,BradTo00,TAM,83.0,135.0,61.48,501.0,31.0,0.0,35.0,64.0,54.69,143.0,25.0,0.0,All Tom Brady red zone passing plays,BradTo00,TAM,8.0,12.0,2.0,9.8%,8.0,12.0,2.0,13.8%,2.0,2.0,2.0,8.0%,All Tom Brady red zone rushing plays,BradTo00,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0,61.8
Odell Beckham Jr.,69.0,WR25,68.8,150.0,2TM,WR,29.0,14.0,13.0,0.0,0.0,0.0,0.0,0.0,2.0,14.0,7.0,0.0,82.0,44.0,537.0,12.2,5.0,0.0,0.0,5.0,0.0,0.0,85.0,129.1,132.1,107.1,0.0,52.0,0.0,BeckOd00,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0,-81.2
Melvin Gordon,70.0,RB30,70.5,54.0,DEN,RB,28.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,203.0,918.0,4.52,8.0,38.0,28.0,213.0,7.61,2.0,3.0,3.0,10.0,0.0,0.0,167.0,195.1,204.1,181.1,20.0,17.0,54.0,GordMe00,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,DEN,37.0,91.0,6.0,45.7%,21.0,34.0,5.0,44.7%,9.0,9.0,4.0,45.0%,All Melvin Gordon red zone rushing plays,GordMe00,DEN,5.0,5.0,100.00%,42.0,2.0,8.6%,3.0,3.0,100.00%,19.0,1.0,9.4%,All Melvin Gordon red zone receiving plays,GordMe00,16.5
Ja'Marr Chase,71.0,WR26,71.0,9.0,CIN,WR,21.0,17.0,17.0,0.0,0.0,0.0,0.0,0.0,7.0,21.0,3.0,0.0,128.0,81.0,1455.0,17.96,13.0,2.0,1.0,13.0,0.0,0.0,224.0,304.6,308.6,264.1,96.0,3.0,9.0,ChasJa00,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,CIN,2.0,4.0,0.0,2.7%,1.0,0.0,0.0,2.3%,0.0,0.0,0.0,.0%,All Ja'Marr Chase red zone rushing plays,ChasJa00,CIN,15.0,8.0,53.33%,66.0,6.0,20.0%,9.0,4.0,44.44%,19.0,4.0,25.0%,All Ja'Marr Chase red zone receiving plays,ChasJa00,62.0
Tee Higgins,72.0,WR27,71.0,49.0,CIN,WR,22.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.0,74.0,1091.0,14.74,6.0,1.0,1.0,6.0,1.0,0.0,145.0,219.1,223.1,182.1,22.0,17.0,49.0,HiggTe00,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,CIN,16.0,6.0,37.50%,40.0,5.0,21.3%,9.0,5.0,55.56%,26.0,5.0,25.0%,All Tee Higgins red zone receiving plays,HiggTe00,22.0
