Player,Rank,POS,AVG,Rk,Tmrank,FantPos,Age,G,GS,Cmprank,Attrank,Ydsrank,TDrank,Intrank,Att.1rank,Yds.1rank,Y/A,TD.1rank,Tgtrzru,Recrzru,Yds.2rzpa,Y/R,TD.2rzpa,Fmb,FL,TD.3,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank,-9999rank,Tmrzpa,Cmprzpa,Attrzpa,Cmp%,Ydsrzpa,TDrzpa,Intrzpa,Cmp.1,Att.1rzpa,Cmp%.1,Yds.1rzpa,TD.1rzpa,Int.1,Linkrzpa,-9999rzpa,Tmrzru,Att,Ydsrzru,TDrzru,%Rush,Att.1,Yds.1rzru,TD.1rzru,%Rush.1,Att.2,Yds.2rzru,TD.2rzru,%Rush.2,Linkrzru,-9999rzru,Tmrzre,Tgtrzre,Recrzre,Ctch%,Ydsrzre,TDrzre,%Tgt,Tgt.1,Rec.1,Ctch%.1,Yds.1rzre,TD.1rzre,%Tgt.1,Link,-9999rzre
Leonard Fournette,21.0,RB12,21.5,29.0,JAX,RB,24.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,265.0,1152.0,4.35,3.0,100.0,76.0,522.0,6.87,0.0,1.0,1.0,3.0,0.0,0.0,183.0,259.4,266.4,221.4,43.0,13.0,29.0,FourLe00,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,JAX,43.0,58.0,3.0,69.4%,23.0,14.0,3.0,76.7%,8.0,-2.0,3.0,100.0%,All Leonard Fournette red zone rushing plays,FourLe00,JAX,9.0,7.0,77.78%,40.0,0.0,15.3%,4.0,3.0,75.00%,14.0,0.0,12.1%,All Leonard Fournette red zone receiving plays,FourLe00
Mike Evans,22.0,WR8,22.3,33.0,TAM,WR,26.0,13.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118.0,67.0,1157.0,17.27,8.0,0.0,0.0,8.0,1.0,0.0,166.0,232.7,235.7,199.2,37.0,8.0,33.0,EvanMi00,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,TAM,16.0,7.0,43.75%,50.0,4.0,25.0%,10.0,4.0,40.00%,19.0,4.0,26.3%,All Mike Evans red zone receiving plays,EvanMi00
Antonio Brown,23.0,WR9,22.8,377.0,NWE,WR,31.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,5.0,0.0,8.0,4.0,56.0,14.0,1.0,0.0,0.0,1.0,0.0,0.0,12.0,16.1,16.1,14.1,0.0,149.0,0.0,BrowAn04,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,NWE,4.0,1.0,25.00%,8.0,0.0,4.7%,2.0,0.0,0.00%,0.0,0.0,4.9%,All Antonio Brown red zone receiving plays,BrowAn04
Adam Thielen,24.0,WR10,25.5,148.0,MIN,WR,29.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,1.5,1.0,48.0,30.0,418.0,13.93,6.0,0.0,0.0,7.0,0.0,0.0,84.0,114.4,117.4,99.4,0.0,56.0,0.0,ThieAd00,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,MIN,1.0,1.0,1.0,1.1%,1.0,1.0,1.0,1.6%,1.0,1.0,1.0,4.2%,All Adam Thielen red zone rushing plays,ThieAd00,MIN,6.0,5.0,83.33%,43.0,3.0,12.2%,3.0,2.0,66.67%,15.0,2.0,14.3%,All Adam Thielen red zone receiving plays,ThieAd00
Damien Williams,25.0,RB13,26.0,113.0,KAN,RB,27.0,11.0,6.0,0.0,0.0,0.0,0.0,0.0,111.0,498.0,4.49,5.0,37.0,30.0,213.0,7.1,2.0,1.0,1.0,7.0,0.0,0.0,111.0,141.1,148.1,126.1,0.0,34.0,0.0,WillDa05,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,KAN,15.0,34.0,3.0,22.4%,8.0,15.0,3.0,22.9%,3.0,5.0,2.0,17.6%,All Damien Williams red zone rushing plays,WillDa05,KAN,7.0,5.0,71.43%,38.0,2.0,11.1%,2.0,1.0,50.00%,-1.0,0.0,6.9%,All Damien Williams red zone receiving plays,WillDa05
Keenan Allen,26.0,WR11,26.8,37.0,LAC,WR,27.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,3.0,16.0,5.33,0.0,149.0,104.0,1199.0,11.53,6.0,0.0,0.0,6.0,0.0,0.0,158.0,261.5,264.5,209.5,28.0,11.0,37.0,AlleKe00,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,LAC,19.0,14.0,73.68%,113.0,4.0,25.7%,9.0,5.0,55.56%,20.0,2.0,25.7%,All Keenan Allen red zone receiving plays,AlleKe00
Kerryon Johnson,27.0,RB14,27.0,161.0,DET,RB,22.0,8.0,7.0,0.0,0.0,0.0,0.0,0.0,113.0,403.0,3.57,3.0,15.0,10.0,127.0,12.7,1.0,1.0,1.0,4.0,0.0,0.0,75.0,85.0,92.0,80.0,0.0,47.0,0.0,JohnKe06,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,DET,20.0,32.0,3.0,39.2%,15.0,17.0,3.0,42.9%,9.0,6.0,3.0,64.3%,All Kerryon Johnson red zone rushing plays,JohnKe06,DET,1.0,0.0,0.00%,0.0,0.0,1.7%,0.0,0.0,0,0.0,0.0,.0%,All Kerryon Johnson red zone receiving plays,JohnKe06
Aaron Jones,28.0,RB15,28.0,4.0,GNB,RB,25.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,236.0,1084.0,4.59,16.0,68.0,49.0,474.0,9.67,3.0,3.0,2.0,19.0,0.0,0.0,266.0,314.8,322.8,290.3,125.0,3.0,4.0,JoneAa00,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,GNB,33.0,116.0,14.0,60.0%,19.0,37.0,11.0,61.3%,13.0,14.0,8.0,72.2%,All Aaron Jones red zone rushing plays,JoneAa00,GNB,12.0,10.0,83.33%,42.0,1.0,16.4%,4.0,4.0,100.00%,17.0,1.0,12.1%,All Aaron Jones red zone receiving plays,JoneAa00
Zach Ertz,29.0,TE2,31.3,22.0,PHI,TE,29.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135.0,88.0,916.0,10.41,6.0,1.0,1.0,6.0,1.0,0.0,128.0,215.6,219.6,171.6,51.0,5.0,22.0,ErtzZa00,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,PHI,16.0,8.0,50.00%,37.0,5.0,23.2%,5.0,4.0,80.00%,8.0,4.0,17.2%,All Zach Ertz red zone receiving plays,ErtzZa00
Chris Carson ,30.0,RB16,31.8,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0
